,BCDIN3D (144233)
ACH-000004,-0.21488766740413784
ACH-000005,-0.5067140577812338
ACH-000007,-0.25475177471600763
ACH-000009,-0.2119248108485779
ACH-000011,-0.3144598985883099
ACH-000012,-0.17492798111726593
ACH-000013,-0.3825408860170053
ACH-000014,-0.1961636579171061
ACH-000015,-0.3255605066045612
ACH-000017,-0.4609613442339676
ACH-000018,-0.10002190146377238
ACH-000019,-0.2768191029473621
ACH-000021,-0.2958515321840474
ACH-000022,-0.2262338252215187
ACH-000025,-0.4298826746643978
ACH-000028,-0.5165302840452173
ACH-000030,-0.3106106204466658
ACH-000035,-0.2255725748505131
ACH-000036,-0.3468209163648033
ACH-000037,-0.17627716171741073
ACH-000039,-0.1958350128249497
ACH-000040,-0.3177461350183925
ACH-000041,-0.3651288298755397
ACH-000042,-0.1685283706274549
ACH-000045,-0.11808622025696727
ACH-000047,-0.28598971238132165
ACH-000052,-0.19020205994238906
ACH-000053,-0.2524735459553785
ACH-000054,-0.2665880664269888
ACH-000055,-0.21744543617564505
ACH-000060,-0.10393399775316356
ACH-000067,-0.08171084837431485
ACH-000070,-0.3229988450627888
ACH-000075,-0.4646847481403629
ACH-000078,-0.0711985322812474
ACH-000082,-0.2992715333920455
ACH-000085,-0.08429711786052033
ACH-000086,-0.4106364688836342
ACH-000087,-0.3344980725746423
ACH-000092,-0.2525186881934559
ACH-000095,-0.2117942376444655
ACH-000097,-0.30909068514882265
ACH-000098,-0.18335472995458169
ACH-000099,-0.2892836494050656
ACH-000108,-0.06998105770061755
ACH-000113,-0.2162853690843184
ACH-000116,-0.2863410997100267
ACH-000118,-0.2509366237481637
ACH-000120,-0.26143779123045263
ACH-000123,-0.25305511011932386
ACH-000127,-0.20024418752997852
ACH-000128,-0.4484168677005991
ACH-000132,-0.2658231025171714
ACH-000133,-0.30293329176724504
ACH-000137,-0.4298736610242808
ACH-000138,-0.34974395665387914
ACH-000142,-0.24393047182051236
ACH-000143,-0.26681892370282884
ACH-000146,-0.14471682944029174
ACH-000148,-0.17778594806682235
ACH-000150,-0.31137956598595296
ACH-000152,-0.4786418469434906
ACH-000153,-0.344289463692226
ACH-000159,-0.20416929864356648
ACH-000160,-0.20716497408290502
ACH-000163,-0.22555165686260864
ACH-000167,-0.09687944596862284
ACH-000168,-0.2525080551627901
ACH-000169,-0.049436552192648836
ACH-000178,-0.2649439791283156
ACH-000183,-0.1637942945174038
ACH-000188,-0.25563531744352325
ACH-000189,-0.2698941877358818
ACH-000190,-0.1427677841539229
ACH-000198,-0.3099557168968001
ACH-000203,-0.22433370478161074
ACH-000204,-0.30571744626918035
ACH-000206,-0.31011744663798474
ACH-000207,-0.142097807545609
ACH-000208,-0.20560750395116756
ACH-000210,-0.0874778608077651
ACH-000211,-0.22850350725228016
ACH-000215,-0.3427349218437682
ACH-000221,-0.31611771546735995
ACH-000222,-0.2588830574690353
ACH-000223,-0.2618323801176136
ACH-000226,-0.2339829703197657
ACH-000227,-0.1176395420013682
ACH-000228,-0.1411628631997486
ACH-000231,-0.3258185108055762
ACH-000232,-0.3501425624239296
ACH-000233,-0.23704317185839266
ACH-000234,-0.5445895013525305
ACH-000235,-0.30305781456185804
ACH-000237,-0.1194759124894507
ACH-000238,-0.2311285773928111
ACH-000242,-0.19784611714218805
ACH-000243,-0.2693421241020865
ACH-000244,-0.14183837854223633
ACH-000246,-0.3498506176778596
ACH-000248,-0.2378325789480168
ACH-000250,-0.2467710656417222
ACH-000251,-0.4659534908990725
ACH-000252,-0.18006952254748776
ACH-000253,-0.1926483432350833
ACH-000255,-0.3766245099729153
ACH-000256,-0.13375712482227245
ACH-000257,-0.2283630941161781
ACH-000258,-0.08548436099024807
ACH-000259,-0.3585783411488361
ACH-000260,-0.2891091812202892
ACH-000261,-0.3409583643294764
ACH-000262,-0.17468421548848034
ACH-000263,-0.6506812953199623
ACH-000264,-0.24576666545310374
ACH-000265,-0.33148275515459275
ACH-000266,-0.3145866556020551
ACH-000272,-0.1365234136844244
ACH-000274,-0.28699757683932786
ACH-000277,-0.4969811556288116
ACH-000278,-0.39305089973671614
ACH-000279,-0.2657669045340545
ACH-000280,-0.10450769949777833
ACH-000281,-0.2586551269319849
ACH-000288,-0.3245682309986508
ACH-000291,-0.31569711640902115
ACH-000293,-0.18598109835924206
ACH-000294,-0.18586734116474604
ACH-000295,-0.15513191127277814
ACH-000296,-0.11066240855356003
ACH-000302,-0.3309866657506765
ACH-000304,-0.25013305476474634
ACH-000307,-0.3269178067111915
ACH-000308,-0.30075669973643776
ACH-000310,-0.1712423724445888
ACH-000311,-0.293410949503582
ACH-000312,-0.3914845153840294
ACH-000315,0.07817379905086498
ACH-000316,-0.3035682095025378
ACH-000317,-0.10698764697682138
ACH-000318,-0.4735944877912423
ACH-000319,-0.20608164543090166
ACH-000320,-0.4049569043053073
ACH-000322,-0.4254803154522774
ACH-000323,-0.13219023290744875
ACH-000324,-0.2618445724881935
ACH-000329,-0.2756147694855709
ACH-000330,-0.2258303097251132
ACH-000331,-0.2319048323774639
ACH-000332,-0.31715136747964473
ACH-000334,-0.11489630872756718
ACH-000335,-0.2768131896519315
ACH-000336,-0.04353368921605266
ACH-000337,-0.3746259500697961
ACH-000338,-0.7625256840886174
ACH-000339,-0.3464441492854267
ACH-000341,-0.2246854837792827
ACH-000348,-0.2185200665004716
ACH-000350,-0.37858323456072623
ACH-000352,-0.2765938334275791
ACH-000356,-0.26061838891333594
