,WBP1L (54838)
ACH-000004,-0.4747949383141465
ACH-000005,0.015701593252298997
ACH-000007,-0.43866203859239705
ACH-000009,-0.4561132353626496
ACH-000011,-0.1452283250284465
ACH-000012,-0.5137604507128657
ACH-000013,-0.16123314842824948
ACH-000014,-0.3531224398859413
ACH-000015,-0.13871714066053847
ACH-000017,-0.3969407652921707
ACH-000018,-0.26261807421619776
ACH-000019,-0.4688698876921961
ACH-000021,-0.2718697419374376
ACH-000022,-0.2774429498988017
ACH-000025,-0.2771412272973284
ACH-000028,-0.3594797801629776
ACH-000030,-0.4352476284942521
ACH-000035,-0.3408585776130719
ACH-000036,-0.4102054608377497
ACH-000037,-0.34303100632205097
ACH-000039,-0.5288810908447753
ACH-000040,-0.6847296898420021
ACH-000041,-0.4481453776918844
ACH-000042,-0.5906134484306848
ACH-000045,-0.3669506529703529
ACH-000047,-0.2227343691639332
ACH-000052,-0.3749845965277448
ACH-000053,-0.21467953385085656
ACH-000054,-0.3491875601121961
ACH-000055,-0.33890756951127016
ACH-000060,-0.5502683309461668
ACH-000067,-0.7160868630379653
ACH-000070,-0.218223313839546
ACH-000075,-0.5449499999673123
ACH-000078,-0.4596678826730157
ACH-000082,-0.36824786545123456
ACH-000085,-0.5810053425613906
ACH-000086,-0.2192071295326916
ACH-000087,-0.24311635820386454
ACH-000092,-0.3627952734224147
ACH-000095,-0.5359007529298168
ACH-000097,-0.2287680501390032
ACH-000098,-0.4506972356186153
ACH-000099,-0.3779869764427744
ACH-000108,-0.1764743493210462
ACH-000113,-0.3029170628850841
ACH-000116,-0.6510817104570433
ACH-000118,-0.3393082796690635
ACH-000120,-0.2935336345611605
ACH-000123,-0.31371921744097553
ACH-000127,-0.2885756409036537
ACH-000128,-0.3749223304247236
ACH-000132,-0.3285238673829877
ACH-000133,-0.2849836662257366
ACH-000137,-0.18507608394786965
ACH-000138,-0.41327014696906494
ACH-000142,-0.4714859484640968
ACH-000143,-0.19558186947743592
ACH-000146,-0.16796584142588258
ACH-000148,-0.2926167963888366
ACH-000150,-0.4333074319607879
ACH-000152,-0.2789414656300674
ACH-000153,-0.3389004000160123
ACH-000159,-0.4158799583218188
ACH-000160,-0.4237400796335109
ACH-000163,-0.1565195002996899
ACH-000167,0.5673497364584285
ACH-000168,-0.4441507308458329
ACH-000169,-0.5918554899069185
ACH-000178,-0.4753030478437384
ACH-000183,-0.4264296966737349
ACH-000188,-0.37749292909128745
ACH-000189,-0.479028814819621
ACH-000190,-0.3402942622295652
ACH-000198,-0.2780861662024188
ACH-000203,0.21251681007133116
ACH-000204,-0.3378808565152618
ACH-000206,-0.5714165343782166
ACH-000207,-0.3321358166644761
ACH-000208,-0.5172277575347851
ACH-000210,-0.4232689852021898
ACH-000211,-0.5936642902959471
ACH-000215,-0.36495222761041785
ACH-000221,0.0912900629125603
ACH-000222,-0.16693207609420233
ACH-000223,-0.4475731336716476
ACH-000226,-0.4272050116957197
ACH-000227,-0.5330601205455081
ACH-000228,-0.3737648784622768
ACH-000231,-0.2348901268291364
ACH-000232,-0.4189359189281847
ACH-000233,-0.4992107622441653
ACH-000234,-0.3071858897175765
ACH-000235,-0.3302124001844811
ACH-000237,-0.4262514763078141
ACH-000238,-0.5130867004557373
ACH-000242,-0.403865020844118
ACH-000243,-0.4129585598255905
ACH-000244,-0.4359272017038693
ACH-000246,-0.37224449564905343
ACH-000248,-0.4530863084074312
ACH-000250,-0.5960944981990941
ACH-000251,-0.1788878074889476
