,IZUMO2 (126123)
ACH-000004,0.03559342543825675
ACH-000005,0.3239751951990661
ACH-000007,-0.04129997109920255
ACH-000009,0.04459556077802885
ACH-000011,-0.03014615502882945
ACH-000012,-0.08704138966407682
ACH-000013,-0.16541966164862035
ACH-000014,0.0956679644289222
ACH-000015,-0.1979364313337152
ACH-000017,-0.009715148428392344
ACH-000018,-0.20811886501061946
ACH-000019,0.04439005240795085
ACH-000021,0.09074831273888696
ACH-000022,-0.15948648595453954
ACH-000025,0.07978594942376055
ACH-000028,0.058918250125484566
ACH-000030,-0.10228138069390552
ACH-000035,0.03869219130108298
ACH-000036,-0.04637098755810165
ACH-000037,-0.09910657146169913
ACH-000039,-0.10909136839388034
ACH-000040,-0.08373056141269235
ACH-000041,0.0678816947892056
ACH-000042,-0.10107328473833932
ACH-000045,-0.3026725585041644
ACH-000047,-0.13928502739712387
ACH-000052,-0.024188061603530226
ACH-000053,-0.16021770374721347
ACH-000054,-0.05109018291543034
ACH-000055,-0.19034727879616906
ACH-000060,-0.031893015559429534
ACH-000067,0.11366781420129406
ACH-000070,-0.051265813133530035
ACH-000075,-0.017702026875082263
ACH-000078,-0.1629153995250809
ACH-000082,-0.06241464239241079
ACH-000085,-0.05850684493742009
ACH-000086,-0.028417251670660844
ACH-000087,0.018451894068533863
ACH-000092,-0.12104393863611862
ACH-000095,-0.1345169138488804
ACH-000097,0.05641867177871505
ACH-000098,-0.037262484484831715
ACH-000099,-0.1691626612956547
ACH-000108,-0.2448532720133863
ACH-000113,-0.0959862132220256
ACH-000116,-0.06399332137755337
ACH-000118,-0.07708029139230363
ACH-000120,-0.12884922580374444
ACH-000123,0.02284396892674079
ACH-000127,-0.060523103310226825
ACH-000128,0.15288710414140486
ACH-000132,0.03567251677908627
ACH-000133,-0.004555833838475121
ACH-000137,-0.180340081054548
ACH-000138,-0.051650506705823884
ACH-000142,-0.13770761922476452
ACH-000143,-0.10790178293764947
ACH-000146,-0.15202296627123915
