,NFKBIL1 (4795)
ACH-000004,0.09775272867744447
ACH-000005,-0.060242816615832424
ACH-000007,0.20920936882310112
ACH-000009,0.2658967618104615
ACH-000011,0.051960430679976036
ACH-000012,0.048023254512583616
ACH-000013,0.0911720888938051
ACH-000014,-0.0554046759916862
ACH-000015,0.13833754757191732
ACH-000017,0.10486461173151533
ACH-000018,-0.021974847863408843
ACH-000019,0.08691997235877275
ACH-000021,0.01950101753492489
ACH-000022,0.03370831752901247
ACH-000025,0.015513070386771563
ACH-000028,0.13192671031102346
ACH-000030,0.12825252210982574
ACH-000035,0.1602327001777917
ACH-000036,0.005403785889279047
ACH-000037,0.19330406743074127
ACH-000039,0.1271721177512294
ACH-000040,0.057124606348710576
ACH-000041,0.06977836145239884
ACH-000042,-0.09221392143465988
ACH-000045,0.0913273337985575
ACH-000047,0.11648539865859013
ACH-000052,-0.15221824867243955
ACH-000053,0.09496785692691537
ACH-000054,0.02850739628017102
ACH-000055,-0.18178202925248066
ACH-000060,-0.037183678226648885
ACH-000067,-0.04921172842105488
ACH-000070,0.12433236965670542
ACH-000075,0.19891788299373955
ACH-000078,-0.016905806199824184
ACH-000082,0.12777409650453436
ACH-000085,0.3857971110398828
ACH-000086,0.03660796226740698
ACH-000087,0.4094817918819989
ACH-000092,0.03971814144799512
ACH-000095,0.15652360424466893
ACH-000097,0.10741154423127676
ACH-000098,-0.011237443234634504
ACH-000099,0.19841428823095314
ACH-000108,0.014025849400921608
ACH-000113,0.006119000392371314
ACH-000116,0.23512041542984385
ACH-000118,0.07400085933604666
ACH-000120,-0.1095634995493674
ACH-000123,0.014727915875993229
ACH-000127,0.028511956751732688
ACH-000128,-0.04445946742558509
ACH-000132,0.04848100767659449
ACH-000133,-0.029024580155493425
ACH-000137,0.22402002656886336
ACH-000138,-0.020393506479378147
ACH-000142,0.023439370365790555
ACH-000143,0.10944288894314648
ACH-000146,-0.07192777224643737
ACH-000148,0.0453221083784173
ACH-000150,-0.04922443944016575
ACH-000152,0.0057047108460620355
ACH-000153,0.3199821943276159
ACH-000159,0.1569914362618415
ACH-000160,0.17445341729003264
ACH-000163,0.10589132204739382
ACH-000167,0.1526357371460074
ACH-000168,0.04406896703552648
ACH-000169,0.0969133667670784
ACH-000178,0.05021978148947478
ACH-000183,0.005388504362133714
