,NRARP (441478)
ACH-000004,0.027135671770694543
ACH-000005,0.1197288554202812
ACH-000007,-0.26488066540606064
ACH-000009,-0.2906200637182945
ACH-000011,-0.18275558343203294
ACH-000012,-0.14391387117121826
ACH-000013,-0.30579522083075633
ACH-000014,0.036463759027589186
ACH-000015,-0.2086785587207067
ACH-000017,-0.15218180642227278
ACH-000018,-0.0020086701877248467
ACH-000019,0.07347091730909007
ACH-000021,-0.014901633473980797
ACH-000022,-0.14288122095068853
ACH-000025,-0.12248400265397545
ACH-000028,-0.24116343908597102
ACH-000030,-0.11582029835275172
ACH-000035,-0.025051837092722202
ACH-000036,-0.12235943767872295
ACH-000037,-0.133851919780879
ACH-000039,0.1542760580821972
ACH-000040,-0.10098768803557118
ACH-000041,0.0018581207661068015
ACH-000042,-0.19689373968044135
ACH-000045,-0.03891134046698238
ACH-000047,-0.0952022696374564
ACH-000052,-0.2682203335502536
ACH-000053,-0.17879287333843105
ACH-000054,-0.08160557142486886
ACH-000055,-0.13403153249335736
ACH-000060,-0.08939258752420486
ACH-000067,-0.1386948879162337
ACH-000070,-0.2554536474106631
ACH-000075,-0.20185986014046128
ACH-000078,-0.1803310716441632
ACH-000082,0.004009221132182987
ACH-000085,-0.2432076022924234
ACH-000086,-0.05143347175411248
ACH-000087,-0.2729980290625348
ACH-000092,-0.00776706088988964
ACH-000095,-0.14892905246131302
ACH-000097,-0.1437679914478189
ACH-000098,-0.04734667951345736
ACH-000099,-0.2191527004724429
ACH-000108,-0.17376363816753354
ACH-000113,-0.05314276510783296
ACH-000116,-0.2889571774989594
ACH-000118,-0.18957758832408664
ACH-000120,-0.06929666394114373
ACH-000123,-0.140714785447982
ACH-000127,-0.1546883594071584
ACH-000128,-0.20100288646594974
ACH-000132,-0.1085374952230356
ACH-000133,0.003790553840802384
ACH-000137,-0.041859042457255975
ACH-000138,-0.2514693719150581
ACH-000142,-0.026394332491868358
ACH-000143,-0.056164382392273636
ACH-000146,-0.2179369740289072
ACH-000148,-0.062388115175326574
ACH-000150,-0.2880670874300891
ACH-000152,-0.10850392723471576
ACH-000153,0.13521202587979567
ACH-000159,-0.11244271164349967
ACH-000160,-0.009703836252545176
ACH-000163,-0.04453005587845278
ACH-000167,0.04456488892193442
ACH-000168,-0.2411646190940427
ACH-000169,-0.23617049700082576
ACH-000178,-0.03713917122003417
ACH-000183,-0.17850200157864474
ACH-000188,-0.15249191182681532
ACH-000189,-0.057322220325043666
ACH-000190,0.016600374731336447
ACH-000198,-0.033944405829598186
ACH-000203,0.00831300615113172
ACH-000204,-0.19409079598574147
ACH-000206,-0.12675572584164585
ACH-000207,-0.06756198325963371
ACH-000208,-0.26830346397045163
ACH-000210,-0.2332457636546152
ACH-000211,-0.1062422064547274
ACH-000215,-0.16656324682044926
ACH-000221,-0.09799295851297003
ACH-000222,-0.10603854315834424
ACH-000223,-0.26266047013953986
ACH-000226,0.0124832076086542
ACH-000227,-0.20052425447353847
ACH-000228,-0.0522340645087301
ACH-000231,-0.12446307454655944
ACH-000232,-0.15436461934556087
ACH-000233,-0.08512746265492473
ACH-000234,-0.02829003737656417
ACH-000235,-0.10418609255249922
ACH-000237,-0.24819175573076854
ACH-000238,-0.17307317814884146
ACH-000242,-0.34581870783060736
