,UQCRFS1 (7386)
ACH-000004,-0.8028773635928695
ACH-000005,-1.0035991746353845
ACH-000007,-0.5896406299915707
ACH-000009,-0.4338763298013465
ACH-000011,-0.6641256015407583
ACH-000012,-0.6954339761664043
ACH-000013,-0.7937461216346586
ACH-000014,-0.6532379235649719
ACH-000015,-0.9362711143466264
ACH-000017,-0.4960679632175027
ACH-000018,-0.4413145650617827
ACH-000019,-0.7253187334348726
ACH-000021,-0.7515803511568434
ACH-000022,-0.7070334343029
ACH-000025,-0.4218077683132261
ACH-000028,-0.5816735679556505
ACH-000030,-0.9060973378587788
ACH-000035,-0.6919505145970489
ACH-000036,-0.09250437125091196
ACH-000037,-0.4149164084787383
ACH-000039,-0.4980965437903108
ACH-000040,-0.26171424362211604
ACH-000041,-0.7787692900066981
ACH-000042,-0.5148054517697389
ACH-000045,-0.3347017747311247
ACH-000047,-0.5468764307667167
ACH-000052,-0.6703586462460054
ACH-000053,-0.7329348803344572
ACH-000054,-0.7638900066547059
ACH-000055,-0.5937834028100372
ACH-000060,-0.5992942039606624
ACH-000067,-0.5129087835198451
ACH-000070,-0.8219354221875446
ACH-000075,-0.4419634224495628
ACH-000078,-0.4323315149619204
ACH-000082,-0.29221329776111393
ACH-000085,-0.6972093242081192
ACH-000086,-0.5453892747902702
ACH-000087,-0.8308973601808742
ACH-000092,-0.5320406624565694
ACH-000095,-0.348250123554861
ACH-000097,-0.501097680460316
ACH-000098,-0.6266836516874564
ACH-000099,-0.4998336726388866
ACH-000108,-0.6528296603257815
ACH-000113,-0.5079220917743125
ACH-000116,-0.5895560669157281
ACH-000118,-0.8283689048063401
ACH-000120,-0.5379780380161174
ACH-000123,-0.4850268346604825
ACH-000127,-0.7236780768636697
ACH-000128,-0.588115312000709
ACH-000132,-0.5813220448086966
ACH-000133,-0.5192944235266128
ACH-000137,-0.545267090405748
ACH-000138,-0.6508945976450599
ACH-000142,-0.2906545886470177
ACH-000143,-0.599235267249305
ACH-000146,-0.8320891226928531
ACH-000148,-0.3907813807444742
ACH-000150,-0.6928235354219335
ACH-000152,-0.3426677225135178
ACH-000153,-0.6764955104446376
ACH-000159,-0.5144408522124823
ACH-000160,-1.1904128015404785
ACH-000163,-0.3168252179265582
ACH-000167,-0.6625893005153445
ACH-000168,-0.5696866106068883
ACH-000169,-0.4927541380762275
ACH-000178,-0.5702431742651038
ACH-000183,-0.8034732059187379
ACH-000188,-0.4188284543159059
ACH-000189,-0.17299520133574606
ACH-000190,-0.6242626205671631
ACH-000198,-0.4530047822274942
ACH-000203,-0.5483282701358239
ACH-000204,-0.5336345103583879
ACH-000206,-0.6311651424396411
ACH-000207,-0.4368216926696573
ACH-000208,-0.5687355897848887
ACH-000210,-0.6935415740934359
ACH-000211,-0.5072053298401774
ACH-000215,-0.5369393630657597
ACH-000221,-0.9552563581368948
ACH-000222,-0.5954254808095587
ACH-000223,-0.8102289584130025
ACH-000226,-0.6749114461576353
ACH-000227,-0.670719439369987
ACH-000228,-0.5519465848301099
ACH-000231,-0.3229135002333374
ACH-000232,-0.4127739103195119
ACH-000233,-0.7366793455371515
ACH-000234,-0.4036525661783447
ACH-000235,-0.7190681484701834
ACH-000237,-0.2582644705997064
ACH-000238,-0.4781180654528958
ACH-000242,-0.60741263448911
ACH-000243,-0.4902304879400704
ACH-000244,-0.66402984041508
ACH-000246,-0.7544349965914445
ACH-000248,-0.7382408968510531
ACH-000250,-0.1916940885876154
ACH-000251,-0.6299301700958231
ACH-000252,-0.6103520826275871
ACH-000253,-0.7896873901754266
ACH-000255,-0.6043604615462198
ACH-000256,-0.6678762863051744
ACH-000257,-0.8138863882525211
ACH-000258,-0.3928274435038927
ACH-000259,-0.5805982699114183
ACH-000260,-0.4903794212626866
ACH-000261,-0.4511761352732272
ACH-000262,-0.5034423968564777
ACH-000263,-0.5445734316370815
ACH-000264,-0.4025735553912356
ACH-000265,-0.6899788834423984
ACH-000266,-0.4012858770953821
ACH-000272,-0.5200395734382808
ACH-000274,-0.5183436734018029
ACH-000277,-0.8708702297531626
ACH-000278,-0.5125229708621616
ACH-000279,-0.7222312309258442
ACH-000280,-0.5783729942032009
ACH-000281,-0.5280296405492426
ACH-000288,-0.5289898045556232
ACH-000291,-0.7475981565768102
ACH-000293,-0.5586940221578992
ACH-000294,-0.9603144189828964
ACH-000295,-0.6526318219653219
ACH-000296,-0.25437180458523395
ACH-000302,-0.6179375868002946
ACH-000304,-0.9298418931480557
ACH-000307,-0.7131686551952219
ACH-000308,-0.4857112939043274
ACH-000310,-0.4702054755089381
ACH-000311,-0.7696727985216735
ACH-000312,-0.7415168470304591
ACH-000315,-0.8639845832975633
ACH-000316,-0.358694107598326
ACH-000317,-0.8735321956325711
ACH-000318,-0.6803249364225016
ACH-000319,-0.5465031271424269
ACH-000320,-0.6683597819771341
ACH-000322,-0.5829172881298914
ACH-000323,-0.5737182899255365
ACH-000324,-0.39141871128956185
ACH-000329,-0.8738633031459305
ACH-000330,-0.8146690934822017
ACH-000331,-0.37433316227798347
ACH-000332,-0.3002937872697215
ACH-000334,-0.4645706155198258
ACH-000335,-0.6776273078815596
ACH-000336,-0.6402569897384052
ACH-000337,-0.8290877810730879
ACH-000338,-0.6366212971740121
ACH-000339,-0.8913174132836249
ACH-000341,-0.4521453235977856
ACH-000348,-0.5264823202260905
ACH-000350,-0.5571796875207579
ACH-000352,-0.6993224180442039
ACH-000356,-0.4960022345716691
ACH-000361,-0.6114511793855818
ACH-000362,-0.6754444399019548
ACH-000363,-0.7901500656383301
ACH-000364,-0.6956452477158248
ACH-000365,-0.6900222971689901
ACH-000366,-0.5541607322854754
ACH-000368,-0.533154463017507
ACH-000374,-0.7078631792332278
ACH-000375,-0.5732149085514014
ACH-000376,-0.715727394597515
ACH-000381,-0.6783202130338457
ACH-000383,-0.7312507985828794
ACH-000387,-0.7184492916226713
ACH-000389,-0.32597655571764284
ACH-000390,-0.7161711104368848
ACH-000393,-0.4072206036312637
