,NGRN (51335)
ACH-000004,-0.2561232476933284
ACH-000005,-0.1682892113445509
ACH-000007,-0.34295927222461825
ACH-000009,-0.2466593106663451
ACH-000011,-0.07892681454136648
ACH-000012,-0.19520292418871735
ACH-000013,-0.3619436264919447
ACH-000014,-0.37000134756567693
ACH-000015,-0.27314482218044994
ACH-000017,-0.15124885295999935
ACH-000018,-0.2164143328142566
ACH-000019,-0.2989244050636348
ACH-000021,-0.20435028242315995
ACH-000022,-0.33743643141712565
ACH-000025,-0.38721086758153106
ACH-000028,-0.2800451697581522
ACH-000030,-0.038398923914052835
ACH-000035,-0.4483548562146911
ACH-000036,-0.04895434065433272
ACH-000037,-0.28918536363603115
ACH-000039,-0.16362358926403614
ACH-000040,-0.08925689089098549
ACH-000041,-0.21381908714869627
ACH-000042,-0.2701495549692922
ACH-000045,-0.3532368732654494
ACH-000047,-0.30579600856867034
ACH-000052,-0.12622250754388084
ACH-000053,-0.14583573996856858
ACH-000054,-0.2630673685168422
ACH-000055,-0.11247327317701217
ACH-000060,-0.012346658076537712
ACH-000067,-0.17380573511488093
ACH-000070,-0.3483741000539662
ACH-000075,-0.11527146718938573
ACH-000078,-0.28278874732401554
ACH-000082,-0.35309120399307586
ACH-000085,-0.2193734117062212
ACH-000086,-0.2992095873934225
ACH-000087,-0.3618551574549197
ACH-000092,-0.264786656330012
ACH-000095,-0.06720764571349377
ACH-000097,-0.07752133104897968
ACH-000098,-0.12854381911964485
ACH-000099,-0.19464362908273689
ACH-000108,-0.23714130369008696
ACH-000113,-0.5734414044462083
ACH-000116,-0.2510652429282626
ACH-000118,-0.4715346556031802
ACH-000120,-0.33005471754002763
ACH-000123,-0.18553239355545026
ACH-000127,-0.2093637803538912
ACH-000128,-0.38713429667585997
ACH-000132,-0.3005079961755732
ACH-000133,-0.14009484068565406
ACH-000137,-0.23113020179587815
ACH-000138,-0.12967659980609847
ACH-000142,-0.039524814904619406
ACH-000143,-0.5410672780331072
ACH-000146,-0.11948692416201676
ACH-000148,-0.323114548332422
ACH-000150,-0.2355061686293033
ACH-000152,-0.18559628107970846
ACH-000153,-0.1622965270074945
ACH-000159,-0.16027499378431007
ACH-000160,-0.3540105758557503
ACH-000163,-0.27463142434509524
ACH-000167,0.12092787768036245
ACH-000168,-0.2647113585802871
ACH-000169,-0.3562708424296894
ACH-000178,-0.20016596047386176
ACH-000183,-0.0973627110100217
ACH-000188,-0.16297271905289135
ACH-000189,-0.10512184305293308
ACH-000190,-0.4242820726875439
ACH-000198,-0.4369618241410533
ACH-000203,0.20425037770136328
ACH-000204,-0.4028244353842879
ACH-000206,-0.38909297130076737
ACH-000207,-0.3992814073214325
ACH-000208,-0.5880376608922713
ACH-000210,-0.07576038512467882
ACH-000211,-0.2354129842466903
ACH-000215,-0.2430990366318761
ACH-000221,-0.3965159843554934
ACH-000222,-0.19093236947359166
ACH-000223,-0.2893596317429538
ACH-000226,-0.2161358306965669
ACH-000227,-0.13325582437126812
ACH-000228,-0.1269376444568794
ACH-000231,-0.2335607443503871
ACH-000232,-0.29153446743607064
ACH-000233,-0.334615494786654
ACH-000234,-0.20317156949685888
ACH-000235,-0.2273658080076878
ACH-000237,-0.09968763077200923
ACH-000238,-0.2913490748288515
ACH-000242,-0.104393607425137
ACH-000243,-0.205415726300424
ACH-000244,-0.3436749594274124
ACH-000246,-0.21196125929502305
ACH-000248,-0.16301587423184932
ACH-000250,-0.0640328394820157
ACH-000251,-0.1248429625464996
ACH-000252,-0.11315816526223195
ACH-000253,-0.23235950894514096
ACH-000255,-0.21708281250435255
ACH-000256,0.012074578599456341
ACH-000257,-0.31739622321915745
ACH-000258,-0.15935619517565786
ACH-000259,-0.575377261948222
ACH-000260,-0.15537690762702402
ACH-000261,-0.05335015816280272
ACH-000262,-0.1365430016339927
ACH-000263,-0.2840859460747109
ACH-000264,-0.22387141167375446
ACH-000265,-0.5730997712394731
ACH-000266,-0.2348406425596484
ACH-000272,-0.18249473829575413
ACH-000274,-0.29951540856637604
ACH-000277,-0.17408678732277336
ACH-000278,-0.09609216519342396
ACH-000279,-0.30611025526655644
ACH-000280,-0.2618642599751499
ACH-000281,-0.35918163369625444
ACH-000288,-0.24332934540946696
ACH-000291,-0.1891706063748104
ACH-000293,-0.2580492427110022
ACH-000294,-0.15001191022499438
ACH-000295,-0.25548794512620754
ACH-000296,-0.06739998642430105
ACH-000302,-0.2263384567020797
ACH-000304,-0.3818747038758359
ACH-000307,-0.1482991175072645
ACH-000308,-0.20304624120189813
ACH-000310,-0.13710346028055095
ACH-000311,-0.3206714559908235
ACH-000312,-0.22017171363983096
ACH-000315,-0.4218551454420045
ACH-000316,-0.11955978827389795
ACH-000317,-0.1954920401028241
ACH-000318,-0.15360039522977495
ACH-000319,-0.2961378772302357
ACH-000320,-0.31268243117076544
ACH-000322,-0.27704643816189395
ACH-000323,-0.13156980678039332
ACH-000324,-0.005058252756470478
ACH-000329,-0.2618990945609697
ACH-000330,-0.30194121449123945
ACH-000331,-0.29470922175533426
ACH-000332,-0.11818351770753882
ACH-000334,-0.13719604987252615
ACH-000335,-0.31571185124933315
ACH-000336,-0.6300675160734844
ACH-000337,-0.16120623195193778
ACH-000338,0.033786301983287075
ACH-000339,-0.15908941592186004
ACH-000341,-0.17923719719762227
ACH-000348,-0.2602247774178597
ACH-000350,-0.2385919566940917
