,ZGRF1 (55345)
ACH-000004,-0.2980616910435266
ACH-000005,-0.22341450265814752
ACH-000007,-0.2588439030100221
ACH-000009,-0.22770913602136944
ACH-000011,-0.2591998419456263
ACH-000012,-0.1884086129527846
ACH-000013,-0.2464262398017429
ACH-000014,-0.3363039436021088
ACH-000015,-0.3647118126291924
ACH-000017,-0.31521377587529564
ACH-000018,-0.208177818517989
ACH-000019,-0.22552490856341856
ACH-000021,-0.24906082580628935
ACH-000022,-0.3268041111695691
ACH-000025,-0.27552373044133216
ACH-000028,-0.30926954709763765
ACH-000030,-0.2892725829389457
ACH-000035,-0.2680003225763231
ACH-000036,-0.3857203125851532
ACH-000037,-0.4331214980379802
ACH-000039,-0.31595870299899537
ACH-000040,-0.31635046175501924
ACH-000041,-0.32353460561140274
ACH-000042,-0.34226482835982025
ACH-000045,-0.3376908441441508
ACH-000047,-0.4540420806323346
ACH-000052,-0.5687864619803712
ACH-000053,-0.26032514777534216
ACH-000054,-0.2953258433978973
ACH-000055,-0.4938351696363042
ACH-000060,-0.3429904432368033
ACH-000067,-0.4096764645846532
ACH-000070,-0.3641255171698012
ACH-000075,-0.614001799890281
ACH-000078,-0.19848497558822006
ACH-000082,-0.3483981287911249
ACH-000085,-0.20872898762232855
ACH-000086,-0.2264067718978081
ACH-000087,-0.4629730249352608
ACH-000092,-0.35783844418496824
ACH-000095,-0.24346287013707324
ACH-000097,-0.3879710358835937
ACH-000098,-0.3983843311030331
ACH-000099,-0.23283360384968055
ACH-000108,-0.34560757570212225
ACH-000113,-0.29282326476146336
ACH-000116,-0.4017633333001967
ACH-000118,-0.2798981436569892
ACH-000120,-0.2338552652834737
ACH-000123,-0.37607705491273
ACH-000127,-0.26570558482564266
ACH-000128,-0.34507783060957103
ACH-000132,-0.4568469067044065
ACH-000133,-0.3439928964334225
ACH-000137,-0.3172584681410953
ACH-000138,-0.1894398048974156
ACH-000142,-0.27270953789145785
ACH-000143,-0.2315679957239193
ACH-000146,-0.25158116104081524
ACH-000148,-0.23314371242129486
ACH-000150,-0.3843928253026929
ACH-000152,-0.2986086564379273
ACH-000153,-0.4776034937271888
ACH-000159,-0.35160519335860896
ACH-000160,-0.3702283107813106
ACH-000163,-0.2825639137347333
ACH-000167,-0.5409631690330197
ACH-000168,-0.2637744560941085
ACH-000169,-0.34760608540849675
ACH-000178,-0.2682754820823318
ACH-000183,-0.3208667364360546
ACH-000188,-0.259503274151909
ACH-000189,-0.16688487979222905
ACH-000190,-0.4002576177639997
ACH-000198,-0.28395775809461954
ACH-000203,-0.17824382635017705
ACH-000204,-0.4172262546286585
