,FETUB (26998)
ACH-000004,-0.1536501423914179
ACH-000005,-0.1957492657321289
ACH-000007,-0.1434302918224881
ACH-000009,-0.20302865507312925
ACH-000011,-0.3241535444687145
ACH-000012,-0.15802689078845047
ACH-000013,-0.15977861846703442
ACH-000014,-0.3556156011273838
ACH-000015,-0.03944547311900218
ACH-000017,-0.20537985770825734
ACH-000018,-0.08105655579123525
ACH-000019,-0.1710697107068278
ACH-000021,-0.1882219027330635
ACH-000022,-0.18747298830612055
ACH-000025,-0.1566461575617791
ACH-000028,-0.19664016946462914
ACH-000030,-0.2774848418452468
ACH-000035,-0.06024831427256725
ACH-000036,-0.3021322577234625
ACH-000037,-0.2244134056744349
ACH-000039,-0.2312583591665474
ACH-000040,-0.3670911448972636
ACH-000041,-0.3240588116767101
ACH-000042,-0.2005265391693917
ACH-000045,-0.3141993446696178
ACH-000047,-0.2000699969005192
ACH-000052,-0.14910639189966984
ACH-000053,-0.1951882341316128
ACH-000054,-0.4845323135202718
ACH-000055,-0.18563106295152787
ACH-000060,-0.2863301982153241
ACH-000067,-0.40184062232130696
ACH-000070,-0.22139241702727044
ACH-000075,-0.2802012171206228
ACH-000078,-0.3978835264728193
ACH-000082,-0.2568757087559703
ACH-000085,-0.35687373725574684
ACH-000086,-0.1556153248676892
ACH-000087,-0.17929089516979144
ACH-000092,-0.3659987633667842
ACH-000095,-0.35175878151342393
ACH-000097,-0.3177103683058219
ACH-000098,-0.16555774455728908
ACH-000099,-0.4384644628265061
ACH-000108,-0.3375754292402114
ACH-000113,-0.2278995246580039
ACH-000116,-0.3932735041862052
ACH-000118,-0.12536840052090858
ACH-000120,-0.2519989767486968
ACH-000123,-0.2743179628489865
ACH-000127,-0.3078871065674471
ACH-000128,-0.2299279714387817
ACH-000132,-0.32345607294128664
ACH-000133,-0.31351009288538
ACH-000137,-0.24281232438889305
ACH-000138,-0.3205225965845245
ACH-000142,-0.2022638931534663
ACH-000143,-0.2619824430003002
ACH-000146,-0.2688242035142228
ACH-000148,-0.1805030964608716
ACH-000150,-0.3874160068831076
ACH-000152,-0.3178101741651005
ACH-000153,-0.33595665976178873
ACH-000159,-0.2447724937074256
ACH-000160,-0.3479203732172024
ACH-000163,-0.13876890528431898
ACH-000167,-0.006811055625851486
ACH-000168,-0.3175677634648105
ACH-000169,-0.27250219187673025
ACH-000178,-0.1517481095460416
ACH-000183,-0.2960359515942198
ACH-000188,-0.18800623143538409
ACH-000189,-0.2742419269707214
ACH-000190,-0.20505397836221645
ACH-000198,-0.20582444718878906
ACH-000203,-0.7026757378037022
ACH-000204,-0.2734756007643647
ACH-000206,-0.35745516001291483
ACH-000207,-0.29525852599093194
ACH-000208,-0.3868298769504435
ACH-000210,-0.20815925649780484
ACH-000211,-0.3165708962136589
ACH-000215,-0.237475233907758
ACH-000221,-0.17419874668201032
ACH-000222,-0.18581538984864412
ACH-000223,-0.4379248484722686
ACH-000226,-0.2551116973449267
ACH-000227,-0.4035827676134175
ACH-000228,-0.1099269258942047
ACH-000231,-0.2778073605495469
ACH-000232,-0.4275009072267581
ACH-000233,-0.334046027818283
ACH-000234,-0.1969962594791245
ACH-000235,-0.17956313420724968
ACH-000237,-0.2892195723964305
ACH-000238,-0.4213414442541397
ACH-000242,0.1299817914074156
ACH-000243,-0.1892203725337765
ACH-000244,-0.3343781781420844
ACH-000246,-0.2586099032705821
ACH-000248,-0.11501032569835234
ACH-000250,-0.2897219644628085
ACH-000251,-0.23747135654907064
ACH-000252,-0.237750221887544
ACH-000253,-0.43455552631514177
ACH-000255,-0.194169276182296
ACH-000256,-0.3843426979602623
ACH-000257,-0.17791593137531828
ACH-000258,-0.4932043449877017
ACH-000259,-0.3203353916011468
ACH-000260,-0.2836760815777256
ACH-000261,-0.22780588906808746
ACH-000262,-0.28873162721441464
ACH-000263,-0.13181005151288466
ACH-000264,-0.28394477506271404
ACH-000265,-0.2360618638137182
ACH-000266,-0.25382809676688844
ACH-000272,-0.21807051317539364
ACH-000274,-0.4114753585326061
ACH-000277,-0.3109602840375722
ACH-000278,-0.4099249468369309
ACH-000279,-0.3676001130217517
ACH-000280,-0.23580166624878554
ACH-000281,-0.1530515656733366
ACH-000288,-0.22081411252493136
ACH-000291,-0.1565684326344041
ACH-000293,-0.2713337453890215
ACH-000294,-0.1986062860788883
ACH-000295,-0.241085667621268
ACH-000296,-0.20321103405820928
ACH-000302,-0.13810776089023788
ACH-000304,-0.2844132118729289
ACH-000307,-0.11482534212910073
ACH-000308,-0.2154684219368968
ACH-000310,-0.4247243889055405
ACH-000311,-0.2419956648922146
ACH-000312,-0.35877853577235125
ACH-000315,-0.3280459739691912
ACH-000316,-0.3563841612676838
ACH-000317,-0.16927656191106802
ACH-000318,-0.480491910261048
ACH-000319,-0.2077770095101884
ACH-000320,-0.07916098765350471
ACH-000322,-0.4218380127815173
ACH-000323,-0.27290269128462863
ACH-000324,-0.2707523381844161
ACH-000329,-0.34953178085849124
ACH-000330,-0.13694726035525825
ACH-000331,-0.3319902613795919
ACH-000332,-0.3591330630782496
ACH-000334,-0.3236670095281091
ACH-000335,-0.19050650609174932
ACH-000336,-0.3624465955912499
ACH-000337,-0.14486325726827415
ACH-000338,0.5366694194824566
ACH-000339,-0.271514594618109
ACH-000341,-0.32313820726082426
ACH-000348,-0.2719137089289664
ACH-000350,-0.34956827255519096
ACH-000352,-0.29028692096042885
ACH-000356,-0.2845903708782937
ACH-000361,-0.2933842432487713
ACH-000362,-0.17481856318888214
ACH-000363,-0.208643380150732
ACH-000364,-0.2522243400226903
ACH-000365,-0.2552947276878027
ACH-000366,-0.2380370513718001
ACH-000368,-0.3332281010391751
ACH-000374,-0.08552083540015491
ACH-000375,-0.22253186898661448
ACH-000376,-0.2128931442931448
ACH-000381,-0.15102183990381549
ACH-000383,-0.32142456591046475
ACH-000387,-0.3649914795474062
ACH-000389,-0.3733480989782225
ACH-000390,-0.16479979723041116
ACH-000393,-0.19312674743919786
ACH-000395,-0.27646629944296497
ACH-000396,-0.2131680656667332
ACH-000397,-0.2633441194997975
ACH-000401,-0.10998327383655933
ACH-000402,-0.40328781464596497
ACH-000403,-0.5161896575421404
ACH-000404,-0.3124618802044659
ACH-000406,-0.2274850110567589
ACH-000407,-0.2611455689935997
ACH-000408,-0.2437932345704988
ACH-000410,-0.18047338288007567
ACH-000411,-0.4599361381177958
ACH-000414,-0.23632991707433804
ACH-000415,-0.19723123664660652
ACH-000416,-0.27923913938555683
ACH-000420,-0.1664220792822832
ACH-000421,-0.33043867809932725
ACH-000424,-0.1730600148010913
ACH-000425,-0.23722353441258326
ACH-000426,-0.17820409128073927
ACH-000427,-0.40571965229067697
ACH-000433,-0.1122122947352417
ACH-000435,-0.026184641255853208
ACH-000436,-0.4048161894814325
ACH-000444,-0.3547160877043515
ACH-000445,-0.13196236365504094
ACH-000448,-0.19273834652404948
ACH-000450,-0.04374979815761821
ACH-000452,-0.2188261954172892
ACH-000454,-0.1296410289268946
ACH-000458,-0.3348673370932093
ACH-000459,-0.323714974991002
ACH-000460,-0.2612359996926877
ACH-000461,-0.16141201704486627
ACH-000463,-0.3364017168116488
ACH-000464,-0.18767722576648535
ACH-000466,-0.2590367752038468
ACH-000467,-0.3716643244268292
