,TMEM59L (25789)
ACH-000004,0.041490777899198986
ACH-000005,-0.0649607108106626
ACH-000007,0.1057413721562748
ACH-000009,-0.07268678771713309
ACH-000011,-0.08626489999615441
ACH-000012,-0.18565088693697465
ACH-000013,-0.177523408107659
ACH-000014,-0.056090274006601264
ACH-000015,-0.2296944072525238
ACH-000017,-0.27385165747335344
ACH-000018,-0.002534017867671852
ACH-000019,-0.12428434834156553
ACH-000021,-0.10475311708104576
ACH-000022,-0.2041266104334278
ACH-000025,-0.2033305801178629
ACH-000028,-0.2462723480752833
ACH-000030,-0.19617929857088573
ACH-000035,-0.11137173674688948
ACH-000036,-0.2350119304610792
ACH-000037,-0.055498530291637815
ACH-000039,-0.2364231251144134
ACH-000040,-0.1036453842117042
ACH-000041,-0.15918053995217346
ACH-000042,-0.17599603825930124
ACH-000045,-0.11851813342635495
ACH-000047,-0.16554094172060474
ACH-000052,-0.06230484767443361
ACH-000053,-0.1408309166514405
ACH-000054,-0.12068345441920265
ACH-000055,-0.28189474228856226
ACH-000060,-0.16596645656165462
ACH-000067,-0.03203955042092379
ACH-000070,-0.07936470920761839
ACH-000075,-0.20739891026520746
ACH-000078,-0.08802029192662096
ACH-000082,-0.1635981280337633
ACH-000085,-0.277991982653364
ACH-000086,-0.1546265021338772
ACH-000087,-0.21101801025532424
ACH-000092,-0.16150782048025844
ACH-000095,-0.037980689860922505
ACH-000097,-0.1808031776550062
ACH-000098,-0.06460897068885876
ACH-000099,-0.11691100803778373
ACH-000108,-0.2142143361748732
ACH-000113,-0.10062324566699504
ACH-000116,-0.2653304097068753
ACH-000118,-0.18820377590726525
ACH-000120,-0.052101707753002637
ACH-000123,-0.09910845428223584
ACH-000127,-0.1798944122321755
ACH-000128,-0.11536514287744415
ACH-000132,-0.2564634196109114
ACH-000133,0.05712916800730707
ACH-000137,-0.15436253096542418
ACH-000138,0.12202199795973427
ACH-000142,0.015677698421737867
ACH-000143,-0.19444028514448325
ACH-000146,-0.03196843660081121
ACH-000148,-0.07126780197682492
ACH-000150,-0.02632621770451701
ACH-000152,-0.03719430703708314
ACH-000153,0.16976046656407187
ACH-000159,-0.13878172161263544
ACH-000160,-0.3768747393148265
ACH-000163,-0.15560770477437513
ACH-000167,-0.3409709513687464
ACH-000168,-0.10702620032801144
ACH-000169,-0.14796088065853824
ACH-000178,-0.11536668434734736
ACH-000183,-0.13445316064420432
ACH-000188,-0.03452350023101849
ACH-000189,-0.09833912297969333
ACH-000190,-0.039564027428542765
ACH-000198,-0.16260280741523508
ACH-000203,-0.2195465992369456
ACH-000204,-0.07736024805864472
ACH-000206,-0.2976277208528845
ACH-000207,-0.2158136843217336
ACH-000208,-0.1737949100252227
ACH-000210,-0.099291311874715
ACH-000211,-0.15001394645901867
ACH-000215,-0.03732247138302559
ACH-000221,-0.04612746064670715
ACH-000222,-0.05993010952123524
ACH-000223,-0.005498583622650168
ACH-000226,-0.13533095811509996
ACH-000227,-0.2349683017067548
ACH-000228,-0.07916202499023874
ACH-000231,-0.040959612496215485
ACH-000232,-0.334310043383564
ACH-000233,-0.09036752925673848
ACH-000234,-0.2361254970333664
ACH-000235,-0.08163562495367631
ACH-000237,-0.2138683436535271
ACH-000238,0.04441758681588593
ACH-000242,0.3707021399466195
ACH-000243,-0.15131771812189473
ACH-000244,-0.05288507733316945
ACH-000246,-0.16903894620017226
ACH-000248,-0.17085495647529467
ACH-000250,-0.2505748091660233
ACH-000251,-0.1975639217155176
ACH-000252,-0.0786504367450418
ACH-000253,-0.1969551082817853
ACH-000255,-0.17544313010390564
ACH-000256,0.10614339657151316
ACH-000257,-0.05939306647769579
ACH-000258,-0.2770093516604291
ACH-000259,-0.13754466094230464
ACH-000260,-0.18976383544745865
ACH-000261,-0.14820285822930598
ACH-000262,-0.16933004825637532
ACH-000263,-0.2579828747775326
ACH-000264,-0.087692335064787
ACH-000265,-0.02523451245553911
ACH-000266,-0.09514448964778208
ACH-000272,-0.17885616443005825
ACH-000274,-0.16504655935558854
ACH-000277,-0.0264430062582274
ACH-000278,-0.21726158597540965
ACH-000279,-0.10771094703638734
ACH-000280,-0.08435842780176016
ACH-000281,-0.2427506159553197
ACH-000288,-0.11841746114416488
ACH-000291,-0.0953096771793316
ACH-000293,-0.12879343939694804
ACH-000294,-0.06593049229502615
ACH-000295,-0.0883599657777087
ACH-000296,-0.10852760276132836
ACH-000302,-0.18720532922946845
ACH-000304,-0.07730176119139884
ACH-000307,-0.16354889152678104
ACH-000308,-0.1787309279163151
ACH-000310,-0.17754346565640045
ACH-000311,-0.09754410295087138
ACH-000312,-0.20878287933714051
ACH-000315,-0.0508297462375479
ACH-000316,-0.11944833913820295
ACH-000317,-0.07382994880769947
ACH-000318,-0.33257830607136435
ACH-000319,-0.07354618109612407
ACH-000320,-0.0244274883382574
ACH-000322,-0.11700170068693976
ACH-000323,-0.07267740920924792
ACH-000324,-0.10549397595716324
ACH-000329,-0.004180653280068266
ACH-000330,-0.1384307433383409
ACH-000331,-0.16423686688920958
ACH-000332,-0.08815301651305663
ACH-000334,-0.10970208503755978
ACH-000335,-0.11460547339362186
ACH-000336,-0.25359531619829684
ACH-000337,-0.4062837620004121
ACH-000338,0.18283196914091468
ACH-000339,-0.13811600955684886
ACH-000341,-0.24508024318991534
ACH-000348,-0.12850411298645506
ACH-000350,-0.002831995241589994
ACH-000352,-0.2464731776808116
ACH-000356,-0.07792384016699459
ACH-000361,-0.121746466113098
ACH-000362,-0.15231701208560486
ACH-000363,-0.3287368607799793
ACH-000364,-0.1887835462782544
ACH-000365,0.034955014099719954
ACH-000366,-0.15423701397431408
ACH-000368,-0.17728759962036011
ACH-000374,-0.20304133587237527
ACH-000375,-0.17354915526471282
ACH-000376,-0.005658741465711203
ACH-000381,-0.21815875950549055
ACH-000383,-0.12618868502047706
ACH-000387,-0.1360641794312471
ACH-000389,-0.10387318530311868
ACH-000390,-0.2138591341039084
ACH-000393,-0.33030850248055826
ACH-000395,-0.2367288531620986
ACH-000396,0.07205009106392933
ACH-000397,-0.10476284892909173
ACH-000401,0.05308648978720765
ACH-000402,-0.038507170741462544
ACH-000403,-0.177359134422095
ACH-000404,-0.16277880972590894
ACH-000406,-0.1601569862969226
ACH-000407,-0.06768928108025042
ACH-000408,-0.21380163056175888
ACH-000410,-0.10423894400456024
ACH-000411,-0.1534091829076993
ACH-000414,-0.16194457507866514
ACH-000415,-0.2092908577835587
ACH-000416,-0.10643258843269382
ACH-000420,-0.2569227449683589
ACH-000421,-0.2124168902123364
ACH-000424,-0.2607403268094789
