,MARVELD3 (91862)
ACH-000004,0.01177723981059951
ACH-000005,-0.10610921089340934
ACH-000007,-0.08478146523037587
ACH-000009,-0.006894918866991914
ACH-000011,-0.05577529509823821
ACH-000012,-0.09336916970246613
ACH-000013,-0.0999212782591284
ACH-000014,-0.06442351925852483
ACH-000015,-0.03016251560894212
ACH-000017,-0.07690561691822884
ACH-000018,-0.0990910732486484
ACH-000019,-0.06722862083346921
ACH-000021,-0.13055473622062513
ACH-000022,-0.13805521650127736
ACH-000025,-0.1741933054450681
ACH-000028,-0.10822654821770357
ACH-000030,-0.0071561759631864905
ACH-000035,-0.03668585517017416
ACH-000036,-0.2620775709848438
ACH-000037,-0.3620305883284299
ACH-000039,-0.19354564412721087
ACH-000040,-0.030763257717333164
ACH-000041,-0.030368083573989974
ACH-000042,-0.08566055656430918
ACH-000045,-0.016213179615444082
ACH-000047,-0.06677473382355706
ACH-000052,-0.2626484499670476
ACH-000053,0.008062300900885163
ACH-000054,-0.14252989529460347
ACH-000055,-0.1665556606200497
ACH-000060,-0.032745408077965894
ACH-000067,-0.29052997817698684
ACH-000070,-0.08786199714519778
ACH-000075,-0.20330317018881205
ACH-000078,-0.1034654636989026
ACH-000082,-0.09139699209629888
ACH-000085,-0.08780027857850496
ACH-000086,-0.06147893951323492
ACH-000087,-0.10047553330163743
ACH-000092,-0.10097719149250936
ACH-000095,-0.06768279806415478
ACH-000097,-0.07549454371147049
ACH-000098,-0.093016804647991
ACH-000099,0.0013843254137103974
ACH-000108,-0.2211694001800157
ACH-000113,-0.09928912751919104
ACH-000116,-0.13335465953765005
ACH-000118,-0.09182319927141508
ACH-000120,-0.1447089890056705
ACH-000123,-0.08113196213251253
ACH-000127,-0.08577870258610068
ACH-000128,-0.07210155445773461
ACH-000132,-0.14446048163578562
ACH-000133,-0.10691567001745
ACH-000137,-0.03662560256028069
ACH-000138,-0.10709471345812996
ACH-000142,-0.07496662147673558
ACH-000143,0.02276343764419236
ACH-000146,-0.07591404693256698
ACH-000148,-0.10772121395650668
ACH-000150,-0.03492797936041712
ACH-000152,-0.1438463176789794
ACH-000153,-0.32067234278627504
ACH-000159,-0.11557674513811506
ACH-000160,0.011474688776401577
