,MANSC4 (100287284)
ACH-000004,-0.09530356393245024
ACH-000005,-0.008734341528476278
ACH-000007,-0.06967493079654488
ACH-000009,-0.015329668963135697
ACH-000011,-0.12748616534828414
ACH-000012,0.10185759022686557
ACH-000013,-0.11529112616624225
ACH-000014,-0.1039425772482372
ACH-000015,-0.14954943603595094
ACH-000017,0.0028388376720530914
ACH-000018,-0.07012894772088066
ACH-000019,-0.07723567245786718
ACH-000021,-0.20405634612227327
ACH-000022,-0.02215687257479615
ACH-000025,-0.10487653870999554
ACH-000028,-0.0590417004833919
ACH-000030,-0.021316083907686408
ACH-000035,-0.0648805860970815
ACH-000036,-0.17091708434118266
ACH-000037,-0.14184617393440452
ACH-000039,-0.0008655725284419473
ACH-000040,-0.08679716594680592
ACH-000041,-0.07513464635895488
ACH-000042,-0.14659176020229314
ACH-000045,-0.07113827141482089
ACH-000047,-0.12623135834502475
ACH-000052,-0.20922579438202427
ACH-000053,-0.08395073640653189
ACH-000054,-0.10543944881492473
ACH-000055,0.01932429758989848
ACH-000060,-0.08148578315017181
ACH-000067,0.03137101446636336
ACH-000070,0.022056421688516882
ACH-000075,-0.06073346481032491
ACH-000078,-0.12012670439183255
ACH-000082,-0.15703584934151382
ACH-000085,0.02278665721765439
ACH-000086,-0.1302378756908704
ACH-000087,-0.04170392323046914
ACH-000092,-0.047701022367342666
ACH-000095,-0.06457553255316194
ACH-000097,-0.08964677102953206
ACH-000098,-0.10162686495520877
ACH-000099,-0.08442081522026577
ACH-000108,-0.02647267997226775
ACH-000113,-0.08446164869113823
ACH-000116,-0.2914617616724377
ACH-000118,-0.09007766693975423
ACH-000120,-0.15287463257691694
ACH-000123,-0.055988470680803
ACH-000127,-0.053641118974495666
ACH-000128,-0.12780310309948095
ACH-000132,-0.006815240427922215
ACH-000133,-0.22583221630976194
ACH-000137,-0.04092511202271027
ACH-000138,-0.15886068810621926
ACH-000142,-0.07743021875539281
ACH-000143,-0.13988133521891366
ACH-000146,-0.2557233076091321
ACH-000148,-0.08032803165501423
ACH-000150,0.04485089182872085
ACH-000152,-0.2245428523004259
ACH-000153,-0.12357891298146265
ACH-000159,-0.09179500994049508
ACH-000160,-0.18072076283489427
ACH-000163,-0.09415505831596464
ACH-000167,-0.2572133322513035
ACH-000168,0.030961191967747582
ACH-000169,-0.05880660124477601
ACH-000178,-0.14272020290622836
ACH-000183,-0.044790007510563536
ACH-000188,-0.15535719935948106
ACH-000189,-0.1485831948206729
ACH-000190,-0.1254477234707832
ACH-000198,-0.0955961662522686
ACH-000203,-0.08271601877741684
ACH-000204,0.021647741642579037
ACH-000206,-0.18429955613326454
ACH-000207,-0.06610889168220484
ACH-000208,-0.17314119048260168
ACH-000210,0.006930523659745838
ACH-000211,-0.0651832024352417
ACH-000215,-0.1551475950770684
ACH-000221,-0.17511575514987926
ACH-000222,-0.057689879133641986
ACH-000223,-0.07233210263952257
ACH-000226,-0.13217651286663626
ACH-000227,-0.1138931966546957
ACH-000228,-0.0943969190767713
ACH-000231,-0.1989260967397408
ACH-000232,-0.1375792767212042
ACH-000233,-0.13669745513505166
ACH-000234,-0.08608006181587466
ACH-000235,-0.0734233253572985
ACH-000237,-0.0999740840563498
ACH-000238,-0.19250577338376884
ACH-000242,-0.0958119773752713
ACH-000243,-0.12519092840384236
ACH-000244,-0.2551593632851936
ACH-000246,-0.07335444168832653
ACH-000248,-0.04615292371274584
ACH-000250,-0.059973591729122575
ACH-000251,-0.2943061207330723
ACH-000252,-0.2775368883025424
ACH-000253,-0.12369648911157123
ACH-000255,-0.1984046108801175
ACH-000256,-0.0975226740029269
ACH-000257,-0.1289758601496696
ACH-000258,-0.09289924165601042
ACH-000259,-0.06908429302887327
