,MRE11A (4361)
ACH-000004,-0.4981197637218607
ACH-000005,-0.229642178221928
ACH-000007,-0.5044254186035807
ACH-000009,-0.4428933448243425
ACH-000011,-0.5950979087973178
ACH-000012,-0.7078199650519432
ACH-000013,-0.3300694371037814
ACH-000014,-0.5800154099133418
ACH-000015,-0.4022779835844987
ACH-000017,-0.2562130510166389
ACH-000018,-0.6395825687618077
ACH-000019,-0.2801770809388892
ACH-000021,-0.3220306122698857
ACH-000022,-0.4401165347742825
ACH-000025,-0.7620007416855162
ACH-000028,-0.5871343005945834
ACH-000030,-0.6097257065106333
ACH-000035,-0.4797017022554546
ACH-000036,-0.6024112614235552
ACH-000037,-0.2603946926391708
ACH-000039,-0.6018322193604188
ACH-000040,-0.4847585270215414
ACH-000041,-0.4206863329952523
ACH-000042,-0.44997439939000977
ACH-000045,-0.3878114377947843
ACH-000047,-0.4717990575388178
ACH-000052,-0.6732578954541373
ACH-000053,-0.332940009452167
ACH-000054,-0.2254973861367925
ACH-000055,-0.9117849864975522
ACH-000060,-0.3962429090474603
ACH-000067,-0.5906887593019768
ACH-000070,-0.44829431416939103
ACH-000075,-0.3672436747082843
ACH-000078,-0.31955912389844315
ACH-000082,-0.3815235196193021
ACH-000085,-0.2858335318461804
ACH-000086,-0.7826147852921331
ACH-000087,-0.6517931388244429
ACH-000092,-0.281020128499057
ACH-000095,-0.36011127978394736
ACH-000097,-0.2678520058705269
ACH-000098,-0.5961858779905886
ACH-000099,-0.6215754285618902
ACH-000108,-0.23981930583647895
ACH-000113,-0.38881535883643226
ACH-000116,-0.41941625179461295
ACH-000118,-0.465631101643751
ACH-000120,-0.5841249367397685
ACH-000123,-0.3719774729846294
ACH-000127,-0.5463950613091484
ACH-000128,-0.4596780479028521
ACH-000132,-0.5147621106576193
ACH-000133,-0.5303790170314121
ACH-000137,-0.6070809430693742
ACH-000138,-0.5283520151073217
ACH-000142,-0.8076415482970479
ACH-000143,-0.5700386395339744
ACH-000146,-0.2926755123990169
ACH-000148,-0.5252153623477497
ACH-000150,-0.6531160188096171
ACH-000152,-0.3961445430346077
ACH-000153,-0.4792919301609077
ACH-000159,-0.2402911734317663
ACH-000160,-0.4287373632751876
ACH-000163,-0.6169632354603067
ACH-000167,-0.3948927430236755
ACH-000168,-0.37253496824920784
ACH-000169,-0.5744338454442767
ACH-000178,-0.5374581194663912
ACH-000183,-0.4027350237157032
ACH-000188,-0.6937220726619817
ACH-000189,-0.7018097735251461
ACH-000190,-0.7373453776363118
ACH-000198,-0.4211188517814882
ACH-000203,-0.2756187668563885
