,CUL4A (8451)
ACH-000004,-0.4230862391389974
ACH-000005,-0.2344934757973109
ACH-000007,0.0645370812529846
ACH-000009,-0.03077499585458407
ACH-000011,-0.00014717190868099422
ACH-000012,0.2245681425665948
ACH-000013,0.01236602868845287
ACH-000014,-0.15352410874430292
ACH-000015,-0.08192002332165703
ACH-000017,0.09485902276165542
ACH-000018,0.018429144301862144
ACH-000019,-0.07006450669137827
ACH-000021,0.012547455880070932
ACH-000022,0.15445632292116218
ACH-000025,-0.0673416867204986
ACH-000028,-0.0330694998010089
ACH-000030,-0.0745602677534371
ACH-000035,-0.04064091586256213
ACH-000036,0.06064985753177458
ACH-000037,0.045348014656706286
ACH-000039,0.03682986132791595
ACH-000040,0.047572397137805984
ACH-000041,0.17655641856042506
ACH-000042,-0.06895154738355691
ACH-000045,0.00255495017463918
ACH-000047,0.03278632222434098
ACH-000052,0.09502413402622027
ACH-000053,0.033434129589062195
ACH-000054,-0.005308966971618668
ACH-000055,-0.3587162359790787
ACH-000060,0.07224952826387512
ACH-000067,-0.047831239904215665
ACH-000070,0.1225804488407324
ACH-000075,0.06224280496929493
ACH-000078,0.07385270035175144
ACH-000082,0.04413059230362073
ACH-000085,-0.21870784193016696
ACH-000086,-0.04631004950927453
ACH-000087,0.2908172959568476
ACH-000092,-0.043545837581804435
ACH-000095,0.03477836090134999
ACH-000097,-0.015221978592958381
ACH-000098,0.022357956630331608
ACH-000099,0.08598973958261884
ACH-000108,-0.07141480183847307
ACH-000113,0.019266662289940627
ACH-000116,-0.11328024604642985
ACH-000118,-0.11814573684009665
ACH-000120,0.01697054993566558
ACH-000123,0.033172263752915945
ACH-000127,0.09519862078733418
ACH-000128,0.013652717220823604
ACH-000132,-0.05199211919002135
ACH-000133,-0.06806951872777482
ACH-000137,-0.06683611995808829
ACH-000138,0.08818481253685602
ACH-000142,0.0184030191487198
ACH-000143,-0.053309167689045325
ACH-000146,-0.15029644499614653
ACH-000148,-0.07259114892390824
ACH-000150,0.08664163477441687
ACH-000152,0.07846511915296864
ACH-000153,0.006067365078146167
ACH-000159,0.03390991954584908
ACH-000160,-0.2340386021252524
ACH-000163,-0.0029359262390417635
ACH-000167,-0.14046021158619218
ACH-000168,-0.11061443948007836
ACH-000169,-0.08506501260542461
ACH-000178,-0.05468551903447448
ACH-000183,-0.014340776971613388
ACH-000188,0.03876870113876992
ACH-000189,0.2584812352002511
ACH-000190,0.11266256230437792
ACH-000198,0.11369485637694784
ACH-000203,-0.8961326197473126
ACH-000204,0.026409665852171898
ACH-000206,0.12280842798839778
ACH-000207,-0.11722438970713513
ACH-000208,0.03739552815593975
ACH-000210,0.14943770610161924
ACH-000211,0.014922985201386038
ACH-000215,0.001200733497997468
ACH-000221,0.21293295321841896
ACH-000222,-0.091383958204705
ACH-000223,-0.06430550604113627
ACH-000226,0.1665885772460265
ACH-000227,-0.11489970205951823
ACH-000228,-0.16459119737187944
ACH-000231,-0.027358744693946384
ACH-000232,-0.024086219780796343
ACH-000233,0.1526441480890927
ACH-000234,-0.17048177554687474
ACH-000235,0.07199139914080949
ACH-000237,-0.10974512663649433
ACH-000238,0.13644776244631948
ACH-000242,0.2202628177606087
ACH-000243,0.022280279628610327
ACH-000244,0.3740677767900026
ACH-000246,-0.09088744455931624
ACH-000248,0.06585584801673694
ACH-000250,0.0672676195128959
ACH-000251,0.04697756272268812
ACH-000252,-0.06848298771831209
ACH-000253,0.0654698528496479
ACH-000255,0.021723061006386837
ACH-000256,0.027838524552390383
ACH-000257,0.14677992723456482
ACH-000258,0.10600422217448753
ACH-000259,0.05822534486713341
ACH-000260,-0.09129993310830767
ACH-000261,0.054951288403482366
ACH-000262,-0.06405839225613126
ACH-000263,-0.1831247360619324
ACH-000264,-0.07197288593901648
ACH-000265,0.07777954190223246
ACH-000266,-0.0796330584531261
ACH-000272,-0.0021498909332039844
