,TCEB3CL (728929)
ACH-000004,-0.32221866545726985
ACH-000005,-0.22866292216225614
ACH-000007,-0.7268236331864697
ACH-000009,-0.5000453175981172
ACH-000011,-0.5914723733052537
ACH-000012,-0.5080264380992355
ACH-000013,-0.4589963435937252
ACH-000014,-0.6169325294256205
ACH-000015,-0.6269190646598868
ACH-000017,-0.4603478847917529
ACH-000018,-0.5623832787912275
ACH-000019,-0.5725471938080821
ACH-000021,-0.4247777866662798
ACH-000022,-0.41428255477174897
ACH-000025,-0.6434159036510992
ACH-000028,-0.4314085646896492
ACH-000030,-0.6178771370091207
ACH-000035,-0.38783469903461604
ACH-000036,-0.3195421088401333
ACH-000037,-0.492638146911606
ACH-000039,-0.5242835218626251
ACH-000040,-0.5951916772509023
ACH-000041,-0.4888849686133551
ACH-000042,-0.4564500985282801
ACH-000045,-0.4863864718566572
ACH-000047,-0.4649140004618813
ACH-000052,-0.6310669958284617
ACH-000053,-0.4068305631841717
ACH-000054,-0.6269975601096814
ACH-000055,-0.6543985765915066
ACH-000060,-0.42718971272186174
ACH-000067,-0.4221500141617828
ACH-000070,-0.6525486659744001
ACH-000075,-0.3622833968424699
ACH-000078,-0.42276076276643176
ACH-000082,-0.44777134174797
ACH-000085,-0.6062794634853456
ACH-000086,-0.44753933537412455
ACH-000087,-0.7181135946308016
ACH-000092,-0.3777759901962005
ACH-000095,-0.4301591022419599
ACH-000097,-0.6542590096144065
ACH-000098,-0.4763569203191456
ACH-000099,-0.5612529976207326
ACH-000108,-0.38643440052685823
ACH-000113,-0.7746930717208539
ACH-000116,-0.5505078099865583
ACH-000118,-0.3662488306795472
ACH-000120,-0.5494188252602462
ACH-000123,-0.6173433451208915
ACH-000127,-0.5382914578133463
ACH-000128,-0.3648097349465889
ACH-000132,-0.6483209190374918
ACH-000133,-0.35285246777986884
ACH-000137,-0.40997418863474894
ACH-000138,-0.6467905668469017
ACH-000142,-0.4384775671038533
ACH-000143,-0.5175225706761293
ACH-000146,-0.5306667179629011
ACH-000148,-0.4341143055181536
ACH-000150,-0.4748410677798573
ACH-000152,-0.4404190478514364
ACH-000153,-0.7170199814286474
ACH-000159,-0.5466737818749289
ACH-000160,0.00859331030554955
ACH-000163,-0.5662716127641175
ACH-000167,-0.4376480205564629
ACH-000168,-0.7762385702200054
ACH-000169,-0.6219548188517058
ACH-000178,-0.6005507687073874
ACH-000183,-0.4286789565235321
