,NAPRT (93100)
ACH-000004,-0.2015141881206604
ACH-000005,-0.6585240061908191
ACH-000007,-0.004124941102316725
ACH-000009,-0.18051816067251406
ACH-000011,-0.1461381400007806
ACH-000012,-0.25734626002805394
ACH-000013,-0.17808220076211018
ACH-000014,-0.3766982920758206
ACH-000015,-0.13033674742404144
ACH-000017,-0.21725279744019368
ACH-000018,-0.1410733853335252
ACH-000019,-0.23127413244223954
ACH-000021,-0.22033107678685115
ACH-000022,-0.0648531122614735
ACH-000025,-0.1088648680533504
ACH-000028,-0.11427442962157693
ACH-000030,-0.19770423967349574
ACH-000035,-0.0734930463104993
ACH-000036,-0.3287602307887401
ACH-000037,-0.2064463439884948
ACH-000039,-0.13489935111302814
ACH-000040,-0.2597558729938748
ACH-000041,-0.124493159670591
ACH-000042,-0.4117116132156987
ACH-000045,-0.1195402518031774
ACH-000047,-0.1134064746600512
ACH-000052,-0.12198658352310908
ACH-000053,-0.22892131704340185
ACH-000054,-0.1252947109065816
ACH-000055,-0.1279041028679946
ACH-000060,-0.3502835054138158
ACH-000067,-0.061979639276794514
ACH-000070,-0.18983850122778675
ACH-000075,-0.3874213862471578
ACH-000078,-0.2922884122613742
ACH-000082,-0.2031860047495596
ACH-000085,-0.13727127013287238
ACH-000086,-0.19760638553587467
ACH-000087,0.13294789134144455
ACH-000092,-0.16795887840302035
ACH-000095,-0.18135880522203704
ACH-000097,-0.2901214887095381
ACH-000098,-0.0684246417260196
ACH-000099,-0.19472249454164628
ACH-000108,-0.22972884795986806
ACH-000113,-0.4106055464999376
ACH-000116,-0.15317808644609174
ACH-000118,-0.14154233819299564
ACH-000120,-0.08695026201254084
ACH-000123,-0.29961320308225353
ACH-000127,-0.108080423262676
ACH-000128,-0.14535925184267562
ACH-000132,-0.3398921067981964
ACH-000133,-0.13148722843704705
ACH-000137,-0.006077613163682188
ACH-000138,-0.07385469614911773
ACH-000142,-0.1881882628991608
ACH-000143,-0.09698506257242903
ACH-000146,-0.27277037748726884
ACH-000148,-0.23613930063707675
ACH-000150,-0.5599500695290498
ACH-000152,-0.20896058382103685
ACH-000153,0.022791278638714156
ACH-000159,-0.18221422268367515
ACH-000160,-0.1306225576319733
ACH-000163,-0.2040848674247082
ACH-000167,-0.15036063597354304
ACH-000168,-0.06607585390930025
ACH-000169,-0.15287978457086845
ACH-000178,-0.393050735181591
ACH-000183,-0.12282050691197555
ACH-000188,-0.2606613817710299
ACH-000189,-0.0036977276123794822
ACH-000190,-0.2268256669733229
ACH-000198,-0.24290872119093426
ACH-000203,-0.9473480833538492
ACH-000204,-0.12979353655927536
ACH-000206,-0.1906521594417439
ACH-000207,-0.13725955981466526
ACH-000208,-0.007962683779747824
ACH-000210,-0.12966476632350096
ACH-000211,-0.2828115867321981
