,AVPR1A (552)
ACH-000004,0.1259110069550239
ACH-000005,-0.10477881530497732
ACH-000007,-0.11629717500088785
ACH-000009,-0.10889776714492128
ACH-000011,-0.11944153092298443
ACH-000012,-0.626418813206798
ACH-000013,0.005157416505178399
ACH-000014,-0.16025483463774556
ACH-000015,-0.2718477848415756
ACH-000017,-0.0033811955649858698
ACH-000018,-0.01746904375813109
ACH-000019,-0.2354184409632493
ACH-000021,-0.08751610392584341
ACH-000022,-0.1092208814167402
ACH-000025,-0.3144178653691802
ACH-000028,-0.2967448323687393
ACH-000030,-0.12167338720092312
ACH-000035,-0.13282069447432612
ACH-000036,-0.011122508940954448
ACH-000037,-0.10202415843349316
ACH-000039,-0.16584165956224184
ACH-000040,-0.0920985007802003
ACH-000041,-0.2386391714224981
ACH-000042,-0.13033045427420184
ACH-000045,0.09515274221830264
ACH-000047,-0.16133854321564106
ACH-000052,-0.20379697257379115
ACH-000053,-0.15234302545128106
ACH-000054,-0.14251818212573464
ACH-000055,-0.26648899443011703
ACH-000060,-0.04044478736345812
ACH-000067,-0.21782736267252495
ACH-000070,0.13924062200283713
ACH-000075,0.008513301563054548
ACH-000078,-0.005427527319316039
ACH-000082,-0.13301154071642074
ACH-000085,-0.20900436180215606
ACH-000086,-0.21978160831565385
ACH-000087,-0.2575705674640129
ACH-000092,-0.09785752498195148
ACH-000095,-0.09035426759062176
ACH-000097,-0.24122254848207364
ACH-000098,-0.1473133612803697
ACH-000099,-0.04511074663713245
ACH-000108,-0.01061853874440682
ACH-000113,0.15783292370253107
ACH-000116,-0.1917882859309389
ACH-000118,-0.1600575695128113
ACH-000120,-0.1139850758216152
ACH-000123,-0.10342286518696857
ACH-000127,0.0434843832586462
ACH-000128,-0.17565737031314446
ACH-000132,0.02696219977340042
ACH-000133,-0.2422124902385448
ACH-000137,-0.02097083229047008
ACH-000138,-0.039890108295948336
ACH-000142,-0.23467436501172265
ACH-000143,0.007396967948421906
ACH-000146,-0.06919763290019751
ACH-000148,-0.15230451801679354
ACH-000150,-0.2559429588030534
ACH-000152,-0.2503626816725956
ACH-000153,0.0315747593240614
ACH-000159,-0.055662276359039135
ACH-000160,-0.21852037789346945
ACH-000163,-0.09751149753836502
ACH-000167,-0.06866068568320158
ACH-000168,0.1110764658485905
ACH-000169,-0.133131004515607
ACH-000178,-0.07234803961188475
ACH-000183,-0.10131150487012512
ACH-000188,-0.06865876938817785
ACH-000189,-0.0239132994776871
ACH-000190,-0.20405065521720167
ACH-000198,-0.03828762616944745
ACH-000203,-0.23143513982886174
ACH-000204,-0.10777360664269324
ACH-000206,-0.10363698730536634
ACH-000207,0.08567429057392993
ACH-000208,-0.3004220861971407
ACH-000210,0.1210849666467984
ACH-000211,-0.07488391081490345
ACH-000215,-0.09721262905491128
ACH-000221,-0.1626297171083667
ACH-000222,0.04165457278592893
