,UNC5D (137970)
ACH-000004,0.07406088222216342
ACH-000005,0.2304812366606525
ACH-000007,0.16031128872655456
ACH-000009,0.12982354924992098
ACH-000011,0.1541938777307784
ACH-000012,0.04209350141162528
ACH-000013,0.09351343502203388
ACH-000014,-0.01991167949266895
ACH-000015,0.14041193432521076
ACH-000017,-0.04556191659054383
ACH-000018,-0.11200368826862477
ACH-000019,-0.00598924807285613
ACH-000021,0.11885421331725934
ACH-000022,-0.01195444531137442
ACH-000025,-0.0973179616338748
ACH-000028,0.07867419404282673
ACH-000030,0.02546976439045871
ACH-000035,0.0725832208184035
ACH-000036,0.1155217178255874
ACH-000037,0.1282559776778082
ACH-000039,0.3720221293652665
ACH-000040,0.02890435681610917
ACH-000041,0.1406997261811879
ACH-000042,0.09807693759322156
ACH-000045,0.2087052605924929
ACH-000047,0.17765587076522274
ACH-000052,0.2442765499995392
ACH-000053,0.12504957478538362
ACH-000054,0.054236623501335936
ACH-000055,0.14039620823924176
ACH-000060,0.22219680225413696
ACH-000067,0.1635584050088554
ACH-000070,0.0791042930411519
ACH-000075,0.14873376230489835
ACH-000078,0.10854916730738667
ACH-000082,0.039879168216471236
ACH-000085,0.05693576801491727
ACH-000086,0.07974109954105152
ACH-000087,-0.0032114142460218376
ACH-000092,0.16340830314064067
ACH-000095,0.0951710292656439
ACH-000097,0.07233746803893365
ACH-000098,0.21611289586289145
ACH-000099,0.039385821890768016
ACH-000108,0.045295504020468016
ACH-000113,0.04306844023966694
ACH-000116,0.08972699519443278
ACH-000118,0.00836750186007468
ACH-000120,0.05115999599213861
ACH-000123,0.020637241367128432
ACH-000127,0.024408659777060245
ACH-000128,0.21920445746652034
ACH-000132,-0.00200884881222528
ACH-000133,0.1955974275958888
ACH-000137,0.13125366318650702
ACH-000138,0.034930535061644084
ACH-000142,0.2277619669504527
ACH-000143,-0.06055705830466655
ACH-000146,0.05109653794599316
ACH-000148,-0.008032865903944605
ACH-000150,0.037659962859543136
ACH-000152,0.036421229998766035
ACH-000153,-0.08628797108586311
ACH-000159,0.07397768321072892
ACH-000160,0.19512658505696293
ACH-000163,0.19004386431126652
ACH-000167,-0.2923262295204428
ACH-000168,-0.12465630866881315
ACH-000169,0.06606604061882555
ACH-000178,0.045104274885129636
ACH-000183,0.0748600166700267
ACH-000188,0.042075481886352614
ACH-000189,-0.029724623581029168
ACH-000190,0.12428681763162007
ACH-000198,0.07721695756554864
ACH-000203,-0.12114935670716775
ACH-000204,0.21108618051787872
ACH-000206,-0.11016752797691128
ACH-000207,0.04465118089638115
ACH-000208,0.1965306263371667
ACH-000210,0.17198326851623358
ACH-000211,0.08746375009590171
ACH-000215,0.061291497317357974
ACH-000221,0.09700024389644976
ACH-000222,0.21323914815565426
ACH-000223,0.06796537938456397
ACH-000226,0.0733043708252799
ACH-000227,0.06997727025104537
ACH-000228,-0.1342435932766515
ACH-000231,0.06477270056439394
ACH-000232,0.1275737606939955
ACH-000233,0.1792157526374397
ACH-000234,0.11656282478478125
ACH-000235,0.0711671243062464
ACH-000237,0.09423703283440396
ACH-000238,0.02513965275081682
ACH-000242,0.1167245304766642
ACH-000243,-0.023332064453057324
ACH-000244,-0.03968279849958026
ACH-000246,0.07970298998016717
ACH-000248,0.058313106212863286
ACH-000250,0.05050300846565912
ACH-000251,0.11163591077389703
ACH-000252,0.10519094883945164
ACH-000253,0.040161657317808866
ACH-000255,0.09219623975482287
ACH-000256,0.028239491522295344
ACH-000257,0.2666059111049617
ACH-000258,-0.08487264462773297
ACH-000259,0.07847520558618858
ACH-000260,0.12197407514160215
ACH-000261,0.02496648400928369
ACH-000262,0.05850385453867491
ACH-000263,-0.13753333174814714
ACH-000264,0.058560725156946235
ACH-000265,0.005562484698462225
ACH-000266,0.13157255149477826
ACH-000272,0.11317647286461716
ACH-000274,0.0616901727511753
ACH-000277,-0.2186971426235732
ACH-000278,0.0408116141558291
ACH-000279,0.1249541563262417
ACH-000280,0.15965929848682758
