,DRAP1 (10589)
ACH-000004,-0.4380184691230944
ACH-000005,-0.2621003379941984
ACH-000007,-0.4056060991172719
ACH-000009,-0.392583800223662
ACH-000011,-0.7834828979067595
ACH-000012,-0.14246339887818452
ACH-000013,-0.189051166653514
ACH-000014,-0.18443031838413573
ACH-000015,-0.4163206878523876
ACH-000017,-0.048262447318061834
ACH-000018,-0.6188855282659684
ACH-000019,-0.2249183149932518
ACH-000021,-0.23662548707915146
ACH-000022,-0.43705202711313057
ACH-000025,-0.4110160628435229
ACH-000028,-0.4918129318529228
ACH-000030,-0.2490191283093354
ACH-000035,-0.4891128676735413
ACH-000036,-0.2231563402088704
ACH-000037,-0.7547146788157917
ACH-000039,-0.43267646372537694
ACH-000040,-0.5156552749390033
ACH-000041,-0.4023040637265861
ACH-000042,-0.6266927320269609
ACH-000045,-0.6444520526064087
ACH-000047,-0.3007334097179662
ACH-000052,-0.5508314865552613
ACH-000053,-0.18176767330872387
ACH-000054,-0.01375970087620981
ACH-000055,-0.6764807927038363
ACH-000060,-0.4648378436656285
ACH-000067,-0.45192365462989703
ACH-000070,-0.3779614324638455
ACH-000075,-0.6493264763804983
ACH-000078,-0.2160376219284472
ACH-000082,-0.3953053974240605
ACH-000085,-0.550997186927326
ACH-000086,-0.309118787341572
ACH-000087,-0.3301388415763196
ACH-000092,-0.44843773731601466
ACH-000095,-0.465426752109372
ACH-000097,-0.6354614984462632
ACH-000098,-0.33820572822589823
ACH-000099,0.1330600321826974
ACH-000108,-0.3622282513017229
ACH-000113,-0.6267852692046998
ACH-000116,-0.7612115615496549
ACH-000118,-0.6294793289662869
ACH-000120,-0.282047137622654
ACH-000123,-0.43623586075939297
ACH-000127,-0.4199938825677638
ACH-000128,-0.3735848246386408
ACH-000132,-0.3987418257832955
ACH-000133,-0.3980427830696419
ACH-000137,-0.2703349940571775
ACH-000138,-0.4455477314220831
ACH-000142,-0.534034821894909
ACH-000143,-0.5956122065415979
ACH-000146,-0.4978255653952571
ACH-000148,-0.5062436470089753
ACH-000150,-0.4885502558140596
ACH-000152,-0.16903043232254866
ACH-000153,-0.27180060552130875
ACH-000159,-0.4877171755508865
ACH-000160,-0.4133701983133504
ACH-000163,-0.3528434793712815
ACH-000167,-0.8385587695789909
ACH-000168,-0.5200509016382223
ACH-000169,-0.2845453715666331
ACH-000178,-0.3773516862857926
ACH-000183,-0.7033088733633863
ACH-000188,-0.5808471964181293
ACH-000189,-0.5266963509050305
ACH-000190,-0.5127066742762622
ACH-000198,-0.4851550346272226
ACH-000203,-0.6003062140744677
ACH-000204,-0.35969800498650784
ACH-000206,-0.5132466551862965
ACH-000207,-0.6692469570070727
ACH-000208,-0.4224109837138839
ACH-000210,-0.19631101218472088
ACH-000211,-0.49260847026168103
ACH-000215,-0.4341902488654639
ACH-000221,-0.3363730760117494
ACH-000222,-0.510741624115197
ACH-000223,-0.4950669580305274
ACH-000226,-0.5118718301427684
ACH-000227,-0.3298789166012898
ACH-000228,-0.4509658557338026
ACH-000231,-0.6535610561624456
ACH-000232,-0.6189738595584631
ACH-000233,-0.14044924674974388
ACH-000234,-0.5257464858137688
ACH-000235,-0.7357420751273829
ACH-000237,-0.5037108794737485
ACH-000238,-0.6892709297145061
ACH-000242,-0.28877845929461315
ACH-000243,-0.6534089531256986
ACH-000244,-0.5166336238170214
ACH-000246,-0.5051424292140017
ACH-000248,-0.11415986524800445
ACH-000250,-0.3946986343392598
ACH-000251,-0.6452257669277454
ACH-000252,-0.6218065940642785
ACH-000253,-0.18809419840632852
ACH-000255,-0.37089045913713536
ACH-000256,-0.4592223787936786
ACH-000257,-0.15700993614928507
ACH-000258,0.04081380691325828
ACH-000259,-0.3053377379918473
ACH-000260,-0.6094812822722792
ACH-000261,-0.4469278303478599
ACH-000262,-0.6829260158763278
ACH-000263,-0.3811313570445424
ACH-000264,-0.21815480354265526
ACH-000265,-0.33774413694332617
ACH-000266,-0.5438180810872631
ACH-000272,-0.4084339903909779
ACH-000274,-0.0952589560825648
ACH-000277,-0.3770301426925729
ACH-000278,-0.4532042292304231
ACH-000279,-0.3963243940836376
ACH-000280,-0.5710283162328881
ACH-000281,-0.5796225403165647
ACH-000288,-0.21779852687331594
ACH-000291,-0.2313957678413506
ACH-000293,-0.31014367109683216
