,EEF1G (1937)
ACH-000004,-0.7776679575794951
ACH-000005,-1.2457302850521006
ACH-000007,-0.7105172978603621
ACH-000009,-0.7941440677586825
ACH-000011,-1.148165445974114
ACH-000012,-0.8710703785146519
ACH-000013,-0.7839169100038468
ACH-000014,-0.8312525299419468
ACH-000015,-0.7838367461786147
ACH-000017,-0.7059168893964047
ACH-000018,-0.4678570959529734
ACH-000019,-0.6798200933112569
ACH-000021,-0.6508386559782348
ACH-000022,-0.6842289882603512
ACH-000025,-1.0106366171304115
ACH-000028,-1.052216604207298
ACH-000030,-0.8091990935593921
ACH-000035,-0.8678562161531128
ACH-000036,-0.8005357990283704
ACH-000037,-0.6959416128373437
ACH-000039,-0.9276527671760508
ACH-000040,-0.8510847525890121
ACH-000041,-0.9338508131895544
ACH-000042,-0.8254861099475185
ACH-000045,-0.7781263971561408
ACH-000047,-0.8637885327724902
ACH-000052,-0.9012551117362796
ACH-000053,-0.7875385991221678
ACH-000054,-0.7961019217638368
ACH-000055,-1.0305111087144412
ACH-000060,-0.8393513135126616
ACH-000067,-0.7930072235627326
ACH-000070,-0.8783655583875043
ACH-000075,-0.9545895644722506
ACH-000078,-0.5721062008770468
ACH-000082,-0.7407844371651384
ACH-000085,-1.1009428197529694
ACH-000086,-0.935045344545962
ACH-000087,-0.4035502287729019
ACH-000092,-0.8999227469433451
ACH-000095,-0.7798475240467205
ACH-000097,-0.8974797398373304
ACH-000098,-0.7219860396639837
ACH-000099,-0.7185560917001967
ACH-000108,-0.6493952321470343
ACH-000113,-0.7065099884475183
ACH-000116,-0.8024107985504463
ACH-000118,-0.6821091042208764
ACH-000120,-0.8838556326859436
ACH-000123,-0.7118771102668039
ACH-000127,-0.7974155710834687
ACH-000128,-0.740869769335977
ACH-000132,-0.7039159568762444
ACH-000133,-0.6801068788819684
ACH-000137,-1.1210523896904494
ACH-000138,-0.6212414714367231
ACH-000142,-0.808462792190163
ACH-000143,-0.9913972952718054
ACH-000146,-0.5859300117377221
ACH-000148,-0.8444863675800337
ACH-000150,-0.8902353446723499
ACH-000152,-0.7661771777774354
ACH-000153,-0.9025584745938032
ACH-000159,-0.9094082691463518
ACH-000160,-0.9478430979616612
ACH-000163,-0.9938672361312082
ACH-000167,-1.321142855888756
ACH-000168,-0.9149460296999956
ACH-000169,-0.8591476475389521
ACH-000178,-0.7943874261678987
ACH-000183,-0.7652603360209064
ACH-000188,-0.6553445360801075
ACH-000189,-0.7554122811764945
ACH-000190,-0.9546167778100464
ACH-000198,-0.7257073291370533
ACH-000203,-0.8060052568053085
ACH-000204,-0.5840840521612861
ACH-000206,-1.203103762289497
ACH-000207,-0.4994104706476215
ACH-000208,-0.8080179165478646
ACH-000210,-1.076655597270296
ACH-000211,-0.8491653935735823
ACH-000215,-0.737419276167127
ACH-000221,-0.9068667206632542
ACH-000222,-0.7963725358993828
ACH-000223,-0.7111120130298092
ACH-000226,-0.9375376900315212
ACH-000227,-0.6296320340240317
ACH-000228,-0.8788197942991515
ACH-000231,-1.0228138465835601
ACH-000232,-0.7351839413212146
ACH-000233,-0.9224503315536312
ACH-000234,-0.7815311630264963
ACH-000235,-0.7980507770384749
ACH-000237,-0.9507699730326444
ACH-000238,-0.741702386433907
ACH-000242,-0.9060713401050132
ACH-000243,-0.8269488789517009
ACH-000244,-0.6113723279624377
ACH-000246,-0.8339473214617563
ACH-000248,-0.8811597688023521
ACH-000250,-0.9250056124229898
ACH-000251,-1.0091429367454234
ACH-000252,-0.9151309495891792
ACH-000253,-0.8002689203474365
ACH-000255,-0.9108363424146264
ACH-000256,-0.7300816822443518
ACH-000257,-0.924440626035954
ACH-000258,-0.9021357714680056
ACH-000259,-0.8068556605285903
ACH-000260,-0.9035149016317786
ACH-000261,-1.009875833003336
ACH-000262,-0.5899078851420391
ACH-000263,-0.732794556045475
ACH-000264,-0.6744190239226383
ACH-000265,-0.8934784789756262
ACH-000266,-0.6298843832771919
ACH-000272,-0.8850352719014377
ACH-000274,-0.7332226898534806
ACH-000277,-0.8047920752889702
ACH-000278,-0.8565726467379703
ACH-000279,-0.7148115018822001
ACH-000280,-0.8603912361734691
ACH-000281,-0.9709431686883818
ACH-000288,-0.797907531466447
ACH-000291,-0.9330400533112888
ACH-000293,-1.0374637824925417
ACH-000294,-0.6238498217008803
ACH-000295,-0.8136826445728308
ACH-000296,-0.4445438422203582
ACH-000302,-0.6203355872502581
ACH-000304,-0.8269180453366209
ACH-000307,-0.7908502577084155
ACH-000308,-0.8042684433201261
ACH-000310,-0.41188579213824733
ACH-000311,-1.1719472495475671
ACH-000312,-0.7723047061847578
ACH-000315,-0.6218791489976735
ACH-000316,-0.9899052022109734
ACH-000317,-0.8860908824519866
ACH-000318,-1.004987068858863
ACH-000319,-0.9176309750950896
ACH-000320,-0.9448292758757448
ACH-000322,-0.8575350490405804
ACH-000323,-1.0633366121224384
ACH-000324,-0.8027070410498514
ACH-000329,-0.5177266831073977
ACH-000330,-1.051839221658022
ACH-000331,-0.9789613516331946
ACH-000332,-0.9370110409896726
ACH-000334,-0.5460830668884814
ACH-000335,-0.8927058277371335
ACH-000336,-0.8242246106516821
ACH-000337,-1.0335614523600087
ACH-000338,-0.813610193567946
ACH-000339,-0.8536988285850952
ACH-000341,-0.7797380397287723
ACH-000348,-0.7883321840437734
ACH-000350,-0.6970555730923164
ACH-000352,-0.8039589615696691
ACH-000356,-0.9450190130667754
ACH-000361,-1.0448623503982963
ACH-000362,-0.671337200403005
ACH-000363,-0.5698119152798882
ACH-000364,-0.6467260621551542
ACH-000365,-0.482942918350909
ACH-000366,-0.6314334375037147
ACH-000368,-0.5382054827194752
ACH-000374,-0.8941019536995952
ACH-000375,-0.7224570548402218
ACH-000376,-0.9148461579284176
ACH-000381,-0.6268344899906728
ACH-000383,-0.7122732721820826
ACH-000387,-0.7237355247675484
ACH-000389,-0.8299039793781352
ACH-000390,-0.7875574623961626
ACH-000393,-0.8061800931672941
ACH-000395,-0.7077599933720108
ACH-000396,-0.8973394245525674
ACH-000397,-0.6202285963285239
ACH-000401,-0.9028661615105976
ACH-000402,-0.5619442908709741
ACH-000403,-0.5797602599759617
ACH-000404,-0.8743176431285781
ACH-000406,-0.8418152962720106
ACH-000407,-0.8321396445987841
ACH-000408,-0.8214333730854648
ACH-000410,-0.8273912017781666
ACH-000411,-0.8472256958273862
ACH-000414,-0.8947999189047753
ACH-000415,-0.8698230694096789
ACH-000416,-0.7503313796156272
ACH-000420,-1.0304278271416472
ACH-000421,-0.7839188541037846
ACH-000424,-0.6806107322043778
ACH-000425,-0.8941882804478332
ACH-000426,-0.6689671731018407
ACH-000427,-0.8496195244266352
ACH-000433,-0.8528448635115529
ACH-000435,-0.9506786146972096
ACH-000436,-1.0283612831377276
ACH-000444,-0.7859985082070112
ACH-000445,-0.6634041318938134
ACH-000448,-0.7554499172188923
ACH-000450,-0.7834008842319633
ACH-000452,-0.8938239084958359
ACH-000454,-0.6609697432729776
ACH-000458,-0.8795955319461942
ACH-000459,-0.565105380215312
ACH-000460,-0.8270126649116165
ACH-000461,-0.7839509766352895
ACH-000463,-0.8121677332679496
ACH-000464,-0.7566459753863799
ACH-000466,-0.7873283187407892
ACH-000467,-0.9979309130807674
ACH-000468,-0.8027569879259002
ACH-000469,-0.7748811766348157
ACH-000470,-0.7135029674864879
ACH-000471,-0.8163989969623775
ACH-000472,-0.7216495492438628
ACH-000473,-0.8557850212885038
ACH-000475,-0.8200031692926978
ACH-000476,-0.9808883923844778
ACH-000477,-0.7979128961281302
ACH-000479,-0.4309803970451888
ACH-000480,-0.9178198537922398
ACH-000481,-0.841254328958765
ACH-000483,-0.9654595484609484
ACH-000484,-0.521991827013669
ACH-000485,-0.577934574979597
ACH-000486,-0.820617819264529
ACH-000487,-0.8204300994502916
ACH-000488,-0.8049044993585861
ACH-000490,-0.95322237144122
ACH-000491,-1.0940796039552687
ACH-000495,-0.7298013944032746
ACH-000496,-0.9504372269665624
ACH-000499,-0.7431824241424394
ACH-000500,-0.5279310151198005
ACH-000502,-0.7977635611716313
ACH-000503,-0.9500937523102688
ACH-000505,-0.9335093932364668
ACH-000507,-0.7787580758248577
ACH-000510,-0.8373527477154391
ACH-000511,-0.8332461734955721
ACH-000512,-0.5574246204279029
