,ETAA1 (54465)
ACH-000004,-0.050485503013547116
ACH-000005,-0.011972217554855924
ACH-000007,-0.03190053461090392
ACH-000009,-0.05747076739945245
ACH-000011,-0.3458852617617582
ACH-000012,-0.06130274944850154
ACH-000013,-0.014418186908093369
ACH-000014,0.03299313046457263
ACH-000015,-0.017083297624135754
ACH-000017,-0.002952651445399992
ACH-000018,-0.21823686436335846
ACH-000019,-0.338915931280247
ACH-000021,-0.11856648694100964
ACH-000022,-0.07802526705116837
ACH-000025,-0.13540994393752473
ACH-000028,-0.34720981980876875
ACH-000030,0.003796983287449647
ACH-000035,-0.07375519349179845
ACH-000036,-0.04265937482975028
ACH-000037,-0.13398212463360462
ACH-000039,0.00488731194742145
ACH-000040,0.0139212870964023
ACH-000041,-0.09413593938789808
ACH-000042,0.030755155999572813
ACH-000045,-0.08651612525745891
ACH-000047,-0.3235877691629304
ACH-000052,-0.14543048801137046
ACH-000053,-0.004435991073608696
ACH-000054,-0.13007178653854073
ACH-000055,-0.06777281100823893
ACH-000060,0.03305742334009715
ACH-000067,-0.11134119872313844
ACH-000070,-0.049482429580175166
ACH-000075,0.01726003044854205
ACH-000078,-0.1011012862689409
ACH-000082,-0.3163622768835611
ACH-000085,-0.32608124658807275
ACH-000086,-0.14140906364359454
ACH-000087,-0.16812576382846142
ACH-000092,-0.3144905247443689
ACH-000095,-0.03525839280164022
ACH-000097,-0.1638308170166672
ACH-000098,-0.003703761675296845
ACH-000099,-0.03663422754325039
ACH-000108,-0.1283257183732082
ACH-000113,-0.20186147965625487
ACH-000116,-0.0868238853829241
ACH-000118,-0.02679464372694305
ACH-000120,-0.11784819896597913
ACH-000123,-0.029010140429238062
ACH-000127,-0.2089275256840099
ACH-000128,-0.1275400280564824
ACH-000132,-0.1632754950265412
ACH-000133,-0.5124654577719179
ACH-000137,-0.17611512365968587
ACH-000138,0.04126475946454861
ACH-000142,-0.06843839517283741
ACH-000143,-0.13518940236084406
ACH-000146,-0.021717714318526857
ACH-000148,-0.061436730583419114
ACH-000150,0.14350548189930626
ACH-000152,-0.14323109305973025
ACH-000153,0.19439060073881687
ACH-000159,-0.1866585628068206
