,CETN1 (1068)
ACH-000004,-0.07540137482884778
ACH-000005,0.2011467964477458
ACH-000007,0.16567365820977792
ACH-000009,0.03954651925904668
ACH-000011,0.13642786847194788
ACH-000012,-0.003571408077450153
ACH-000013,0.1115759729892466
ACH-000014,0.10973685927524343
ACH-000015,0.11232129573385873
ACH-000017,0.1069614772607206
ACH-000018,0.2268425406274092
ACH-000019,0.0840955244172363
ACH-000021,0.08070182180526861
ACH-000022,0.2096010722156051
ACH-000025,0.03031270292762295
ACH-000028,0.15704316576405347
ACH-000030,0.07377576191496453
ACH-000035,0.04969435191110253
ACH-000036,-0.008613701277261448
ACH-000037,-0.033553091960088065
ACH-000039,0.14166349434813974
ACH-000040,-0.034318233155507874
ACH-000041,0.043022590484259465
ACH-000042,0.09905839331626992
ACH-000045,0.05827125139281108
ACH-000047,0.03937375344358512
ACH-000052,0.030866294810815643
ACH-000053,0.0739320681278593
ACH-000054,0.04295598252649679
ACH-000055,-0.0505866372841647
ACH-000060,0.08312847271728069
ACH-000067,0.1414485740951065
ACH-000070,0.010655839067029237
ACH-000075,0.13765683308560056
ACH-000078,-0.1617800925023026
ACH-000082,0.08743043163340494
ACH-000085,-0.01844609811216461
ACH-000086,0.13493544278134886
ACH-000087,0.09072981477107232
ACH-000092,0.02399883659858553
ACH-000095,0.09661439682167157
ACH-000097,0.059059660171012884
ACH-000098,0.061727797734840474
ACH-000099,0.05362810452839298
ACH-000108,0.05700817629466533
ACH-000113,0.14874385628622333
ACH-000116,0.031120985003318318
ACH-000118,0.16525352260079942
ACH-000120,0.18558997512047076
ACH-000123,-0.004743728257854116
ACH-000127,0.0967471872357872
ACH-000128,0.0732964713523405
ACH-000132,0.06086401093494913
ACH-000133,-0.045539075334749775
ACH-000137,-0.16678095152272565
ACH-000138,0.033906047188261845
ACH-000142,0.17887664959456825
ACH-000143,0.0017834506037234044
ACH-000146,-0.026875825563298438
ACH-000148,0.15639597903067418
ACH-000150,-0.003346063073628216
ACH-000152,0.16397188141307067
ACH-000153,0.19517284491669284
ACH-000159,-0.016008668547027878
ACH-000160,0.06305526735695981
ACH-000163,0.025313885199615846
ACH-000167,0.026854871312386668
ACH-000168,0.12749781112929012
ACH-000169,0.010575678416843991
ACH-000178,0.10186694821984447
ACH-000183,0.12465456392162012
ACH-000188,0.16987369547853826
ACH-000189,0.011661198144100231
ACH-000190,-0.07763895587934841
ACH-000198,0.04302520084439464
ACH-000203,0.2654556651284821
ACH-000204,0.3153315953368626
ACH-000206,-0.09082263255653228
ACH-000207,0.0953267170965246
ACH-000208,-0.04837214647718868
ACH-000210,0.09215245335505123
ACH-000211,0.0028410436203112144
ACH-000215,-0.06109171951798185
ACH-000221,0.03760412212050484
ACH-000222,0.06351355791881393
ACH-000223,0.05812712656320267
ACH-000226,0.11675759668536592
ACH-000227,0.020922208956717057
ACH-000228,0.05643298345104219
ACH-000231,0.019929672187428568
ACH-000232,0.023922847282786458
ACH-000233,0.19941992488345545
ACH-000234,0.041006899859323064
ACH-000235,0.09460547396018666
ACH-000237,0.013766178243130176
ACH-000238,0.12791280761826648
ACH-000242,-0.04899681181892486
ACH-000243,0.03909145458783817
ACH-000244,0.08765922570684634
ACH-000246,-0.03766776815892972
ACH-000248,0.19847185753657612
ACH-000250,0.00427368763990169
ACH-000251,0.12295292113440465
ACH-000252,0.14733868416313345
ACH-000253,0.03484084720322626
ACH-000255,0.1690061841027927
ACH-000256,0.10644635053433396
ACH-000257,0.20131462343311088
ACH-000258,0.07488628819014326
ACH-000259,0.060985859969567624
ACH-000260,0.06988834110457477
ACH-000261,0.05469927044174338
ACH-000262,-0.03712435489118908
ACH-000263,0.08958211606388307
ACH-000264,0.07168249665061231
ACH-000265,0.2036586987744609
ACH-000266,0.10629005591980772
ACH-000272,0.08803345153673027
ACH-000274,0.06793464133204312
ACH-000277,-0.010389419724511458
ACH-000278,0.04316703757717008
ACH-000279,0.01979757597299115
ACH-000280,-0.02233630297728602
ACH-000281,-0.06996131983203774
ACH-000288,0.107906438181983
ACH-000291,-0.005915200297168372
ACH-000293,0.0488280330327055
ACH-000294,0.033351622883353665
ACH-000295,0.002246359297017743
ACH-000296,0.1187014154706786
ACH-000302,0.12144197143522854
ACH-000304,0.0898175196081346
ACH-000307,0.14083840359352212
ACH-000308,0.019550128419620862
ACH-000310,-0.04553684263296519
ACH-000311,0.1348151986397614
ACH-000312,0.08620882211077814
ACH-000315,-0.02255502771956856
ACH-000316,0.1461249706428798
ACH-000317,0.224300849780434
ACH-000318,0.07009640938458643
ACH-000319,0.20405801377585628
ACH-000320,0.0617618355389174
ACH-000322,0.14496500295031142
ACH-000323,0.30407837194561665
ACH-000324,0.023722442305770145
ACH-000329,0.06824573196949507
ACH-000330,0.07805974802386717
ACH-000331,0.1989951355558676
ACH-000332,0.07606470914545659
ACH-000334,0.1435885961802484
ACH-000335,0.13418015220397825
ACH-000336,-0.2816781582319907
ACH-000337,0.16067605989852424
ACH-000338,-0.0034026528130701003
ACH-000339,0.1294416203328231
ACH-000341,0.05371396552352623
ACH-000348,0.03603090693337248
ACH-000350,-0.010208993605823558
ACH-000352,0.093322144721314
ACH-000356,0.15623117419252802
ACH-000361,0.18118608227325075
ACH-000362,0.07022736014390887
ACH-000363,0.07488472011020053
ACH-000364,0.198615980703858
ACH-000365,0.1294952833518315
ACH-000366,0.011462036115638806
ACH-000368,0.07415463564757234
ACH-000374,0.023302229821817844
ACH-000375,-0.12093602177649596
ACH-000376,0.07763743993820102
ACH-000381,-0.08503404960903221
ACH-000383,0.07759303345916595
ACH-000387,-0.051628086800929764
ACH-000389,-0.09884753742685756
ACH-000390,0.016601809515379155
ACH-000393,0.089083554668941
ACH-000395,0.06503020932005275
ACH-000396,0.12111045169273107
ACH-000397,0.0364824772752055
ACH-000401,0.04780469734450533
ACH-000402,0.18412958240387609
ACH-000403,-0.013485304396929422
ACH-000404,0.10378281918632154
ACH-000406,0.05485239769740101
ACH-000407,0.07738119828801841
ACH-000408,0.21227784686310155
ACH-000410,0.0143011927678122
ACH-000411,0.10894638154459874
ACH-000414,0.002926819920116039
ACH-000415,0.07072981027631639
ACH-000416,0.07678666867676615
ACH-000420,0.09418806814653126
ACH-000421,-0.06446093130709722
ACH-000424,0.17233548867206386
ACH-000425,0.060734080171924276
ACH-000426,-0.014137277323319613
ACH-000427,0.09308881737389392
ACH-000433,0.18176485385965813
ACH-000435,0.1966211868111841
ACH-000436,-0.058410714647478885
ACH-000444,0.0031928864375202048
ACH-000445,0.10462597609133012
ACH-000448,0.05579461837594847
ACH-000450,0.1906356096078539
ACH-000452,-0.022000288484328875
ACH-000454,0.17781102738136087
ACH-000458,0.04353949540015895
ACH-000459,0.1007983260252172
ACH-000460,0.0829393253772592
ACH-000461,0.08501684545048055
ACH-000463,-0.0962118492946428
ACH-000464,0.11935678455134548
ACH-000466,-0.0035085130632267233
ACH-000467,0.0779403099595726
ACH-000468,0.027561667835717226
ACH-000469,0.16207902770732824
ACH-000470,0.1952734037843737
ACH-000471,0.1313075196633483
ACH-000472,0.010912154154923892
ACH-000473,-0.014273748169860247
ACH-000475,-0.04426284626728219
ACH-000476,0.10160369778560448
ACH-000477,-0.13971801215798982
ACH-000479,0.2703734591390447
ACH-000480,0.03328082920121633
ACH-000481,0.026989609040763484
ACH-000483,0.275386275362235
ACH-000484,-0.02374084691379004
ACH-000485,0.12782757879493772
ACH-000486,0.10025726615215194
ACH-000487,0.10795487309317282
ACH-000488,-0.07473061489044336
ACH-000490,0.15416474995229434
ACH-000491,-0.02379765677713092
ACH-000495,0.18584869253247588
ACH-000496,-0.0572454326256295
ACH-000499,0.2563611707197858
ACH-000500,0.3777225150712906
ACH-000502,-0.017358692310247576
ACH-000503,0.12615686643350293
ACH-000505,0.1003439362248468
ACH-000507,-0.1318472772513767
ACH-000510,0.030670936325282807
ACH-000511,0.1148967711077474
ACH-000512,0.1935176785792596
ACH-000516,-0.06494926712461106
ACH-000517,0.0558910367323894
ACH-000518,0.0336917128342348
ACH-000520,0.16443513351227898
ACH-000521,0.014646417928845338
ACH-000522,0.04701744494001832
ACH-000524,0.004323302374851903
ACH-000527,0.13547017181767526
ACH-000528,0.0284848321108338
ACH-000537,0.04876850509922651
ACH-000541,0.18975189125515465
ACH-000542,0.14055384116943828
ACH-000544,0.0836763524867983
ACH-000545,0.1565414010784804
ACH-000547,0.006902687087404965
ACH-000548,0.04669449073497496
ACH-000549,0.08588469247456673
ACH-000550,0.060588901199424436
ACH-000552,0.1299830829024891
ACH-000556,0.058836350824701476
ACH-000557,0.046135935176683865
ACH-000569,-0.11613782715307465
ACH-000570,0.11247054321594543
ACH-000571,0.12022737557528622
ACH-000573,0.07397253230136311
ACH-000576,-0.02425717090289136
ACH-000579,0.09697424201865093
ACH-000580,0.13111530277312533
ACH-000584,0.13063070527067105
ACH-000585,0.06707025488272213
ACH-000588,-0.046694012329119065
ACH-000589,0.009364786383949742
ACH-000591,0.022220686249644885
ACH-000593,0.12181013835584899
ACH-000600,0.16567665776260518
ACH-000601,0.08016143068099915
ACH-000605,0.053734135850645036
ACH-000606,0.2109532990810362
ACH-000608,0.08558703301206966
ACH-000614,0.1527480617614549
ACH-000616,0.026837894235851808
ACH-000618,-0.0058311154000222475
ACH-000619,0.2220772790932643
ACH-000620,0.040484324026805074
ACH-000621,-0.05580572602228225
ACH-000622,-0.05503469682832015
ACH-000623,0.006772444668095608
ACH-000624,-0.014155211762870348
ACH-000627,-0.0060291396735445285
ACH-000630,0.1478404035930474
ACH-000631,-0.2123166365952682
ACH-000632,0.06920887572500095
ACH-000633,-0.061367777038277435
ACH-000637,0.09500983352824033
ACH-000638,0.16706463069009275
ACH-000646,-0.21699997199248933
ACH-000647,-0.03183638142618846
ACH-000648,0.03635683029340397
ACH-000649,0.13439227531167747
ACH-000651,0.05391623006495092
ACH-000652,0.11115166986261102
ACH-000653,0.14656373511062254
ACH-000657,0.061595171952627
ACH-000658,0.04223528405048591
ACH-000661,0.020626135862379637
ACH-000662,-0.13778314060182706
ACH-000663,0.2482967360184918
ACH-000665,0.1359153880000778
ACH-000671,0.07332212060179451
ACH-000672,-0.21313979626905766
ACH-000673,0.101313678295915
ACH-000676,0.1303732136126157
ACH-000677,0.035102329373743545
ACH-000681,-0.15338371701361755
ACH-000683,0.0750760886038373
ACH-000684,0.1428503152474708
ACH-000688,0.057486745303503665
ACH-000693,0.1369943992959412
ACH-000694,0.07879928165051699
ACH-000695,0.0894768516906879
ACH-000696,0.05897502369638435
ACH-000697,0.2415031734582616
ACH-000699,0.057582631352173765
ACH-000701,0.08115237824360724
ACH-000706,-0.09885943353968256
ACH-000711,-0.04136427820727746
ACH-000713,-0.009877112187312704
ACH-000714,0.16693260271073376
ACH-000718,0.03673407668187608
ACH-000720,0.08833809058559383
ACH-000721,0.08100944423532484
ACH-000724,0.07806732536902887
ACH-000725,0.05343144239900825
ACH-000732,0.18197465508368585
ACH-000734,-0.0007502666350228122
ACH-000735,0.07235050991759147
ACH-000736,-0.09670980122119814
ACH-000738,0.06988879516057335
ACH-000746,0.14646618940439832
ACH-000747,0.030716420194526983
ACH-000748,0.1036797262450164
ACH-000753,0.15510921588733434
ACH-000756,-0.007734868991747316
ACH-000757,0.22706341215488265
ACH-000758,0.0115363477767885
ACH-000760,0.02527882196987601
ACH-000762,0.07554708416651854
ACH-000763,0.1439192808802949
ACH-000764,0.2655158291415895
ACH-000765,0.05269243311361607
ACH-000766,0.055303158950429684
ACH-000767,-0.007045867645873094
ACH-000768,0.04884711198361042
ACH-000769,-0.12442778181322035
ACH-000770,0.06303531537769026
ACH-000771,0.07585703122620455
ACH-000773,0.031097987104618807
ACH-000776,0.19226134196944092
ACH-000777,0.13990044054851106
ACH-000778,0.041737278498930865
ACH-000781,0.10212077677636576
ACH-000782,0.12482679502672588
ACH-000783,0.0378183339630712
ACH-000784,0.018156623350056987
ACH-000785,0.08950228056061245
ACH-000787,0.10030214687872896
ACH-000788,0.08664645861606675
ACH-000791,0.10944653227982208
ACH-000792,0.08890268660405841
ACH-000794,0.010254041018429642
ACH-000796,0.06625045969897457
ACH-000798,0.3588899195570865
ACH-000799,0.09176689559377048
ACH-000800,0.052434260069461086
ACH-000802,0.09561873931232738
ACH-000804,-0.0481363637816617
ACH-000805,0.02515339826180184
ACH-000809,0.10574752385072872
ACH-000810,-0.1946755836815856
ACH-000811,0.01914034106190389
ACH-000817,-0.03989856738354943
ACH-000819,-0.09509313196326087
ACH-000820,-0.08841746023299242
ACH-000821,-0.031889004993691315
ACH-000822,0.03916521494828209
ACH-000823,0.11169316284961334
ACH-000824,-0.13619741628320264
ACH-000827,0.033817136545047435
ACH-000829,0.06473158877203239
ACH-000831,0.15032058888237346
ACH-000832,-0.06340063282577567
ACH-000833,-0.1446343763383062
ACH-000834,0.005832016756916175
ACH-000835,-0.10051557734050616
ACH-000836,0.09853157191963724
ACH-000837,0.1077061508072208
ACH-000838,-0.1216411912469656
ACH-000839,0.32440258143806905
ACH-000840,0.1186678137145416
ACH-000841,0.1954577021500921
ACH-000843,0.18092328304848154
ACH-000846,-0.015112689972671354
ACH-000847,-0.0018292004225163808
ACH-000848,0.17968057031314166
ACH-000849,0.1019216994010566
ACH-000851,-0.22969680189373834
ACH-000855,0.28123920064347857
ACH-000856,0.01651008708771001
