,GJC2 (57165)
ACH-000004,-0.1643949020156992
ACH-000005,-0.05180419443633172
ACH-000007,0.09142529243487188
ACH-000009,-0.12344408697345816
ACH-000011,-0.08654811851235814
ACH-000012,-0.028232034422328824
ACH-000013,-0.12653443547998935
ACH-000014,-0.0793863668381206
ACH-000015,-0.06923751603444186
ACH-000017,-0.27120530315685765
ACH-000018,0.009491423412022023
ACH-000019,-0.0528597710178652
ACH-000021,-0.2587081844254125
ACH-000022,-0.14599443588267771
ACH-000025,-0.3166628015147371
ACH-000028,0.054162648804653504
ACH-000030,-0.22029104617021772
ACH-000035,-0.037706939186440316
ACH-000036,-0.06679486246617647
ACH-000037,-0.1227505971257519
ACH-000039,-0.10616587937912553
ACH-000040,-0.1830830341991937
ACH-000041,-0.17336449582915164
ACH-000042,-0.10569969306261476
ACH-000045,-0.014086566197472656
ACH-000047,-0.1499738045983941
ACH-000052,-0.003516511863705579
ACH-000053,-0.0910137328636356
ACH-000054,-0.14281266957867494
ACH-000055,0.22039559092234198
ACH-000060,-0.05725500721330067
ACH-000067,-0.04011558543789707
ACH-000070,-0.1317102176052503
ACH-000075,-0.2835412751676775
ACH-000078,-0.1841734823477726
ACH-000082,-0.17370054312687513
ACH-000085,-0.1035723477558828
ACH-000086,-0.19380838968373995
ACH-000087,0.02337834656235422
ACH-000092,-0.11953237189232695
ACH-000095,-0.2448344492116225
ACH-000097,0.018515978366306158
ACH-000098,-0.16411655105052425
ACH-000099,-0.2095777179314169
ACH-000108,-0.050530114003286435
ACH-000113,-0.13971073683555318
ACH-000116,-0.016294096123600846
ACH-000118,-0.03679379357338622
ACH-000120,-0.11405388750366467
ACH-000123,0.045640391503789006
ACH-000127,-0.14817312950317832
ACH-000128,-0.09815729848103492
ACH-000132,-0.12580260914276647
ACH-000133,-0.11933767556631812
ACH-000137,-0.09513856618853253
ACH-000138,-0.03382670051174661
ACH-000142,-0.0034659145007074747
ACH-000143,-0.04804172122341785
ACH-000146,0.007121753497911426
ACH-000148,-0.17926529025881136
ACH-000150,-0.07997713825884728
ACH-000152,-0.059040813357547225
ACH-000153,-0.11627875441911227
ACH-000159,-0.019636593204615003
ACH-000160,-0.014621035472564927
ACH-000163,-0.06752619615278632
ACH-000167,-0.0033937628535558985
ACH-000168,-0.06762107086658589
ACH-000169,-0.008451173250679693
ACH-000178,0.015248692752298284
ACH-000183,-0.013198133085567885
ACH-000188,-0.08153403757278144
ACH-000189,-0.11378115103759252
ACH-000190,-0.06626926295964929
ACH-000198,0.005992589772407254
ACH-000203,-0.6493498337695702
ACH-000204,-0.08841747084483075
ACH-000206,-0.2688337276296757
ACH-000207,-0.1267566823997778
ACH-000208,0.021396983522018173
ACH-000210,-0.029710574199542376
ACH-000211,-0.04136842769004388
ACH-000215,-0.10967752445017873
ACH-000221,0.01631657024612346
ACH-000222,-0.2262409446393091
ACH-000223,-0.1694722651749905
ACH-000226,-0.0028817041872714715
ACH-000227,-0.2048518355507501
ACH-000228,-0.02000123407649126
ACH-000231,-0.09678523151538272
ACH-000232,-0.058287925932052474
ACH-000233,-0.2293270767139341
ACH-000234,-0.15405369606623465
ACH-000235,-0.06323576815412899
ACH-000237,-0.16287460453815036
ACH-000238,-0.25757333630856744
ACH-000242,-0.016516852911217933
ACH-000243,-0.06452388037487798
ACH-000244,0.14181715749596627
ACH-000246,-0.19988546695595816
ACH-000248,-0.3039549395871384
ACH-000250,-0.09587967034199217
ACH-000251,0.07879973165610715
ACH-000252,-0.03864591777815925
ACH-000253,-0.2152814581823434
ACH-000255,0.0066209922529132026
ACH-000256,-0.1936743647439754
ACH-000257,-0.144920258608518
ACH-000258,-0.13543975688291432
ACH-000259,-0.04207183434587335
ACH-000260,-0.12555825238643206
ACH-000261,-0.03910655713283631
ACH-000262,0.11132426998143488
ACH-000263,-0.006250394569740604
ACH-000264,-0.05285089462456312
ACH-000265,-0.04982518226022989
ACH-000266,-0.15238327773561802
ACH-000272,-0.2622432125035529
ACH-000274,-0.07853768845785322
ACH-000277,-0.08553145431557582
ACH-000278,-0.01992909696992255
ACH-000279,-0.11604739426724422
ACH-000280,-0.10525480450384676
ACH-000281,-0.2698796360200662
