,TXN (7295)
ACH-000004,-1.3085368074491546
ACH-000005,-0.9128965984475416
ACH-000007,-1.1114784132164417
ACH-000009,-1.251852010443952
ACH-000011,-0.8599890371146749
ACH-000012,-1.107389807441363
ACH-000013,-1.1989917771934586
ACH-000014,-1.3480422736364222
ACH-000015,-1.2820221826083558
ACH-000017,-1.092939795112681
ACH-000018,-0.9732951989983416
ACH-000019,-0.7177049297948217
ACH-000021,-1.2757665015212416
ACH-000022,-1.2380563301813894
ACH-000025,-1.1906463010663415
ACH-000028,-0.8754433339011393
ACH-000030,-1.0273220960857523
ACH-000035,-1.2436632630006728
ACH-000036,-0.9259864758392145
ACH-000037,-1.4761615965748702
ACH-000039,-1.4192635734122565
ACH-000040,-1.2733648066591707
ACH-000041,-1.089634741411671
ACH-000042,-1.0193202644668775
ACH-000045,-0.8251673461078577
ACH-000047,-1.1521837440533251
ACH-000052,-1.2194949334128562
ACH-000053,-1.1113525051499602
ACH-000054,-1.011865709769756
ACH-000055,-1.132152965611832
ACH-000060,-1.003852345965181
ACH-000067,-1.2556511742784655
ACH-000070,-1.1438763983126603
ACH-000075,-1.0495121498521138
ACH-000078,-1.3150531182674554
ACH-000082,-0.923928622694264
ACH-000085,-1.1240633323845566
ACH-000086,-1.1270098433458609
ACH-000087,-1.0377033913686708
ACH-000092,-1.0461103587513192
ACH-000095,-1.162772909275158
ACH-000097,-0.9709129531183333
ACH-000098,-1.016881537118224
ACH-000099,-0.9013884146054396
ACH-000108,-1.0712643667312527
ACH-000113,-0.8792976001488259
ACH-000116,-1.0962882539838887
ACH-000118,-0.985963460987722
ACH-000120,-0.9292023026393621
ACH-000123,-1.0473800781898135
ACH-000127,-0.9808989939210712
ACH-000128,-0.7826201718626662
ACH-000132,-1.032042402406434
ACH-000133,-0.934220727760098
ACH-000137,-1.2582184593383952
ACH-000138,-1.2743121003038878
ACH-000142,-1.0742192323675153
ACH-000143,-0.9834758365101464
ACH-000146,-0.9691458545853829
ACH-000148,-1.2161525229986718
ACH-000150,-1.0638016296590775
ACH-000152,-1.2037919331204843
ACH-000153,-0.8887984478049269
ACH-000159,-1.2433715248471509
ACH-000160,-0.9465100557632572
ACH-000163,-0.997084289204074
ACH-000167,-1.0699374552605352
ACH-000168,-1.14948320198917
ACH-000169,-0.9806563225763198
ACH-000178,-0.9296831121165876
ACH-000183,-1.0377946372755953
ACH-000188,-0.8698988959878972
ACH-000189,-1.1118531497783133
ACH-000190,-1.2991700357233722
ACH-000198,-1.0887248472214646
ACH-000203,-1.302516694509944
ACH-000204,-1.1557507268768328
ACH-000206,-1.0250896923038433
ACH-000207,-0.8987706774805596
ACH-000208,-1.264993194952459
ACH-000210,-1.1303878519479464
ACH-000211,-1.002453891404831
ACH-000215,-1.185109292050364
ACH-000221,-1.4406344599199128
ACH-000222,-1.0788295282493126
ACH-000223,-0.9061593042766084
ACH-000226,-0.9492951930168976
ACH-000227,-0.9523951404674148
ACH-000228,-0.9975579621323968
ACH-000231,-1.165373518351848
ACH-000232,-1.1021599674603968
ACH-000233,-1.0131837835288109
ACH-000234,-0.8485916213207763
ACH-000235,-1.1145297204865845
ACH-000237,-0.6727720361671248
ACH-000238,-0.909839960150814
ACH-000242,-1.3744897531873643
ACH-000243,-1.1001316216245651
ACH-000244,-1.2051566016890678
ACH-000246,-0.9692362712664496
ACH-000248,-1.0591669894457043
ACH-000250,-0.9682779238637604
ACH-000251,-1.4373730043276929
ACH-000252,-1.0732659931800907
ACH-000253,-0.9317943678705808
ACH-000255,-1.0563588308328145
ACH-000256,-1.2684263979993111
ACH-000257,-1.2919595342629775
ACH-000258,-1.0914370100319464
ACH-000259,-1.1373171376895896
ACH-000260,-1.0769177622046788
ACH-000261,-1.2507103328066935
ACH-000262,-0.9652288411613614
ACH-000263,-0.9811218382406512
ACH-000264,-1.0228805755414232
ACH-000265,-0.9967750641117122
ACH-000266,-0.9073996934847072
ACH-000272,-1.1040161619353102
ACH-000274,-0.8501717399588883
ACH-000277,-0.7250523565168739
ACH-000278,-1.2908635012372631
ACH-000279,-0.972559748392572
ACH-000280,-1.0952792296814595
ACH-000281,-1.0869224202067844
ACH-000288,-1.2650869726722624
ACH-000291,-1.0852934391486857
ACH-000293,-1.1619756586205907
ACH-000294,-1.2956714060400767
ACH-000295,-1.4645544867572982
ACH-000296,-1.1704306013816286
ACH-000302,-1.0851946022871806
ACH-000304,-1.6457097337208157
ACH-000307,-0.8368966219288996
ACH-000308,-1.499730593886656
ACH-000310,-1.0414151762892019
ACH-000311,-1.1370604684973922
ACH-000312,-1.1354764871764094
ACH-000315,-0.9311306265565172
ACH-000316,-0.9402787671909436
ACH-000317,-1.1228785011035751
ACH-000318,-1.1702135095917705
ACH-000319,-0.91094634906979
ACH-000320,-1.080077169466358
ACH-000322,-1.2250234922799377
ACH-000323,-1.2116541190294383
ACH-000324,-1.2173575510809929
ACH-000329,-1.244568861800176
ACH-000330,-0.9681652737327188
ACH-000331,-1.0429765845587753
ACH-000332,-0.9291763308808744
ACH-000334,-0.982975613195332
ACH-000335,-1.0035481369758437
ACH-000336,-0.8371905613605083
ACH-000337,-1.0210959117262164
ACH-000338,-1.3613967593943392
ACH-000339,-1.1447677522821011
ACH-000341,-1.396495527552916
ACH-000348,-1.1903909491619422
ACH-000350,-0.91591765588464
ACH-000352,-0.8494419103961717
ACH-000356,-1.4111708361765698
ACH-000361,-1.1837216185795598
ACH-000362,-0.9281141783705082
ACH-000363,-0.5563918472137473
ACH-000364,-1.3486131918240662
ACH-000365,-1.0564530180277305
ACH-000366,-1.2430811666540151
ACH-000368,-1.319244676700271
ACH-000374,-1.484177359080104
ACH-000375,-0.8580737037082824
ACH-000376,-0.9967585791702508
ACH-000381,-1.4504357011751656
ACH-000383,-1.1766736634471409
ACH-000387,-1.051677407496391
ACH-000389,-1.2033154145789486
ACH-000390,-0.8985263966189531
ACH-000393,-1.1476114509412376
ACH-000395,-1.1468627444315382
ACH-000396,-1.2895275887844204
ACH-000397,-1.2491255498291292
ACH-000401,-1.050970011727463
ACH-000402,-0.42636965443933095
ACH-000403,-0.8338850449157025
ACH-000404,-1.111410393415475
ACH-000406,-1.0917595107635507
ACH-000407,-1.1715769760631969
ACH-000408,-1.078690537718011
ACH-000410,-1.0965029756551925
ACH-000411,-0.9329399715745722
ACH-000414,-0.9365939222496488
ACH-000415,-0.9408598815850316
ACH-000416,-0.9497204436163842
ACH-000420,-0.9626671101282844
ACH-000421,-1.2302924444166985
ACH-000424,-1.1322973820169728
ACH-000425,-1.2956741068912996
ACH-000426,-1.4544297075002548
ACH-000427,-0.9600481051581368
ACH-000433,-1.0195306464746785
ACH-000435,-1.464910503693189
ACH-000436,-1.1273093641081289
ACH-000444,-1.2955171223694328
ACH-000445,-1.037749156590547
ACH-000448,-1.1679856508182844
