,CRKL (1399)
ACH-000004,-0.2049799363544946
ACH-000005,-0.07754648002619006
ACH-000007,-0.8343618323259062
ACH-000009,-0.7092512429444118
ACH-000011,-0.8941639036609809
ACH-000012,-0.12954815241008746
ACH-000013,-0.2769026413807793
ACH-000014,-1.1981962741047558
ACH-000015,-0.7472353777431013
ACH-000017,-0.5276973692087151
ACH-000018,-0.949788297910004
ACH-000019,-0.44956709522677096
ACH-000021,-0.6966688906771179
ACH-000022,-0.4328931745311161
ACH-000025,-0.8793856451066452
ACH-000028,-0.3058152774092318
ACH-000030,-0.7602728570005929
ACH-000035,-0.8394582468981263
ACH-000036,-0.6762851778773605
ACH-000037,-0.3488158556824458
ACH-000039,-0.2519001275563432
ACH-000040,-0.8299074262962853
ACH-000041,-0.364319951320946
ACH-000042,-1.2203383443868472
ACH-000045,-0.5599640955459648
ACH-000047,-0.9790557619506494
ACH-000052,-0.7390197017424037
ACH-000053,-0.2051906506938468
ACH-000054,-0.4691147938416128
ACH-000055,-0.24296002403735764
ACH-000060,-1.3545783910542344
ACH-000067,-0.9413505203889104
ACH-000070,-0.3386663745507193
ACH-000075,-0.3890464122592868
ACH-000078,-0.4313380488638149
ACH-000082,-0.9926778227474102
ACH-000085,-1.046902090875448
ACH-000086,-0.22257342375635464
ACH-000087,-0.6138509585688592
ACH-000092,-0.5177982626821387
ACH-000095,-0.4088113378687655
ACH-000097,-0.9469182008063736
ACH-000098,-1.0688023488864498
ACH-000099,-0.7490157046072661
ACH-000108,-0.7982780265010112
ACH-000113,-0.4997148884299514
ACH-000116,-0.19974921419897493
ACH-000118,-1.0180599937459227
ACH-000120,-0.9218449641868924
ACH-000123,-0.38879945425278095
ACH-000127,-0.7509059361480774
ACH-000128,-0.4156528527028372
ACH-000132,-0.4713301674081223
ACH-000133,-0.5833312575285172
ACH-000137,-0.5179114891930493
ACH-000138,-1.2469239444555786
ACH-000142,-0.9451678384134832
ACH-000143,-0.7576866124325975
ACH-000146,-0.10558407542650636
ACH-000148,-0.25485908996072365
ACH-000150,-0.8160006783575535
ACH-000152,-0.4047724512625384
ACH-000153,-0.6885261834634053
ACH-000159,-0.5016807244677509
ACH-000160,-0.442307985265252
ACH-000163,-0.1233930315786324
ACH-000167,-1.3586250012435392
ACH-000168,-0.390486831245279
ACH-000169,-0.4940676649779266
ACH-000178,-1.0268071592383639
