,GNG2 (54331)
ACH-000004,-0.10369791259715154
ACH-000005,0.03869781888612157
ACH-000007,-0.052980079244667945
ACH-000009,-0.20910264118313487
ACH-000011,-0.1861764752689126
ACH-000012,-0.14519892421902542
ACH-000013,-0.1779973712316732
ACH-000014,0.005992525454665538
ACH-000015,-0.17055523259232214
ACH-000017,-0.026312339998854944
ACH-000018,-0.10364570486543367
ACH-000019,-0.21703366636528104
ACH-000021,-0.09105806018930256
ACH-000022,-0.21363791294402334
ACH-000025,-0.16438664565959624
ACH-000028,-0.2636312882176025
ACH-000030,-0.16087806508570476
ACH-000035,-0.1062831243547996
ACH-000036,-0.13859908358188097
ACH-000037,-0.03768590827723927
ACH-000039,-0.16833458020721365
ACH-000040,-0.07283196390363396
ACH-000041,-0.16163909827889428
ACH-000042,-0.12193348356483405
ACH-000045,-0.04585683405546168
ACH-000047,-0.257013914404478
ACH-000052,-0.3827794715827745
ACH-000053,-0.17467548189479695
ACH-000054,-0.1516510217802533
ACH-000055,-0.3347076179897046
ACH-000060,-0.4178635907237648
ACH-000067,-0.032167190352090536
ACH-000070,0.08618656618668619
ACH-000075,-0.12667559549989718
ACH-000078,-0.18629217253903155
ACH-000082,-0.12478442773758645
ACH-000085,-0.5554770589620325
ACH-000086,-0.06968555985247987
ACH-000087,-0.3126481257189344
ACH-000092,-0.12936272602883578
ACH-000095,-0.09779180407104672
ACH-000097,-0.2778335240395651
ACH-000098,-0.18583284157929186
ACH-000099,-0.2088901001725688
ACH-000108,-0.06181741407554371
ACH-000113,-0.2272741885108001
ACH-000116,-0.12276801982789035
ACH-000118,-0.24479038009604606
ACH-000120,-0.17864848127170393
ACH-000123,-0.09956870007054236
ACH-000127,-0.12685925532355494
ACH-000128,-0.046848552082966885
ACH-000132,-0.10986675776680012
ACH-000133,-0.2623534595448151
ACH-000137,-0.12562226570960247
ACH-000138,-0.0672045601140477
ACH-000142,-0.1613118841469504
ACH-000143,-0.1300534156160503
ACH-000146,-0.21626200152106526
ACH-000148,-0.13953659566628931
ACH-000150,-0.015899762554653266
ACH-000152,-0.2182918583292751
ACH-000153,-0.023722407298888592
ACH-000159,-0.13745204854371512
ACH-000160,-0.10119712902348993
ACH-000163,-0.16073560822852262
ACH-000167,-0.1944187192878392
ACH-000168,0.0543108034430883
ACH-000169,-0.19270749135184084
ACH-000178,-0.2132999672756372
