,DAK (26007)
ACH-000004,-0.20860583675323385
ACH-000005,-0.017254068253389602
ACH-000007,-0.070525534041398
ACH-000009,-0.18125711500410688
ACH-000011,0.10746155702721816
ACH-000012,-0.2718425918464242
ACH-000013,-0.14501853854496902
ACH-000014,0.06758283796067659
ACH-000015,-0.03969849310531071
ACH-000017,-0.09545207896350348
ACH-000018,-0.17838521990966422
ACH-000019,-0.1306542326374438
ACH-000021,-0.2256029070497002
ACH-000022,-0.20891533761357864
ACH-000025,-0.03111882118871142
ACH-000028,-0.1350944515573701
ACH-000030,-0.08980257401183223
ACH-000035,-0.04651755047210342
ACH-000036,-0.07583563442920385
ACH-000037,-0.0794058246681476
ACH-000039,-0.19681714899765654
ACH-000040,-0.14925038069114555
ACH-000041,-0.044432611477017464
ACH-000042,-0.15391059327347165
ACH-000045,-0.16505098752135247
ACH-000047,-0.020739590096807838
ACH-000052,-0.20032173000199469
ACH-000053,-0.1054865826269411
ACH-000054,0.02643762844576258
ACH-000055,-0.0032359529807101236
ACH-000060,-0.03169352616846479
ACH-000067,0.0987153084286152
ACH-000070,-0.0435464230596129
ACH-000075,-0.17538616460808548
ACH-000078,-0.1781202329744829
ACH-000082,-0.17657997474353868
ACH-000085,-0.007444732577608467
ACH-000086,-0.22729357811152745
ACH-000087,-0.060624355550718025
ACH-000092,-0.11284190845429325
ACH-000095,-0.11512000931694676
ACH-000097,-0.18307579939404567
ACH-000098,-0.2523906536367198
ACH-000099,-0.010473649620810807
ACH-000108,-0.116877333738172
ACH-000113,-0.10918362805285516
ACH-000116,-0.22581518033042794
ACH-000118,-0.17818579995222825
ACH-000120,-0.14396898986234602
ACH-000123,-0.08319780682895511
ACH-000127,-0.10876118740548238
ACH-000128,0.051460530752179164
ACH-000132,-0.10397211008844154
ACH-000133,-0.14524591519008412
ACH-000137,-0.3242038636934866
ACH-000138,-0.17917541379962199
ACH-000142,-0.20228357898285187
ACH-000143,-0.2147698537792928
ACH-000146,-0.13102745192964485
ACH-000148,-0.13656936528726582
ACH-000150,-0.04080382344618706
ACH-000152,-0.10004099575243416
ACH-000153,-0.22159255997976465
ACH-000159,0.035746183389040016
ACH-000160,-0.1580667757162574
ACH-000163,-0.1529645884702178
ACH-000167,-0.2804204290762365
ACH-000168,-0.16946583186267267
ACH-000169,-0.14650355104424173
ACH-000178,-0.04831651037840744
ACH-000183,-0.00027640582959414655
ACH-000188,-0.19571654086402987
ACH-000189,-0.17254994588100073
ACH-000190,-0.20682253038054105
ACH-000198,-0.0566563701148565
ACH-000203,0.08935878627567301
ACH-000204,-0.06970712934749056
ACH-000206,0.05697048214225496
ACH-000207,-0.3116387412472521
ACH-000208,-0.26953728259136234
ACH-000210,-0.08442670837796602
ACH-000211,-0.17628835296565434
ACH-000215,-0.19266890703707812
ACH-000221,-0.10100055642977833
ACH-000222,-0.3230176803770952
ACH-000223,-0.08934044988542095
