,BCL7A (605)
ACH-000004,0.0456515385625315
ACH-000005,-0.05892048604190068
ACH-000007,0.24503491232689725
ACH-000009,-0.07206687975485135
ACH-000011,-0.06338513547007628
ACH-000012,-0.07499514655957801
ACH-000013,0.07331440449092007
ACH-000014,-0.07469162672575029
ACH-000015,-0.007577518572373894
ACH-000017,0.0370864153060283
ACH-000018,0.23015830890359476
ACH-000019,-0.1510162084914016
ACH-000021,-0.06444408888706944
ACH-000022,-0.056121798690391626
ACH-000025,0.010942859625374573
ACH-000028,0.09943351461212334
ACH-000030,0.015691793520436145
ACH-000035,0.04669271195281228
ACH-000036,0.11851242817089765
ACH-000037,-0.123604061485472
ACH-000039,0.13211423034721712
ACH-000040,-0.09034683209575413
ACH-000041,0.0792408839991494
ACH-000042,0.016713830727103127
ACH-000045,0.09349610419334434
ACH-000047,0.03566690330436283
ACH-000052,-0.22249881031062554
ACH-000053,-0.08940011684586156
ACH-000054,-0.0548279193982465
ACH-000055,-0.1723166575326911
ACH-000060,-0.08786987047932174
ACH-000067,-0.0814369081238353
ACH-000070,0.0680696072967438
ACH-000075,0.1178850955204716
ACH-000078,-0.0989778042702421
ACH-000082,0.031051009500178632
ACH-000085,0.07392717304078512
ACH-000086,-0.018551501686832075
ACH-000087,-0.13654629324534318
ACH-000092,0.06092556840175878
ACH-000095,0.04558175414325357
ACH-000097,-0.0014131040341296064
ACH-000098,0.06101338767491811
ACH-000099,0.07952152494793657
ACH-000108,-0.09910821419441172
ACH-000113,-0.010600831714884051
ACH-000116,0.04005515809344929
ACH-000118,-0.17267018489257255
ACH-000120,0.049995062121567055
ACH-000123,-0.0454762480007357
ACH-000127,-0.0058886583103937825
ACH-000128,-0.0035825841060514287
ACH-000132,-0.044345203646139635
ACH-000133,-0.14226089830124738
ACH-000137,-0.07846078253914196
ACH-000138,-0.11971131365720837
ACH-000142,-0.033275849501123736
ACH-000143,-0.2147828673657285
ACH-000146,-0.09995617088972034
ACH-000148,-0.015995699227988464
ACH-000150,-0.11113532276662436
ACH-000152,-0.12458027481163107
ACH-000153,-0.27409571111673425
ACH-000159,-0.02249847508137285
ACH-000160,0.04811544663688596
ACH-000163,-0.07874352863469193
ACH-000167,-0.05145651604252684
ACH-000168,-0.028190679191298317
ACH-000169,-0.0832936710334953
ACH-000178,0.08658394273154167
ACH-000183,0.053842715307669514
ACH-000188,0.05668950102009601
ACH-000189,0.03933366279478305
ACH-000190,0.05859167328095126
ACH-000198,0.20847797274642932
ACH-000203,-0.636872723680443
ACH-000204,0.026012888468267558
ACH-000206,0.047729297216926085
ACH-000207,0.06384957319868642
ACH-000208,0.01039027462998638
ACH-000210,-0.17987274232967818
ACH-000211,-0.025165430988148458
ACH-000215,-0.09534745517296214
ACH-000221,0.0651593548787401
ACH-000222,0.0897664858975069
ACH-000223,-0.04640768054299844
ACH-000226,0.03633307871207464
ACH-000227,-0.07788999181197939
ACH-000228,0.11496337307298715
ACH-000231,-0.0012005963859855575
ACH-000232,0.004461484505893103
ACH-000233,-0.11086928457339268
ACH-000234,0.002200201349675841
ACH-000235,-0.07217015931541965
ACH-000237,0.014827392199223969
ACH-000238,-0.19543514729962447
ACH-000242,-0.2203249896267841
ACH-000243,-0.04745452616606202
ACH-000244,0.0307368131124026
ACH-000246,0.00506524329253659
ACH-000248,-0.012598607679881864
ACH-000250,0.03519629257293485
ACH-000251,0.1523336081907402
ACH-000252,0.06056497645665719
ACH-000253,0.08244949199977687
ACH-000255,0.14448739918512293
ACH-000256,0.04673378428662285
ACH-000257,-0.15772188619661448
ACH-000258,-0.0781922932054042
ACH-000259,0.06937739765294818
ACH-000260,0.014390829473793262
ACH-000261,-0.01075862767173142
ACH-000262,0.03572476789879195
ACH-000263,-0.3493934553889915
ACH-000264,-0.035832156652296394
ACH-000265,0.05748545623814956
ACH-000266,-0.01576240444900073
ACH-000272,0.0206849924321163
ACH-000274,-0.018815764683102056
ACH-000277,-0.2700071018414376
ACH-000278,-0.10823736407529316
ACH-000279,-0.0299593408635873
ACH-000280,-0.1406793029646118
ACH-000281,0.03994938963265544
ACH-000288,-0.08381932684457337
ACH-000291,0.03959250999474554
ACH-000293,0.03229668945066607
ACH-000294,0.0018943691251675945
ACH-000295,-0.05264292300384015
ACH-000296,-0.16611034148632758
ACH-000302,-0.03923026682594587
ACH-000304,-0.08619840438147881
ACH-000307,0.02498893475341733
ACH-000308,0.026350119771637908
ACH-000310,-0.17671143832395422
ACH-000311,-0.141818826944193
ACH-000312,-0.0025332820225313604
ACH-000315,0.0063490616515704205
ACH-000316,-0.026038628035719696
ACH-000317,0.048454047178741126
ACH-000318,0.014976135875092948
ACH-000319,-0.036730569335879135
ACH-000320,-0.10698018810870097
ACH-000322,-0.13992523500869375
ACH-000323,-0.12270074745700285
ACH-000324,-0.010500705574400084
ACH-000329,-0.04008531874955512
ACH-000330,0.027909719330496373
ACH-000331,-0.057645897785985674
ACH-000332,-0.06004921198653467
ACH-000334,-0.01298334582739333
ACH-000335,0.08733335379414324
ACH-000336,0.059990235283406586
ACH-000337,0.045350394854329616
ACH-000338,-0.040212778661334915
ACH-000339,-0.03885256462202637
ACH-000341,0.024287727006358492
ACH-000348,-0.1543338946710918
ACH-000350,-0.00221078521650326
ACH-000352,0.019411935320971633
ACH-000356,0.2074636625932781
ACH-000361,0.13343701470839367
ACH-000362,-0.00321597809571742
ACH-000363,-0.0018706898023622453
ACH-000364,0.07873379299939531
ACH-000365,-0.12805424911460433
ACH-000366,-0.14181087500565834
ACH-000368,-0.060957850802596136
ACH-000374,-0.019840214010005547
ACH-000375,0.14787966007465694
ACH-000376,-0.040253504422900856
ACH-000381,-0.23304865358713506
ACH-000383,0.02967695727902894
ACH-000387,0.05849498899189825
ACH-000389,0.11777830561880852
ACH-000390,0.07746370932483977
ACH-000393,0.07526982129122865
ACH-000395,-0.17725705524399848
ACH-000396,0.05107754546500007
ACH-000397,-0.035825588250775885
ACH-000401,-0.11970352425196155
ACH-000402,0.3480209574580259
ACH-000403,0.00611031783897401
