,RNASEH2C (84153)
ACH-000004,-0.3568853711379382
ACH-000005,-0.39609865197430605
ACH-000007,-0.6057172189021697
ACH-000009,-0.2867809759725279
ACH-000011,-0.3353223479097231
ACH-000012,-0.5180993528495734
ACH-000013,-0.2867819052422286
ACH-000014,-0.17892405131439032
ACH-000015,-0.2259733041625433
ACH-000017,-0.319548338282213
ACH-000018,-0.43423761598737104
ACH-000019,-0.4430049765131002
ACH-000021,-0.3751957695317395
ACH-000022,-0.4741313477477146
ACH-000025,-0.6088107575058566
ACH-000028,-0.36235505563202425
ACH-000030,-0.2746043854319735
ACH-000035,-0.5165146321551883
ACH-000036,-0.3907196703571591
ACH-000037,-0.6457813598071399
ACH-000039,-0.5244831937762612
ACH-000040,-0.6517208588942877
ACH-000041,-0.27050853781045997
ACH-000042,-0.4675819089864065
ACH-000045,-0.4151341417003697
ACH-000047,-0.5695962192643496
ACH-000052,-0.5120490355115854
ACH-000053,-0.26033414661308163
ACH-000054,-0.3592169264893662
ACH-000055,-0.6949994672529848
ACH-000060,-0.13453812773312776
ACH-000067,-0.7541271898152385
ACH-000070,-0.4718234353553441
ACH-000075,-0.10884202169101834
ACH-000078,-0.3058877009469101
ACH-000082,-0.4732402422806975
ACH-000085,-0.18057946967557725
ACH-000086,-0.4685036076746977
ACH-000087,-0.7404014464218254
ACH-000092,-0.4847545409580517
ACH-000095,-0.08578185805328523
ACH-000097,-0.2027310231735797
ACH-000098,-0.26669450521462096
ACH-000099,-0.5697063270747493
ACH-000108,-0.3980071739197784
ACH-000113,-0.6717540002630618
ACH-000116,-0.5016710880839971
ACH-000118,-0.4298351857841009
ACH-000120,-0.7331180213845997
ACH-000123,-0.5180872758372908
ACH-000127,-0.915543628209612
ACH-000128,-0.1638411137595657
ACH-000132,-0.29649217186415777
ACH-000133,-0.566640621614352
ACH-000137,-0.6031816982043553
ACH-000138,-0.6041272405214032
ACH-000142,-0.5601982928110062
ACH-000143,-0.4742510352817713
ACH-000146,-0.41715709947810464
ACH-000148,-0.5509868364902972
ACH-000150,-0.38390179483498776
ACH-000152,-0.3484039548930485
ACH-000153,-0.5235727791078201
ACH-000159,-0.4613558790616927
ACH-000160,-0.3979812595727184
ACH-000163,-0.5979316456420848
ACH-000167,-0.5790808186681393
ACH-000168,-0.16928311891461434
ACH-000169,-0.2319417965368568
ACH-000178,-0.33915223039307585
ACH-000183,-0.5743105348751089
ACH-000188,-0.4826008210951845
ACH-000189,-0.8091088230947042
ACH-000190,-1.139208433706221
ACH-000198,-0.657659340956441
ACH-000203,-0.3800600243961862
ACH-000204,-0.507568762726416
ACH-000206,-0.3623127469380738
ACH-000207,-0.8122112276026309
ACH-000208,-0.6380186861480831
ACH-000210,-0.5303464044552144
ACH-000211,-0.4692041289986089
ACH-000215,-0.7325016282248146
ACH-000221,-0.2128986760489485
ACH-000222,-0.4750370894473153
ACH-000223,-0.30568255125116395
ACH-000226,-0.3972234165241631
ACH-000227,-0.3084405439385198
ACH-000228,-0.5475964649845548
ACH-000231,-0.3881458592269245
ACH-000232,-0.7658259711397605
ACH-000233,-0.5468429382990321
ACH-000234,-0.2866153617751445
ACH-000235,-0.2755120255931494
ACH-000237,-0.5050031112454176
ACH-000238,-0.8041680907468515
ACH-000242,0.11347603621551622
