,LST1 (7940)
ACH-000004,-0.3444645789479517
ACH-000005,-0.5302890049694187
ACH-000007,-0.3907648315383728
ACH-000009,-0.3935259309686247
ACH-000011,-0.3602439886155596
ACH-000012,-0.43690129535910827
ACH-000013,-0.4994320582838858
ACH-000014,-0.5319459720802949
ACH-000015,-0.3383663988051021
ACH-000017,-0.41770408799325226
ACH-000018,-0.4708876000660226
ACH-000019,-0.37077589191168414
ACH-000021,-0.2510398822731331
ACH-000022,-0.4053353119778169
ACH-000025,-0.466399356163683
ACH-000028,-0.20993207755579865
ACH-000030,-0.43797157004625936
ACH-000035,-0.3276976194188436
ACH-000036,-0.3390954720386721
ACH-000037,-0.29410222788128665
ACH-000039,-0.4601399065035157
ACH-000040,-0.2428493151722363
ACH-000041,-0.16679946795410094
ACH-000042,-0.3663834652713477
ACH-000045,-0.31453547265767423
ACH-000047,-0.29138726866219605
ACH-000052,-0.18903180061071234
ACH-000053,-0.3518410642109975
ACH-000054,-0.2355752367082327
ACH-000055,-0.36903958944322257
ACH-000060,-0.4469992171521024
ACH-000067,-0.4578983726097034
ACH-000070,-0.1679166961145512
ACH-000075,-0.3526434739753305
ACH-000078,-0.2742509827096973
ACH-000082,-0.2502710499457325
ACH-000085,-0.5852134497022852
ACH-000086,-0.4805536714972115
ACH-000087,-0.3530422707183057
ACH-000092,-0.4107469592860781
ACH-000095,-0.33906286223707066
ACH-000097,-0.22335705105200213
ACH-000098,-0.3743097704442817
ACH-000099,-0.3269831265033
ACH-000108,-0.4718809859337079
ACH-000113,-0.3778180957192327
ACH-000116,-0.4330609085973744
ACH-000118,-0.266296752723768
ACH-000120,-0.4298116062472469
ACH-000123,-0.37595111785576535
ACH-000127,-0.33637883442474703
ACH-000128,-0.4224125556234896
ACH-000132,-0.3726087497230519
ACH-000133,-0.4896166249987189
ACH-000137,-0.3294186502913262
ACH-000138,-0.488364663344713
ACH-000142,-0.4142192969538127
ACH-000143,-0.4540001210787313
ACH-000146,-0.3772586039811864
ACH-000148,-0.3315959933763841
ACH-000150,-0.3138913942052107
ACH-000152,-0.3026986271133691
ACH-000153,-0.3165108580772893
ACH-000159,-0.3986371205522483
ACH-000160,-0.3748064544612589
ACH-000163,-0.3706889803983282
ACH-000167,-0.7666499875488373
ACH-000168,-0.1796670854882167
ACH-000169,-0.32492877247566193
ACH-000178,-0.262463807816175
ACH-000183,-0.29538087969767035
ACH-000188,-0.4100200571920186
ACH-000189,-0.2881589237544317
ACH-000190,-0.3503791629988362
ACH-000198,-0.4102098791388388
ACH-000203,-0.3637524964858158
ACH-000204,-0.2931423313442213
ACH-000206,-0.4426577126819096
ACH-000207,-0.4549049326960507
ACH-000208,-0.0909789757850762
ACH-000210,-0.15634632877799018
ACH-000211,-0.35760558366760675
ACH-000215,-0.461497806805363
ACH-000221,-0.3661012927239045
ACH-000222,-0.2156264916924068
ACH-000223,-0.4229080759427343
ACH-000226,-0.3108209753297059
ACH-000227,-0.4538441953839685
ACH-000228,-0.5221134342385343
ACH-000231,-0.3884186301211693
ACH-000232,-0.31774129696302683
ACH-000233,-0.4741562367749028
ACH-000234,-0.4504480214806858
ACH-000235,-0.3911376310547075
ACH-000237,-0.3703862967445388
ACH-000238,-0.4457568827854853
ACH-000242,-0.28579945276950397
