,TUBG1 (7283)
ACH-000004,-1.2295591712688108
ACH-000005,-0.8980943144990002
ACH-000007,-1.01133229611562
ACH-000009,-1.119860923780834
ACH-000011,-0.949841593488348
ACH-000012,-1.0719023963740406
ACH-000013,-1.1583130410802047
ACH-000014,-0.7503303023380988
ACH-000015,-0.9528034568361229
ACH-000017,-0.9938560522229419
ACH-000018,-0.8680320582921643
ACH-000019,-0.949992383204514
ACH-000021,-1.2201214712380901
ACH-000022,-1.1457146360161454
ACH-000025,-0.9848052345894138
ACH-000028,-0.9702238380956554
ACH-000030,-1.0321887978337472
ACH-000035,-1.0073974954018927
ACH-000036,-0.5853034515197103
ACH-000037,-1.0649799505417017
ACH-000039,-0.9620734039023928
ACH-000040,-1.1399687249179686
ACH-000041,-0.8730669727231649
ACH-000042,-1.033082909690187
ACH-000045,-0.8484263178440437
ACH-000047,-0.8516947866159562
ACH-000052,-1.2815937480234023
ACH-000053,-0.8787687573015341
ACH-000054,-0.9970413780681324
ACH-000055,-0.7951153375467434
ACH-000060,-0.9882120965278008
ACH-000067,-1.1255621349579343
ACH-000070,-0.910708460439248
ACH-000075,-0.8646855335296229
ACH-000078,-1.2199604165169864
ACH-000082,-0.7422091710995391
ACH-000085,-0.9769688044831252
ACH-000086,-1.066595599364327
ACH-000087,-0.9259890202859338
ACH-000092,-0.8168794144715347
ACH-000095,-0.7872328761072089
ACH-000097,-0.8998520505999149
ACH-000098,-0.9741176862674509
ACH-000099,-0.9282725062097804
ACH-000108,-1.1505790005368344
ACH-000113,-0.7669589944731918
ACH-000116,-1.0113970132470949
ACH-000118,-0.7934610649746006
ACH-000120,-0.8401324199865281
ACH-000123,-1.041247737321095
ACH-000127,-1.0215234058509737
ACH-000128,-0.9150158839510526
ACH-000132,-1.1505791912406589
ACH-000133,-0.8274955395050514
ACH-000137,-1.0529695367200582
ACH-000138,-0.8761876630334478
ACH-000142,-1.0158627924783046
ACH-000143,-1.051761930883395
ACH-000146,-0.8814333253366896
ACH-000148,-1.1212786801686745
ACH-000150,-1.0391492560290667
ACH-000152,-0.9543101371522807
ACH-000153,-1.1642526264873851
ACH-000159,-0.8716450033321967
ACH-000160,-1.2595261912136309
ACH-000163,-0.9011199307674924
ACH-000167,-1.6582039396677395
ACH-000168,-1.1048198643171707
ACH-000169,-0.914885359305594
ACH-000178,-0.9922684732994732
ACH-000183,-1.0388313595050622
ACH-000188,-0.8580733860989384
ACH-000189,-0.8897262009036518
ACH-000190,-0.9660774872284787
ACH-000198,-0.9360302927934508
ACH-000203,-0.8809323277039417
ACH-000204,-0.6876092350551994
ACH-000206,-0.8190448329780121
ACH-000207,-1.245425727605154
ACH-000208,-0.965710308854596
ACH-000210,-1.0249929595928822
ACH-000211,-1.2868725860708017
ACH-000215,-1.2211132690173363
ACH-000221,-1.199301591079603
ACH-000222,-1.1663156330990512
ACH-000223,-0.8364124353336508
ACH-000226,-0.8447941594386543
ACH-000227,-0.9718906943003354
ACH-000228,-0.9473951801346748
ACH-000231,-1.185385671297453
ACH-000232,-1.0814565714949542
ACH-000233,-0.8620104349581746
ACH-000234,-0.8499595434506864
ACH-000235,-0.980883771709477
ACH-000237,-1.0526425796540406
ACH-000238,-1.0549210417330084
ACH-000242,-0.8589241774422551
ACH-000243,-0.5629075854058814
ACH-000244,-1.0433744751071528
ACH-000246,-1.0262905017630606
ACH-000248,-0.9486894455894324
ACH-000250,-1.0655907019682689
ACH-000251,-0.8418704015363819
ACH-000252,-1.184948608025283
ACH-000253,-0.9391884312394062
ACH-000255,-1.1171253481094334
ACH-000256,-0.9876494393443948
ACH-000257,-1.2234068310048059
ACH-000258,-1.1845834852454946
ACH-000259,-0.9056418295422304
ACH-000260,-0.9316898952159544
ACH-000261,-1.1970195114779856
ACH-000262,-0.8355032040762541
