,INTS5 (80789)
ACH-000004,-1.079756698044957
ACH-000005,-1.0261783406523295
ACH-000007,-0.7859993581876747
ACH-000009,-0.8686081256627541
ACH-000011,-1.2172254508876648
ACH-000012,-0.8798548294052686
ACH-000013,-0.8865389228443354
ACH-000014,-0.6793526393671051
ACH-000015,-0.8358197932554092
ACH-000017,-0.6737284567272089
ACH-000018,-0.653525751658666
ACH-000019,-1.0153750042175766
ACH-000021,-0.9306605197965008
ACH-000022,-0.819451160322823
ACH-000025,-0.6998965821376771
ACH-000028,-0.7413673724534658
ACH-000030,-0.7023730367077479
ACH-000035,-0.8480944823162468
ACH-000036,-0.8423116489069571
ACH-000037,-1.0149651656163825
ACH-000039,-0.9474474085004059
ACH-000040,-0.8644344770513867
ACH-000041,-0.9070088578705452
ACH-000042,-0.7011637549089341
ACH-000045,-0.9420873111221728
ACH-000047,-0.6756830050591263
ACH-000052,-0.7847519933381643
ACH-000053,-0.9600300253242308
ACH-000054,-0.7380490336051228
ACH-000055,-0.7897250191589266
ACH-000060,-1.0051685447328431
ACH-000067,-0.6311355652790287
ACH-000070,-0.4780890534062194
ACH-000075,-0.8503599372906911
ACH-000078,-0.9862237522245088
ACH-000082,-0.9210957506826992
ACH-000085,-1.1378736234832587
ACH-000086,-1.1149939960237158
ACH-000087,-0.9572615738840252
ACH-000092,-0.8783821375752826
ACH-000095,-0.9456478411152668
ACH-000097,-1.2070881997121852
ACH-000098,-0.6227188437518638
ACH-000099,-0.9618096955738892
ACH-000108,-0.560638992077795
ACH-000113,-0.8664010084591288
ACH-000116,-1.0547014467991205
ACH-000118,-0.9737429084853594
ACH-000120,-0.930124395380862
ACH-000123,-0.9163684208246018
ACH-000127,-0.6646943297651857
ACH-000128,-0.6337703332239556
ACH-000132,-0.7354924170829665
ACH-000133,-0.9481204750760828
ACH-000137,-1.0339924384754908
ACH-000138,-0.691240273150723
ACH-000142,-0.9285213114072782
ACH-000143,-0.7915823580410788
ACH-000146,-1.0167780895385468
ACH-000148,-0.9492753385519912
ACH-000150,-0.8621837950646819
