,CASQ1 (844)
ACH-000234,0.05113762990833578
ACH-000235,0.0039348474312101795
ACH-000237,-0.14431388969993592
ACH-000238,-0.06747152862714532
ACH-000242,0.4483431551825785
ACH-000243,-0.054716363543495766
ACH-000244,-0.0128260378543868
ACH-000246,-0.05285325578860038
ACH-000248,-0.08067827899120976
ACH-000250,-0.055901926616880884
ACH-000251,-0.0590584321775009
ACH-000252,0.04708456816349177
ACH-000253,-0.12205280603098086
ACH-000255,0.030995376838507473
ACH-000256,-0.010835738289098227
ACH-000257,0.2661552958099301
ACH-000258,-0.04683684677993945
ACH-000259,-0.0832062181814933
ACH-000260,-0.09005283893942724
ACH-000261,0.011355972463635728
ACH-000262,-0.061937456144943226
ACH-000263,0.04916544906073772
ACH-000264,-0.08084527011876562
ACH-000265,0.029438890195237637
ACH-000266,-0.019344879106754077
ACH-000272,-0.03240990264897624
ACH-000274,0.008779196645276592
ACH-000277,-0.05061925553158295
ACH-000278,-0.07738979835066027
ACH-000279,-0.0616795779303292
ACH-000280,-0.07570538372347764
ACH-000281,0.06796445667834693
ACH-000288,0.004048566008376492
ACH-000291,0.03741527150737915
ACH-000293,0.04074059512501823
ACH-000294,-0.09226041181888917
ACH-000295,-0.1824592865277797
ACH-000296,-0.13151962116439098
ACH-000302,-0.00615682951464283
ACH-000304,0.0020148723421212684
ACH-000307,0.07444459912054767
ACH-000308,-0.03681397283272661
ACH-000310,-0.02810958590953818
ACH-000311,-0.12185150014983365
ACH-000312,-0.054119562033492837
ACH-000315,0.03500821968109825
ACH-000316,-0.15243157031617555
ACH-000317,-0.09943171393850407
ACH-000318,-0.04334516234977257
ACH-000319,0.030529234184745162
ACH-000320,-0.026994205515078102
ACH-000322,-0.05295392405644296
ACH-000323,-0.07799070681663904
ACH-000324,-0.052693981060083474
ACH-000329,-0.109864215357442
ACH-000330,0.053739381271789545
ACH-000331,-0.04888947951695991
ACH-000332,-0.05134446501247087
ACH-000334,-0.1532463774531264
ACH-000335,0.034518764151121824
ACH-000336,-0.08598703538465334
ACH-000337,-0.08166672446166734
ACH-000338,-0.4582165778047748
ACH-000339,0.0396657925463407
ACH-000341,0.052517847123899696
ACH-000348,0.019769667818030485
ACH-000350,-0.02084408438426027
ACH-000352,-0.09029624502273026
ACH-000356,-0.020659143710659158
ACH-000361,2.255957025204861e-05
ACH-000362,-0.06189072342012481
ACH-000363,0.055280650083955135
ACH-000364,-0.1565653075356212
ACH-000365,-0.02624884388379315
ACH-000366,-0.0034191499902655625
ACH-000368,-0.02586882404060824
ACH-000374,0.027396498154107867
ACH-000375,-0.05755961242588679
ACH-000376,-0.057360892489304725
ACH-000381,-0.10323069795571238
ACH-000383,-0.07053528592612195
ACH-000387,-0.05640190369615804
ACH-000389,0.047938075178633084
ACH-000390,-0.015838209000271712
ACH-000393,-0.046363946106174336
ACH-000395,-0.02613255499754124
ACH-000396,0.030472103950279408
ACH-000397,-0.0017532409888285046
ACH-000401,-0.0016516870343894873
ACH-000402,0.04759672209482885
ACH-000403,-0.10095654294112152
ACH-000404,-0.04128749422756106
ACH-000406,-0.02396673995882345
ACH-000407,0.09076924762919954
ACH-000408,-0.07889833531898661
ACH-000410,-0.0353185561432733
ACH-000411,-0.15241758004927328
ACH-000414,0.15684484258018835
ACH-000415,-0.0013518368664060822
ACH-000416,-0.1690691602386419
ACH-000420,-0.039388539924598114
ACH-000421,-0.008273905239182183
ACH-000424,-0.006034128589363589
ACH-000425,-0.13195313894102131
ACH-000426,-0.05400261804141452
ACH-000427,-0.0798693636160088
ACH-000433,0.029347280691145373
ACH-000435,-0.275692462007236
ACH-000436,-0.06246461869946296
ACH-000444,0.024324992779904728
ACH-000445,-0.040260665895915225
ACH-000448,-0.034063832885931
ACH-000450,-0.2340915601856252
ACH-000452,-0.0616469663999916
ACH-000454,-0.13566449573636186
ACH-000458,0.0041490487457618175
ACH-000459,-0.05116154703949921
ACH-000460,-0.0010204105053932381
ACH-000461,-0.09243781245360227
ACH-000463,-0.18932223034533707
ACH-000464,-0.1793951410165274
ACH-000466,-0.010536342957578696
ACH-000467,-0.11659992591233385
ACH-000468,-0.029207036475005957
ACH-000469,0.009851869777829349
ACH-000470,-0.17480851442211798
ACH-000471,0.026040026616262504
ACH-000472,-0.03912178798515019
ACH-000473,-0.038380850915355084
ACH-000475,-0.034678715638012565
ACH-000476,0.054136958440160886
ACH-000477,0.0013837220768278715
ACH-000479,-0.16813617169463416
ACH-000480,-0.06442525474688328
ACH-000481,-0.051420960243140114
ACH-000483,-0.0062391290749493344
ACH-000484,-0.1468629902721528
ACH-000485,-0.05496768484516575
ACH-000486,-0.01902390670087717
ACH-000487,0.11716598107694473
ACH-000488,-0.009058390396158442
ACH-000490,-0.09989924875629473
ACH-000491,0.011991942165579837
ACH-000495,-0.1881855031129903
ACH-000496,0.052197070580736964
ACH-000499,-0.02826946318699324
ACH-000500,0.1389908278485028
ACH-000502,-0.029691218591119405
ACH-000503,0.03781476551696384
ACH-000505,-0.11321760078444132
ACH-000507,-0.017566063931459357
ACH-000510,-0.09884856265989897
ACH-000511,-0.023233291845851864
ACH-000512,-0.09384038318928403
ACH-000516,-0.026536708934976925
ACH-000517,0.004347610210341938
ACH-000518,0.0587526816278535
ACH-000520,0.052751849522146295
ACH-000521,-0.20786834861340955
ACH-000522,0.02430025237268849
ACH-000524,0.045611682586328035
