,STT3B (201595)
ACH-000004,-0.2380386131009243
ACH-000005,-0.5838205569858459
ACH-000007,-0.3948916593542435
ACH-000009,-0.19431353501694185
ACH-000011,-0.7900263606557145
ACH-000012,-0.24135936851488396
ACH-000013,-0.20754363678630766
ACH-000014,-0.5935794196689782
ACH-000015,-0.4844644642472074
ACH-000017,-0.4442408753506697
ACH-000018,-0.5398952752490037
ACH-000019,-0.14193303089306394
ACH-000021,-0.12326114666749692
ACH-000022,-0.36010970118873464
ACH-000025,-0.43367669692720623
ACH-000028,-0.22299987754502976
ACH-000030,-0.3604152575861978
ACH-000035,-0.14768867949345374
ACH-000036,-0.3164198743393033
ACH-000037,-0.21685207872025475
ACH-000039,-0.3520828020250505
ACH-000040,-0.4273248182126676
ACH-000041,-0.13283604763288362
ACH-000042,-0.4742845229338617
ACH-000045,-0.25998430778453196
ACH-000047,-0.5496018070146508
ACH-000052,-0.29225737638278176
ACH-000053,-0.54587782513219
ACH-000054,-0.2395121570892937
ACH-000055,-0.1751457492245408
ACH-000060,-0.3641876691023828
ACH-000067,-0.22740434361268885
ACH-000070,-0.06353734604472898
ACH-000075,-0.5419053143945269
ACH-000078,-0.2253876202056357
ACH-000082,-0.165867456717197
ACH-000085,-0.11542501615787745
ACH-000086,-0.4233128023597577
ACH-000087,-0.24380673034334835
ACH-000092,-0.31667623806592915
ACH-000095,-0.21134795962969
ACH-000097,-0.2813204780083529
ACH-000098,-0.5698828979255244
ACH-000099,-0.4055639172395164
ACH-000108,-0.5574473117211189
ACH-000113,-0.4025043395542187
ACH-000116,-0.27239127334642205
ACH-000118,-0.2812824285226135
ACH-000120,-0.007717390731485725
ACH-000123,-0.3305786670206668
ACH-000127,-0.4128526191255388
ACH-000128,-0.4792677860083372
ACH-000132,-0.4729368049021648
ACH-000133,-0.30441133048669083
ACH-000137,-0.4260748978364601
ACH-000138,-0.24227624500836498
ACH-000142,-0.24489646292266554
ACH-000143,-0.4215816800301449
ACH-000146,-0.397506321466048
ACH-000148,-0.3072340640642421
ACH-000150,-0.4093304287088329
ACH-000152,-0.3699465971432376
ACH-000153,-0.29177747866008313
ACH-000159,-0.3618076001103137
ACH-000160,-0.2608976861143946
ACH-000163,-0.08809937232254278
ACH-000167,-0.6998686061762602
ACH-000168,-0.3488475954672534
ACH-000169,-0.2494326876591264
ACH-000178,-0.3720948878122502
ACH-000183,-0.9969183933065326
ACH-000188,-0.1914762013790798
ACH-000189,-0.5410058735810706
ACH-000190,-0.0879740130582247
ACH-000198,-0.05352934385791242
ACH-000203,-0.12794991526073746
ACH-000204,-0.1459425827106078
ACH-000206,-0.3833177302236745
ACH-000207,-0.3607449056745304
ACH-000208,-0.3560904064988974
ACH-000210,-0.3914273710094677
ACH-000211,-0.3922620364732905
ACH-000215,-0.2280521076676382
ACH-000221,-0.2628631973817188
ACH-000222,-0.29966557635291785
ACH-000223,-0.22078992197282213
ACH-000226,-0.6831580843979669
ACH-000227,-0.3271172337873897
ACH-000228,-0.3209690475658948
ACH-000231,-0.31030680406506994
ACH-000232,-0.41604193904372794
ACH-000233,-0.3362595994738256
ACH-000234,-0.4073962602968787
ACH-000235,-0.4487433922564155
ACH-000237,-0.3118303450397918
ACH-000238,-0.4018351859111692
ACH-000242,-0.05402733287040575
ACH-000243,-0.2904404275847225
ACH-000244,-0.3382727968456744
ACH-000246,-0.5109895484582576
ACH-000248,-0.3372324898460322
ACH-000250,-0.5280717695665994
ACH-000251,-0.3815169081333612
ACH-000252,-0.34959132539088633
ACH-000253,-0.3908940537681256
ACH-000255,-0.1020399796456287
ACH-000256,-0.19696824407707103
ACH-000257,-0.2913942943126613
ACH-000258,-0.7214790897325479
ACH-000259,-0.5482297855090514
ACH-000260,-0.2513954235669358
ACH-000261,-0.3582686987570678
ACH-000262,-0.4987720000995989
ACH-000263,-0.3723366496191557
ACH-000264,-0.3048500559479481
ACH-000265,-0.21765810520284468
ACH-000266,-0.3851842233628891
ACH-000272,-0.6998992744747224
ACH-000274,-0.4773822540060492
ACH-000277,-0.4388131915449348
ACH-000278,-0.20711833268813604
ACH-000279,-0.3006068394678529
ACH-000280,-0.32329196607410066
ACH-000281,-0.22357392801789605
ACH-000288,-0.25139046357152584
ACH-000291,-0.2687155790288015
ACH-000293,-0.29298673376015005
ACH-000294,0.11304177008998426
ACH-000295,-0.3004417961485852
ACH-000296,-0.1107489938879542
ACH-000302,-0.3716818501743028
ACH-000304,-0.5120618475617166
ACH-000307,-0.3914113128211919
ACH-000308,-0.24227515596040136
ACH-000310,-0.2740746811693261
ACH-000311,-0.3185920311173534
ACH-000312,-0.277026343106885
ACH-000315,-0.6551661776565291
ACH-000316,-0.5070025249533737
ACH-000317,-0.5208467330039585
ACH-000318,-0.3699135533105288
ACH-000319,-0.3052238170890472
ACH-000320,-0.16475544335112852
ACH-000322,-0.16204516019864565
ACH-000323,-0.31271134511303805
ACH-000324,-0.4112137156072112
ACH-000329,-0.0846264564100403
ACH-000330,-0.3183842708142229
ACH-000331,-0.42910090917838595
ACH-000332,-0.5604611826131186
ACH-000334,-0.6002055509468995
ACH-000335,-0.2325353624704916
ACH-000336,-0.28223999878414435
