,MTHFD1L (25902)
ACH-000004,-0.30779424979913694
ACH-000005,-0.11537098303384638
ACH-000007,-0.2167495692286336
ACH-000009,-0.1843818171362253
ACH-000011,-0.15091191346979754
ACH-000012,-0.0419473958431179
ACH-000013,-0.06877626186572333
ACH-000014,0.025888934314707818
ACH-000015,0.05850685692651001
ACH-000017,-0.04849587819128295
ACH-000018,-0.1230202970305306
ACH-000019,0.01563516128535191
ACH-000021,-0.13521195825775825
ACH-000022,-0.015496993132311806
ACH-000025,-0.029776405312003863
ACH-000028,-0.07091505994425737
ACH-000030,-0.16582880469670147
ACH-000035,-0.025337579400221404
ACH-000036,-0.15082806525243933
ACH-000037,-0.12916174941375294
ACH-000039,-0.1014190986887615
ACH-000040,-0.2423988577363064
ACH-000041,-0.0816427734623037
ACH-000042,-0.10613911066988184
ACH-000045,0.036651135432050216
ACH-000047,-0.18255464844156025
ACH-000052,0.034657009085509234
ACH-000053,-0.13832028315683634
ACH-000054,-0.12937647986883755
ACH-000055,-0.10446849729477944
ACH-000060,-0.15766088521223867
ACH-000067,-0.2603317789529151
ACH-000070,-0.2804043260097751
ACH-000075,-0.21938741429628653
ACH-000078,-0.03964530353793677
ACH-000082,-0.0834595050300385
ACH-000085,-0.06473674793876683
ACH-000086,-0.04871837863525255
ACH-000087,-0.23001070528213602
ACH-000092,-0.14626421166525916
ACH-000095,-0.10659709833416832
ACH-000097,-0.09695994974689666
ACH-000098,-0.15047491718401293
ACH-000099,-0.12721891435301427
ACH-000108,0.1037230035467453
ACH-000113,-0.011972276201993898
ACH-000116,-0.01611738620345507
ACH-000118,-0.11106911669012598
ACH-000120,0.22584766928208144
ACH-000123,-0.2454330918680633
ACH-000127,-0.011817633571290809
ACH-000128,-0.20171698741653066
ACH-000132,-0.1975181643931702
ACH-000133,-0.11785220929144873
ACH-000137,-0.09427779156515337
ACH-000138,-0.1032904482585902
ACH-000142,0.0009267140884643408
ACH-000143,-0.0173606012427481
ACH-000146,-0.11776745384502213
ACH-000148,-0.10707106973921524
ACH-000150,-0.08648384320911151
ACH-000152,0.02337348362099511
ACH-000153,0.012358638965482177
ACH-000159,-0.34839397027184305
ACH-000160,-0.19725105487413547
ACH-000163,-0.1511416824074372
ACH-000167,-0.0260252252809194
ACH-000168,-0.17993142216492505
ACH-000169,-0.048374594698627565
ACH-000178,0.02558880830544563
ACH-000183,-0.0340560939490505
ACH-000188,-0.10181532545591226
ACH-000189,0.08794641048362417
ACH-000190,-0.19795951161471084
ACH-000198,-0.22729103005315654
ACH-000203,-0.024378181442085436
ACH-000204,0.0389758740197272
ACH-000206,-0.2294492941971245
ACH-000207,-0.1986524495336237
ACH-000208,-0.014200273939239337
ACH-000210,0.0831391854846893
ACH-000211,-0.19060768754838175
ACH-000215,-0.08591803584764582
ACH-000221,-0.041105416053763416
ACH-000222,-0.09461105804232367
ACH-000223,-0.16616311763041847
ACH-000226,-0.20248874458609176
ACH-000227,-0.2396784664596022
ACH-000228,-0.09124901555262874
ACH-000231,-0.11629121936941825
ACH-000232,-0.14168113429513485
ACH-000233,-0.0748626925065429
ACH-000234,-0.01587521376858216
ACH-000235,-0.15202214037505904
ACH-000237,-0.08187161451789607
ACH-000238,-0.10786057698269208
ACH-000242,-0.21221035741773325
ACH-000243,-0.11462477455386899
ACH-000244,0.033188272080322816
ACH-000246,0.03166038162141726
ACH-000248,0.048858564473372654
ACH-000250,-0.07275060935801048
ACH-000251,-0.21719142517669246
ACH-000252,-0.014105093005877244
ACH-000253,-0.2216223118650545
ACH-000255,-0.09196767987008013
ACH-000256,-0.10485979569187577
ACH-000257,-0.11860851500054992
ACH-000258,-0.11560970181745235
ACH-000259,-0.0034623633984747822
ACH-000260,-0.11281337650890418
ACH-000261,-0.20766461593776514
ACH-000262,0.014760589935014862
ACH-000263,-0.05089461161837692
ACH-000264,-0.04885670097938133
ACH-000265,0.05987123206273885
ACH-000266,-0.1041951821923175
