,RAP1B (5908)
ACH-000004,0.10848886288719313
ACH-000005,0.24879752526668694
ACH-000007,0.03534699010744344
ACH-000009,-0.15540755295219155
ACH-000011,-0.26567221927139617
ACH-000012,-0.10559878457008368
ACH-000013,0.04027781858076284
ACH-000014,-0.003670175253610713
ACH-000015,-0.09547977396224668
ACH-000017,-0.011915669347523005
ACH-000018,-0.055403076315632384
ACH-000019,-0.08966585913728893
ACH-000021,-0.1271823327273574
ACH-000022,0.07070827621171394
ACH-000025,-0.055725504301371104
ACH-000028,0.048923306056857525
ACH-000030,-0.09295515232680156
ACH-000035,-0.14654115380010202
ACH-000036,-0.041429630853817984
ACH-000037,0.016006790253132085
ACH-000039,0.13472793782828787
ACH-000040,0.014925519400980528
ACH-000041,-0.0011418609540304664
ACH-000042,0.09591551233032876
ACH-000045,0.07795896505460499
ACH-000047,0.09542256889138327
ACH-000052,-0.048842911426006455
ACH-000053,0.027898586927996485
ACH-000054,-0.1201455339449848
ACH-000055,0.06488127039530693
ACH-000060,-0.14901477263300766
ACH-000067,-0.04978622087503362
ACH-000070,0.13640251652988078
ACH-000075,-0.01213173371397271
ACH-000078,0.04902285012661508
ACH-000082,-0.04882360262354071
ACH-000085,-0.10085849661425407
ACH-000086,-0.020269761715941453
ACH-000087,-0.13561047903446108
ACH-000092,-0.08110340878883178
ACH-000095,0.0745073306699349
ACH-000097,-0.038931628489122704
ACH-000098,0.18217469920784826
ACH-000099,0.1286401296568441
ACH-000108,-0.002464723246796261
ACH-000113,-0.021866403674229973
ACH-000116,-0.008627814136760241
ACH-000118,0.033040981702362915
ACH-000120,-0.1373998415438101
ACH-000123,-0.39661290971430496
ACH-000127,-0.022775628911559195
ACH-000128,0.0694079646868583
ACH-000132,-0.04864506443113787
ACH-000133,-0.05245973987316188
ACH-000137,-0.07099517259779707
ACH-000138,-0.0762715161827698
ACH-000142,-0.12729930419324234
ACH-000143,0.0003600257699103731
ACH-000146,0.12101267683473638
ACH-000148,-0.04272506151034521
ACH-000150,-0.2530433855118617
ACH-000152,-0.0966574492824592
ACH-000153,0.11205978755603517
ACH-000159,-0.08708079980432107
ACH-000160,0.0058380868539529025
ACH-000163,0.06633426291733907
ACH-000167,-0.056315451454416826
ACH-000168,0.03520598783103542
ACH-000169,0.0190826631936332
ACH-000178,0.028292605158291063
ACH-000183,-0.012360763150254424
ACH-000188,-0.04906467848808127
