,RACGAP1 (29127)
ACH-000004,-0.9780179217181179
ACH-000005,-0.9422288923588716
ACH-000007,-1.080205467644969
ACH-000009,-1.0517290819494616
ACH-000011,-1.195427716206285
ACH-000012,-1.2594005329247129
ACH-000013,-1.2843271718733913
ACH-000014,-1.053045301409017
ACH-000015,-1.1550988705980687
ACH-000017,-1.0331785756060898
ACH-000018,-1.0666273186036463
ACH-000019,-0.9006916779048207
ACH-000021,-0.925814809438207
ACH-000022,-1.0444442068048043
ACH-000025,-1.0880493716332156
ACH-000028,-1.044955796377772
ACH-000030,-1.1550815555095593
ACH-000035,-1.1691633800310974
ACH-000036,-1.0397935689207192
ACH-000037,-1.2896710548057215
ACH-000039,-1.155990163122982
ACH-000040,-0.881610774516473
ACH-000041,-0.980582327750776
ACH-000042,-1.1009486432250444
ACH-000045,-0.9183922937971996
ACH-000047,-1.0609075267312904
ACH-000052,-1.1781118653769849
ACH-000053,-1.0205462738826163
ACH-000054,-1.0952190534423174
ACH-000055,-1.3157466789439591
ACH-000060,-1.0170482338895408
ACH-000067,-1.2002271117479322
ACH-000070,-0.8759231713132684
ACH-000075,-1.1821068993913284
ACH-000078,-1.1381310024127689
ACH-000082,-1.0752613984504806
ACH-000085,-1.3074068244413353
ACH-000086,-1.037955863906004
ACH-000087,-1.1260293370163132
ACH-000092,-1.0470005050703066
ACH-000095,-0.9908629220495216
ACH-000097,-1.0995766661146018
ACH-000098,-0.9857590793698192
ACH-000099,-0.8456635532746677
ACH-000108,-1.0843999138767653
ACH-000113,-0.8092266379285286
ACH-000116,-1.190775909091073
ACH-000118,-1.2130564246990252
ACH-000120,-1.110685365509668
ACH-000123,-1.0135416856048958
ACH-000127,-0.8960698771434756
ACH-000128,-1.0704777051271837
ACH-000132,-1.2317327672352172
ACH-000133,-1.073948880578375
ACH-000137,-1.1806007688181814
ACH-000138,-0.8963505422111187
ACH-000142,-0.9455130444964214
ACH-000143,-1.0887142777194678
ACH-000146,-1.33684505919715
ACH-000148,-1.2144934112112309
ACH-000150,-1.2683873449799674
ACH-000152,-1.0013000091965063
ACH-000153,-0.9290739390364072
ACH-000159,-0.8897790672182976
ACH-000160,-1.2558989848536821
ACH-000163,-1.1662109742769255
ACH-000167,-1.53218145104359
ACH-000168,-1.0705302724622618
ACH-000169,-1.0863984204786696
ACH-000178,-1.1286937351216224
ACH-000183,-1.1330330910473752
ACH-000188,-0.9799227742121144
ACH-000189,-0.9753160147279699
ACH-000190,-1.1268915069530387
ACH-000198,-0.88739220651622
ACH-000203,-1.1280103327651518
ACH-000204,-1.3336385402461255
ACH-000206,-1.0805869726013644
ACH-000207,-1.1642087427063534
ACH-000208,-1.198923852646729
ACH-000210,-1.2207762165836915
ACH-000211,-0.9472662621982336
ACH-000215,-0.8983075092437716
ACH-000221,-1.3588480264251424
ACH-000222,-1.0308421736124818
ACH-000223,-1.0516251681703657
ACH-000226,-1.0917214067671053
ACH-000227,-1.3279394275201788
ACH-000228,-1.2069899100478945
ACH-000231,-1.0823810993441658
ACH-000232,-1.2242720379971277
ACH-000233,-0.9790095531789604
ACH-000234,-0.9766247566730132
ACH-000235,-0.9523618297677552
ACH-000237,-1.1253842740240223
ACH-000238,-1.1947525362709288
ACH-000242,-0.8708669143970391
ACH-000243,-1.1550172494062143
ACH-000244,-1.1028208003873723
ACH-000246,-0.9214601647781266
ACH-000248,-1.073401993143613
ACH-000250,-0.8064980374668073
ACH-000251,-0.9359525480943404
ACH-000252,-1.1758709216884982
ACH-000253,-1.0670116762924382
ACH-000255,-1.113473078806238
ACH-000256,-1.0504894744924922
ACH-000257,-1.0530811098558372
ACH-000258,-1.1694102792487922
ACH-000259,-1.1604426270913843
ACH-000260,-1.145256377924437
ACH-000261,-1.0587479008608416
ACH-000262,-1.041385879773035
ACH-000263,-1.2464975943232268
ACH-000264,-1.026142303377778
ACH-000265,-1.133805177316426
ACH-000266,-1.1952923004515157
ACH-000272,-0.7967039771995957
ACH-000274,-1.0488865888674106
ACH-000277,-1.0069181424231208
ACH-000278,-1.0171781667122597
ACH-000279,-1.2861706079128772
ACH-000280,-1.1712465788466349
ACH-000281,-1.1690413417666474
ACH-000288,-1.2574728562227306
ACH-000291,-1.1785323817413749
ACH-000293,-1.1046175380916403
ACH-000294,-0.948988443497936
ACH-000295,-1.0236779221247634
ACH-000296,-1.1493624222581846
ACH-000302,-1.0873249263796974
ACH-000304,-1.420506733440595
ACH-000307,-1.166238848581383
ACH-000308,-1.0979923334011366
ACH-000310,-1.2049354906930725
ACH-000311,-1.1087008903982372
ACH-000312,-1.1213361653347786
ACH-000315,-0.9778366984502505
ACH-000316,-1.2070569803681352
ACH-000317,-0.9746170045905708
ACH-000318,-1.1406785843048988
ACH-000319,-1.224168757430704
ACH-000320,-1.0454367021318998
ACH-000322,-0.9543970994074136
ACH-000323,-1.0520733901653945
ACH-000324,-0.9005899244085852
ACH-000329,-1.078033939060673
ACH-000330,-1.0761577909128524
ACH-000331,-1.110892421673771
ACH-000332,-1.1552388222079584
ACH-000334,-0.8340458951661782
ACH-000335,-0.7598197660651124
ACH-000336,-1.0133410312986215
ACH-000337,-1.1607316653175301
ACH-000338,-1.3403185384207337
ACH-000339,-1.0660157072599743
ACH-000341,-1.0485646410683478
ACH-000348,-0.9247844285159821
ACH-000350,-1.1379533972501734
ACH-000352,-1.1120974977070694
ACH-000356,-1.1653810960860285
ACH-000361,-0.960081514403858
ACH-000362,-0.9369647070091612
ACH-000363,-0.9280388444987734
ACH-000364,-1.1289321553331115
ACH-000365,-0.9418709327652554
ACH-000366,-1.1069701240354894
ACH-000368,-1.1740552833778972
ACH-000374,-1.239760181871832
ACH-000375,-1.2187376318955951
