,ATHL1 (80162)
ACH-000004,-0.14263467222151527
ACH-000005,-0.07821201758351158
ACH-000007,-0.0038051634766307157
ACH-000009,-0.1042209759263805
ACH-000011,-0.11651453076199265
ACH-000012,-0.09954705782155507
ACH-000013,-0.05020152305061437
ACH-000014,-0.17752135194449736
ACH-000015,-0.059523443124166214
ACH-000017,-0.11987155844114515
ACH-000018,-0.08758895573203111
ACH-000019,-0.22876774343420525
ACH-000021,-0.03349704860795467
ACH-000022,-0.17375320511557632
ACH-000025,-0.08778591813550414
ACH-000028,-0.1989901367001229
ACH-000030,-0.08285362191236323
ACH-000035,-0.09640075404803468
ACH-000036,-0.1713084624899911
ACH-000037,-0.14516594853598475
ACH-000039,-0.16548960762037607
ACH-000040,-0.20147147256100245
ACH-000041,-0.15233331324401253
ACH-000042,-0.09867125878777222
ACH-000045,-0.09265067826158184
ACH-000047,-0.09836767761567997
ACH-000052,0.0044104431122513705
ACH-000053,-0.1556108640270863
ACH-000054,-0.1543683659394005
ACH-000055,-0.17114155116694502
ACH-000060,-0.09677893862399524
ACH-000067,-0.015960084818318426
ACH-000070,-0.128799195173074
ACH-000075,-0.04668824704704823
ACH-000078,-0.27181295824158835
ACH-000082,-0.1415581127676325
ACH-000085,-0.1233933529770495
ACH-000086,-0.07281354423267432
ACH-000087,-0.3397478960968084
ACH-000092,-0.07508204779361619
ACH-000095,-0.1005061618716766
ACH-000097,-0.06937090031495831
ACH-000098,-0.05992852458119573
ACH-000099,-0.19711347117846886
ACH-000108,-0.17834190686303075
ACH-000113,-0.15903915926199186
ACH-000116,-0.1611013854794607
ACH-000118,-0.16773597420317096
ACH-000120,-0.06535103822161982
ACH-000123,-0.1585219256187305
ACH-000127,-0.17417186112092686
ACH-000128,-0.14241831216149228
ACH-000132,-0.2201618143062535
ACH-000133,-0.11159085879031656
ACH-000137,-0.15626234201008266
ACH-000138,-0.19028254617498355
ACH-000142,-0.161676411875956
ACH-000143,-0.13671784938986709
ACH-000146,-0.2024707081300126
ACH-000148,-0.2591826573453553
ACH-000150,-0.16050325129942994
ACH-000152,-0.09886787466973487
ACH-000153,-0.1051844274286472
ACH-000159,-0.1116621853311234
ACH-000160,-0.1815431497692735
ACH-000163,-0.07373677249852027
ACH-000167,-0.2404373448583573
ACH-000168,-0.1457860952207065
ACH-000169,-0.07508656504101976
ACH-000178,-0.12302897225411676
ACH-000183,-0.030047069800096488
ACH-000188,-0.09057813831802504
ACH-000189,-0.24527705278702144
