,FDPS (2224)
ACH-000004,-0.7502875493907529
ACH-000005,-0.6984439926720456
ACH-000007,-0.5392594883643912
ACH-000009,-1.0748601881051854
ACH-000011,-0.6987704141370862
ACH-000012,-0.4950979343444593
ACH-000013,-0.559864597047028
ACH-000014,-0.5177564044456621
ACH-000015,-0.8086589736832025
ACH-000017,-0.5350795787823882
ACH-000018,-0.7583063564662074
ACH-000019,-0.7907250475102261
ACH-000021,-0.8291782282728081
ACH-000022,-1.1475267873670114
ACH-000025,-0.802972976441794
ACH-000028,-0.7587998845984437
ACH-000030,-0.2915043750546223
ACH-000035,-0.472941779143054
ACH-000036,-0.5504951320262756
ACH-000037,-0.582676549332545
ACH-000039,-0.5735134796839697
ACH-000040,-0.7349490948136613
ACH-000041,-0.3191443285315941
ACH-000042,-0.29569370256806504
ACH-000045,-0.7582332875694241
ACH-000047,-0.5863155866229011
ACH-000052,-0.3617310680572177
ACH-000053,-0.5691446471656176
ACH-000054,-0.3723692055763591
ACH-000055,-0.6390963793715314
ACH-000060,-0.4515943542392787
ACH-000067,-0.5618191863442555
ACH-000070,-1.0767454678647657
ACH-000075,-0.4910725468158493
ACH-000078,-0.5797390240008402
ACH-000082,-0.5124277091952366
ACH-000085,-0.43123648649346014
ACH-000086,-0.6691840933058503
ACH-000087,-0.6277044481028183
ACH-000092,-0.4991829312201056
ACH-000095,-0.4307077258524991
ACH-000097,-0.7225039040769693
ACH-000098,-0.5201797521166303
ACH-000099,-0.7386712211190385
ACH-000108,-0.46724084892648204
ACH-000113,-0.3892509752199286
ACH-000116,-0.4663595327006566
ACH-000118,-0.2190158048973197
ACH-000120,-0.4269113843405896
ACH-000123,-0.6367704849934189
ACH-000127,-0.6556036435657099
ACH-000128,-0.5464347612342082
ACH-000132,-0.5908368115003853
ACH-000133,-0.4418323132901448
ACH-000137,-0.475075693468861
ACH-000138,-0.8436254102023212
ACH-000142,-0.9242035373498296
ACH-000143,-0.4071840954314511
ACH-000146,-0.2838430763225234
ACH-000148,-0.4688232086311953
ACH-000150,-0.3808540504625857
ACH-000152,-0.4489816973320855
ACH-000153,-0.7881788249517712
ACH-000159,-0.5901874981744173
ACH-000160,-0.3650439715407181
ACH-000163,-0.5678585568098836
ACH-000167,-1.0373356182668294
ACH-000168,-0.8146249170478448
ACH-000169,-0.6924068234039564
ACH-000178,-0.2348617745923317
ACH-000183,-0.3132880965638388
ACH-000188,-0.429612639179729
ACH-000189,-0.8385070415570964
ACH-000190,-0.6169149963929702
ACH-000198,-0.7818033235751854
ACH-000203,-0.575703583476215
ACH-000204,-0.5412245871146049
ACH-000206,-0.5703580991802644
ACH-000207,-0.7187232472495859
ACH-000208,-0.6646297123342663
ACH-000210,-0.7202875993647759
ACH-000211,-0.4682576907166238
ACH-000215,-0.4631121517516136
ACH-000221,-0.6604544951380091
ACH-000222,-0.4846615002141319
ACH-000223,-0.4848317244488592
ACH-000226,-0.4717779480187053
ACH-000227,-0.5397002880229818
ACH-000228,-0.7126040544927235
ACH-000231,-0.5109199262970145
ACH-000232,-0.563001407012289
ACH-000233,-0.3288746179807972
ACH-000234,-0.642133471812799
ACH-000235,-0.6435653009519672
ACH-000237,-0.5803483074757805
ACH-000238,-0.4098761372095617
ACH-000242,-0.4596880210215315
ACH-000243,-0.6973412362664054
ACH-000244,-0.6799941405731271
ACH-000246,-0.4589462879285429
ACH-000248,-0.6710031278030981
ACH-000250,-0.7759730498735554
ACH-000251,-0.4530636709729354
ACH-000252,-0.6173813433115618
ACH-000253,-0.6125355151225886
ACH-000255,-0.8610645982870354
ACH-000256,-0.4311281601568439
ACH-000257,-1.1088791905998845
ACH-000258,-0.9931698944313624
ACH-000259,-0.975798454404264
ACH-000260,-0.4351997183475848
ACH-000261,-0.4540739205090853
ACH-000262,-0.5179091278006077
ACH-000263,-0.6729022686848048
ACH-000264,-0.4867491513693998
ACH-000265,-0.4462435194087251
ACH-000266,-0.4186570987400877
ACH-000272,-1.162524398724586
ACH-000274,-0.33159994426029904
ACH-000277,-0.5111455008887826
ACH-000278,-0.5467024470589336
ACH-000279,-1.26127173479909
ACH-000280,-0.2118730486901992
ACH-000281,-0.5671240108238952
ACH-000288,-0.6311202711963562
ACH-000291,-0.4329044326978736
ACH-000293,-0.6604602016092377
ACH-000294,-0.9800151803298592
ACH-000295,-0.8621636586601753
ACH-000296,-0.8402756127912807
ACH-000302,-0.3324727073501744
ACH-000304,-0.6359586650558603
ACH-000307,-0.4978337510153263
ACH-000308,-0.4549751940984838
ACH-000310,-0.6844819788913115
ACH-000311,-0.4019214466412371
ACH-000312,-0.7564479207196402
ACH-000315,-0.7188296737420594
ACH-000316,-0.5988692099363058
ACH-000317,-0.6123881347545709
ACH-000318,-0.7403094493194385
ACH-000319,-0.7366756032904017
ACH-000320,-0.5915124988136831
ACH-000322,-0.3201328726044221
ACH-000323,-0.5917821163628537
ACH-000324,-0.6437218812845661
ACH-000329,-0.4614186833211167
ACH-000330,-0.7538472562225207
ACH-000331,-0.4257009892991154
ACH-000332,-0.4534324691213582
ACH-000334,-0.8479574812016728
ACH-000335,-0.4512016984204608
ACH-000336,-0.6051020712141838
ACH-000337,-1.0796153846176924
ACH-000338,-0.4663867692420805
ACH-000339,-0.4844298551923865
ACH-000341,-0.7134091839062511
ACH-000348,-0.4936186278159642
ACH-000350,-0.4662792074242952
ACH-000352,-0.8718000347085609
ACH-000356,-0.631207918412499
ACH-000361,-0.2886474666132064
ACH-000362,-0.8796809550655796
ACH-000363,-0.3006286465014797
ACH-000364,-0.6853436525370238
ACH-000365,-1.0119483690160354
ACH-000366,-1.1362150820922938
ACH-000368,-0.4655788763892681
ACH-000374,-0.8751227011834681
ACH-000375,-0.29302938011921004
ACH-000376,-0.5235981464871846
ACH-000381,-0.8799461523139268
ACH-000383,-1.101732037321537
ACH-000387,-0.6881408225515864
ACH-000389,-0.5774654084314199
ACH-000390,-0.577119786801157
ACH-000393,-0.3035304146340502
ACH-000395,-0.8033962459350309
ACH-000396,-0.5094084575687328
ACH-000397,-0.6327913074382925
ACH-000401,-0.684892483642461
ACH-000402,-0.5311442965108161
ACH-000403,-0.6862475395327784
ACH-000404,-0.5580185514797519
ACH-000406,-0.7658350348831985
ACH-000407,-0.4885784296493555
ACH-000408,-0.7624636419184008
ACH-000410,-0.5357724435777512
ACH-000411,-0.5440738025457232
ACH-000414,-0.7783440620942513
ACH-000415,-0.6349023004519708
ACH-000416,-0.41006661661434907
