,UBTF (7343)
ACH-000004,-1.0932246266497092
ACH-000005,-0.9902301935389376
ACH-000007,-1.191349332268449
ACH-000009,-1.095964761306791
ACH-000011,-1.0054717189793076
ACH-000012,-1.044508221925498
ACH-000013,-1.2200184759312758
ACH-000014,-1.0413789435641518
ACH-000015,-1.14791549284701
ACH-000017,-1.3163690466143874
ACH-000018,-1.2308389696424396
ACH-000019,-1.2440356078951564
ACH-000021,-1.1028649201711522
ACH-000022,-1.2056712872354574
ACH-000025,-1.1859460529239954
ACH-000028,-1.3749347824356255
ACH-000030,-1.1747422628422437
ACH-000035,-1.2233180658704952
ACH-000036,-1.1702341586930989
ACH-000037,-1.3216064831465026
ACH-000039,-1.0162097136305102
ACH-000040,-1.271943684110069
ACH-000041,-1.2347850171078318
ACH-000042,-0.9821876508372204
ACH-000045,-1.0401536074992224
ACH-000047,-1.0774006528772682
ACH-000052,-1.3765649501505823
ACH-000053,-1.142427499383929
ACH-000054,-1.1641301565295177
ACH-000055,-1.1616594290110225
ACH-000060,-1.125316245375346
ACH-000067,-1.213795222332278
ACH-000070,-1.1623993625818123
ACH-000075,-1.1481936043902123
ACH-000078,-1.1397506450327066
ACH-000082,-1.1626776520338422
ACH-000085,-1.2452562319807048
ACH-000086,-1.2995798500196494
ACH-000087,-1.3526889355749052
ACH-000092,-1.092056043783034
ACH-000095,-1.002963838714792
ACH-000097,-1.1728981242547314
ACH-000098,-1.2523617541071097
ACH-000099,-1.102453135879027
ACH-000108,-1.202458635602203
ACH-000113,-0.9911543947080912
ACH-000116,-1.1663420707170076
ACH-000118,-0.849586183932585
ACH-000120,-0.9931841843927796
ACH-000123,-1.1872744037341056
ACH-000127,-1.177210926688696
ACH-000128,-1.1311522821188331
ACH-000132,-1.2178151535447403
ACH-000133,-1.1638435814658323
ACH-000137,-1.1682301786914822
ACH-000138,-0.9396173879228092
ACH-000142,-1.0060661515198197
ACH-000143,-0.934713661340362
ACH-000146,-0.9068475935098818
ACH-000148,-1.204379453000712
ACH-000150,-1.004254179677951
ACH-000152,-1.2037458925471802
ACH-000153,-1.502581779172126
ACH-000159,-1.2409126293866126
ACH-000160,-0.8549171224502643
ACH-000163,-1.3539367561239095
ACH-000167,-1.332338417156968
ACH-000168,-1.1818473214414942
ACH-000169,-1.0871713892788055
ACH-000178,-1.0488098688059215
ACH-000183,-1.2978909876423494
ACH-000188,-1.0971411229076231
ACH-000189,-1.2222604159638568
ACH-000190,-0.9081073444551008
ACH-000198,-1.296745658596054
ACH-000203,-1.4189361134263971
ACH-000204,-0.7525781909735275
ACH-000206,-1.1717342828758837
ACH-000207,-0.9679262403355642
ACH-000208,-1.1668005478144083
ACH-000210,-1.1445919216273777
ACH-000211,-1.1748902578407907
ACH-000215,-1.0569765015724395
ACH-000221,-1.373248377112632
ACH-000222,-1.0927557836405923
ACH-000223,-1.2363731377830482
ACH-000226,-1.1681314288021716
ACH-000227,-0.945112256836241
ACH-000228,-1.1536717781583643
ACH-000231,-1.277306415108119
ACH-000232,-1.0565784193846437
ACH-000233,-1.143640652944067
ACH-000234,-1.1209528315776298
ACH-000235,-1.1454383261002217
ACH-000237,-1.0966367300635709
ACH-000238,-1.1974409987737176
ACH-000242,-1.1019895879588073
ACH-000243,-1.064501835176382
ACH-000244,-1.087322044083439
ACH-000246,-1.07938975014383
ACH-000248,-1.3431965873411371
ACH-000250,-1.1190913544308692
ACH-000251,-0.96605050599793
ACH-000252,-1.3134964123693167
ACH-000253,-1.0295498764423219
ACH-000255,-1.1145311090431178
