,DNAJA1 (3301)
ACH-000004,-0.7173613473488006
ACH-000005,-0.2859189408113552
ACH-000007,-0.4496796119823612
ACH-000009,-0.6450926906880949
ACH-000011,-0.3892798193866629
ACH-000012,-0.24185038336327175
ACH-000013,-0.4463458596883894
ACH-000014,-0.5829034546978599
ACH-000015,-0.5143042329357805
ACH-000017,-0.8262581814570572
ACH-000018,-0.07230778846122507
ACH-000019,-0.3701088754386596
ACH-000021,-0.4720714282716213
ACH-000022,-0.4575730564243587
ACH-000025,-0.44661183040473584
ACH-000028,-0.6104255417577404
ACH-000030,-0.4765373227978293
ACH-000035,-0.3772717844334263
ACH-000036,-0.4088655042760345
ACH-000037,-0.601892493921879
ACH-000039,-0.4046208623229733
ACH-000040,-0.3045562963486827
ACH-000041,-0.4277431213069468
ACH-000042,-0.4418303412012456
ACH-000045,-0.15970648124997058
ACH-000047,-0.3837021122564269
ACH-000052,-0.5443973552822907
ACH-000053,-0.4912290358241441
ACH-000054,-0.4979796851802535
ACH-000055,-0.6292792459876433
ACH-000060,-0.2855571707274618
ACH-000067,-0.3294347386348373
ACH-000070,-0.6033192672183387
ACH-000075,-0.5434653203581468
ACH-000078,-0.4066263200938032
ACH-000082,-0.3887014213644704
ACH-000085,-0.6041815135076859
ACH-000086,-0.3212364101675666
ACH-000087,-0.10120452187171296
ACH-000092,-0.3935505682524979
ACH-000095,-0.4949292539692337
ACH-000097,-0.526502005573209
ACH-000098,-0.4843022123413585
ACH-000099,-0.307079373779391
ACH-000108,-0.3061359896091518
ACH-000113,-0.5457355300404432
ACH-000116,-0.5425716752945713
ACH-000118,-0.3720257284925965
ACH-000120,-0.3751380148125158
ACH-000123,-0.6967306664493972
ACH-000127,-0.2749613902516449
ACH-000128,0.04227834970948581
ACH-000132,-0.4582216770565282
ACH-000133,-0.5899566020182087
ACH-000137,-0.13912973612696106
ACH-000138,-0.3416635112802109
ACH-000142,-0.4074650225251316
ACH-000143,-0.2221234161331572
ACH-000146,-0.3444414471894925
ACH-000148,-0.41338435961169656
ACH-000150,-0.4906245742365444
