,CSPG4 (1464)
ACH-000004,-0.34373025145398256
ACH-000005,0.0005883650329955013
ACH-000007,-0.5147500497043558
ACH-000009,-0.20968405737400675
ACH-000011,-0.4144130843023428
ACH-000012,-0.22809516985358524
ACH-000013,-0.18409724598946384
ACH-000014,-0.2691318767811399
ACH-000015,-0.22653604979868416
ACH-000017,-0.1434791456471104
ACH-000018,-0.18609172102933866
ACH-000019,-0.18030768200446104
ACH-000021,-0.09181666123807326
ACH-000022,-0.3841547686227493
ACH-000025,-0.2677531168813864
ACH-000028,-0.13747680059827486
ACH-000030,-0.2330872037631404
ACH-000035,-0.08888708517202809
ACH-000036,-0.20873785634990896
ACH-000037,-0.1710427692571919
ACH-000039,-0.2562528555141373
ACH-000040,-0.05388132458130094
ACH-000041,-0.062262888440273535
ACH-000042,-0.2426984874101098
ACH-000045,-0.28330962389500497
ACH-000047,-0.1919221770233208
ACH-000052,-0.22089763665982934
ACH-000053,-0.22074568292744304
ACH-000054,-0.3624015002095943
ACH-000055,-0.01298416088425452
ACH-000060,-0.09487254372017692
ACH-000067,-0.2667523524784409
ACH-000070,-0.23268977271117364
ACH-000075,-0.43325303923117375
ACH-000078,-0.3056850547078914
ACH-000082,-0.13848808003242696
ACH-000085,-0.21275403970007745
ACH-000086,-0.2984431398894833
ACH-000087,-0.3940251656708345
ACH-000092,-0.27496657905138
ACH-000095,-0.2530873719392518
ACH-000097,-0.21935755106781968
ACH-000098,-0.15438144408339086
ACH-000099,-0.14344389448617784
ACH-000108,-0.25371863542294465
ACH-000113,-0.20182531343523907
ACH-000116,-0.18105222059223489
ACH-000118,-0.08895212667000085
ACH-000120,-0.2790298926198776
ACH-000123,-0.17799839398228132
ACH-000127,-0.24667970117528898
ACH-000128,-0.2728815063203946
ACH-000132,-0.2370334388812721
ACH-000133,-0.254925275868855
ACH-000137,-0.06665767542286077
ACH-000138,-0.11361489330913913
ACH-000142,-0.15821535518012486
ACH-000143,-0.1745022067563337
ACH-000146,-0.2480466892086965
ACH-000148,-0.29347785291948764
ACH-000150,-0.3511520332939621
ACH-000152,-0.13105291110425232
ACH-000153,-0.17533500723497072
ACH-000159,-0.23807537812605464
ACH-000160,-0.2390858889457439
ACH-000163,-0.19076321235838856
ACH-000167,-0.2350695167710663
ACH-000168,0.033579782066472656
ACH-000169,-0.17730303541716366
ACH-000178,-0.19893402161887064
ACH-000183,-0.2605564641891861
ACH-000188,-0.15363723303827406
ACH-000189,-0.3252730013597888
ACH-000190,-0.07618146351030339
ACH-000198,-0.21871833873914048
ACH-000203,-0.7428075105902955
ACH-000204,-0.21839612355623533
ACH-000206,-0.0454926290862829
ACH-000207,-0.17649151047695302
ACH-000208,-0.0698234431698688
ACH-000210,0.2503838346085085
ACH-000211,-0.16359771800571035
ACH-000215,-0.10911440793113672
ACH-000221,-0.2443065212328256
ACH-000222,-0.41436741607455535
ACH-000223,-0.15177506938052635
ACH-000226,-0.06370346322064735
ACH-000227,-0.21598720171348645
ACH-000228,-0.19141418280365124
ACH-000231,-0.13622652721604708
ACH-000232,-0.10688289403353143
ACH-000233,-0.18694683901900835
ACH-000234,-0.0349166633979095
ACH-000235,-0.2660922507678719
ACH-000237,-0.1805783823426453
ACH-000238,-0.192686567237428
ACH-000242,-0.007340062828341921
ACH-000243,-0.2693252640125093
ACH-000244,-0.2804627139007105
ACH-000246,-0.1550002047448622
ACH-000248,-0.15720394953221478
ACH-000250,-0.13152658161258798
ACH-000251,-0.08444770871068752
ACH-000252,-0.23133100867766
ACH-000253,-0.18342283718080926
ACH-000255,-0.2815149612357213
ACH-000256,-0.2791719831196318
ACH-000257,-0.17892584715005613
ACH-000258,-0.2333064973694735
ACH-000259,-0.1632909822256815
ACH-000260,-0.188499694162822
ACH-000261,-0.3311367842059645
ACH-000262,-0.13116610895980316
ACH-000263,-0.3020512705699887
ACH-000264,-0.025256709059366604
ACH-000265,-0.24817012547540515
ACH-000266,-0.2819626564327465
ACH-000272,-0.18125374631782828
ACH-000274,-0.35700600308196284
ACH-000277,-0.1916752638583327
ACH-000278,-0.2399597441214221
ACH-000279,-0.15073294970887285
ACH-000280,-0.3419244368423438
ACH-000281,-0.27240482593805354
ACH-000288,-0.2370069912265503
ACH-000291,-0.25001195111989205
ACH-000293,-0.1909286628986127
ACH-000294,-0.31393687351484506
ACH-000295,-0.18633830787431988
ACH-000296,-0.3556059304476791
ACH-000302,-0.3059299194585101
ACH-000304,-0.3461593939447677
ACH-000307,-0.22135259073178726
ACH-000308,-0.18780669570563355
ACH-000310,-0.1198535205433858
ACH-000311,-0.3168436875016949
ACH-000312,-0.13374445795269016
ACH-000315,-0.047545897321604816
ACH-000316,-0.19332061129631647
ACH-000317,-0.2278543951387907
ACH-000318,-0.2910520155268746
ACH-000319,-0.3989408266145245
ACH-000320,-0.16084908802758446
ACH-000322,-0.20295345024819836
ACH-000323,-0.029072719480992326
ACH-000324,-0.18631839221224575
ACH-000329,-0.14227022138212908
ACH-000330,-0.15275307850985895
ACH-000331,-0.29144210469606713
ACH-000332,-0.30504567609316713
ACH-000334,-0.1349221215902872
ACH-000335,-0.22132971126906165
ACH-000336,0.03291098288330418
ACH-000337,-0.09680506342612437
ACH-000338,0.1063367473629142
ACH-000339,-0.07176122240303448
ACH-000341,-0.0774156173997772
ACH-000348,-0.09006206990531357
