,ENSA (2029)
ACH-000004,-0.4515996120044213
ACH-000005,-0.600544793494365
ACH-000007,-0.59505380587377
ACH-000009,-0.4163733557916552
ACH-000011,-0.09998344403483353
ACH-000012,-0.4552845312020872
ACH-000013,-0.16746402337956365
ACH-000014,-0.3254002612878549
ACH-000015,-0.34724815601153586
ACH-000017,-0.2541712923866978
ACH-000018,-0.2701013752085941
ACH-000019,-0.3950350966014122
ACH-000021,-0.22256008147126968
ACH-000022,-0.3250225321519947
ACH-000025,-0.2621458043512476
ACH-000028,-0.41278592497222827
ACH-000030,-0.2766705201733442
ACH-000035,-0.42471764970657794
ACH-000036,-0.18221561394622168
ACH-000037,-0.3565611723240163
ACH-000039,-0.3799022447469719
ACH-000040,-0.20464302668409431
ACH-000041,-0.4722441495894953
ACH-000042,-0.1936573974466765
ACH-000045,-0.28315795026608703
ACH-000047,-0.6436070168974924
ACH-000052,-0.2089616457584696
ACH-000053,-0.32645045422910196
ACH-000054,-0.18502409787894245
ACH-000055,-0.4784365818799824
ACH-000060,-0.4700186740164296
ACH-000067,-0.12649101704847115
ACH-000070,-0.4028693688316937
ACH-000075,-0.27008799379323056
ACH-000078,-0.2934004104953565
ACH-000082,-0.5475696531218055
ACH-000085,-0.7820098848155091
ACH-000086,-0.5685930037972421
ACH-000087,-0.5147783969484689
ACH-000092,-0.30957530603898353
ACH-000095,-0.4262380357101833
ACH-000097,-0.2849404289107025
ACH-000098,-0.3374863298194021
ACH-000099,-0.1804729037203866
ACH-000108,-0.14704647695795647
ACH-000113,-0.1806656115835616
ACH-000116,-0.33617824544349045
ACH-000118,-0.2772965052799853
ACH-000120,-0.19913512326243646
ACH-000123,-0.4793277753478623
ACH-000127,-0.1996258390666865
ACH-000128,-0.2582464497738581
ACH-000132,-0.3229987424742717
ACH-000133,-0.499795317222587
ACH-000137,-0.34315414217149154
ACH-000138,-0.16227433246184686
ACH-000142,-0.3898315084203172
ACH-000143,-0.5154149863454801
ACH-000146,-0.2833812310370685
ACH-000148,-0.40763809051774064
ACH-000150,-0.3822807844187291
ACH-000152,-0.3986711665676357
ACH-000153,-0.9375846324908754
ACH-000159,-0.2351249702073347
ACH-000160,-0.3098563773838735
ACH-000163,-0.16638076713763894
ACH-000167,-0.5633218142049806
ACH-000168,-0.3258671513005334
ACH-000169,-0.4542803685034452
ACH-000178,-0.19832629862725734
ACH-000183,-0.3197265572767649
ACH-000188,-0.3884652418429069
ACH-000189,-0.19901209835633152
ACH-000190,-0.2483118231937529
ACH-000198,-0.33289502883939753
ACH-000203,-0.5715172960074669
ACH-000204,-0.3496517527065829
ACH-000206,-0.036396574376868066
ACH-000207,-0.2280150290176514
ACH-000208,-0.4242832303124207
ACH-000210,-0.2761358793262005
ACH-000211,-0.20199443529197686
ACH-000215,-0.3124151964240849
ACH-000221,-0.18007090218884156
ACH-000222,-0.4555440369009975
ACH-000223,-0.18608340701695136
ACH-000226,-0.3292928436400807
ACH-000227,-0.15670080533197964
ACH-000228,-0.17863286388796706
ACH-000231,-0.3499420319441401
