,TPTE2 (93492)
ACH-000004,-0.3193185923028555
ACH-000005,0.43862323397139374
ACH-000007,-0.3261792277027389
ACH-000009,-0.20985285680584725
ACH-000011,-0.07818244510178217
ACH-000012,-0.3455689634754705
ACH-000013,-0.2952474044991585
ACH-000014,-0.19004710902011426
ACH-000015,-0.37807418714087293
ACH-000017,-0.1830708415146493
ACH-000018,-0.05533228671460387
ACH-000019,-0.08289336269824228
ACH-000021,-0.28520629511137857
ACH-000022,-0.19794863205027927
ACH-000025,-0.30485212506077763
ACH-000028,-0.18008585978439692
ACH-000030,-0.3069721148117329
ACH-000035,-0.2561614984709608
ACH-000036,-0.29499413599468377
ACH-000037,-0.27043582263582644
ACH-000039,-0.2687472311114805
ACH-000040,-0.3748425953683677
ACH-000041,-0.19295155067329686
ACH-000042,-0.28205110888499824
ACH-000045,-0.15406547718880334
ACH-000047,-0.26572632842901234
ACH-000052,-0.3012678022089438
ACH-000053,-0.21166796591191486
ACH-000054,-0.23985623115653198
ACH-000055,-0.32423024611364826
ACH-000060,-0.27440584047731514
ACH-000067,-0.3136937897969537
ACH-000070,-0.33257581333159536
ACH-000075,-0.12080539969213032
ACH-000078,-0.2729655022121266
ACH-000082,-0.1887034220772787
ACH-000085,-0.08215899918102304
ACH-000086,-0.1989425284097852
ACH-000087,-0.3741263142800356
ACH-000092,-0.2754160340740249
ACH-000095,-0.3258607882411199
ACH-000097,-0.20201583952356805
ACH-000098,-0.13700989701417846
ACH-000099,-0.2803403442207799
ACH-000108,-0.27014293899442315
ACH-000113,-0.2920962022394715
ACH-000116,-0.19936364310627272
ACH-000118,-0.21028917183435986
ACH-000120,-0.18495311988575105
ACH-000123,-0.1770176749511254
ACH-000127,-0.1630425333681418
ACH-000128,-0.1633529327673027
ACH-000132,-0.2759631541632418
ACH-000133,-0.2322812629133765
ACH-000137,-0.3021415204363954
ACH-000138,-0.094469683837592
ACH-000142,-0.3917926854935933
ACH-000143,-0.18736610246523616
ACH-000146,-0.2030848413713604
ACH-000148,-0.1990628561110359
ACH-000150,-0.27896045102574113
ACH-000152,-0.4265768698234191
ACH-000153,-0.35433294822970457
ACH-000159,-0.2981734852363113
ACH-000160,-0.3377973884152334
ACH-000163,-0.2387369647627464
ACH-000167,-0.3913687279024911
ACH-000168,-0.28036157465044304
ACH-000169,-0.14553681742276572
ACH-000178,-0.2855487357948511
ACH-000183,-0.24663283530950625
ACH-000188,-0.42540616549154536
ACH-000189,-0.4323434835087236
ACH-000190,-0.22117734765065955
ACH-000198,-0.21916338563967455
ACH-000203,-0.21320754005460127
ACH-000204,-0.247001488024102
ACH-000206,-0.3044646189077391
ACH-000207,-0.3145010032047407
ACH-000208,-0.17927565153822875
ACH-000210,-0.3403609577825543
ACH-000211,-0.2713390544187355
ACH-000215,-0.2826136494284345
ACH-000221,-0.19721867935819112
ACH-000222,-0.371554738088344
ACH-000223,-0.2279415443374857
ACH-000226,-0.3138395746630122
ACH-000227,-0.21917343477629905
ACH-000228,-0.2403420890373535
ACH-000231,-0.3674685378235626
ACH-000232,-0.2316867525518005
ACH-000233,-0.1581022945194399
ACH-000234,-0.3184462208888442
ACH-000235,-0.17749067654744738
ACH-000237,-0.3046939059942496
ACH-000238,-0.27042647135204073
ACH-000242,-0.20851664736115105
ACH-000243,-0.22113486630009907
ACH-000244,-0.2846685608904689
ACH-000246,-0.29600734089081304
ACH-000248,-0.13278557763175386
ACH-000250,-0.2150741857813913
ACH-000251,-0.4320250975485431
ACH-000252,-0.244386238825026
ACH-000253,-0.2478756824775935
ACH-000255,-0.3574747278758537
ACH-000256,-0.3510593729871265
ACH-000257,-0.4627677301928576
ACH-000258,-0.2537488242859423
ACH-000259,-0.26448840669216345
ACH-000260,-0.21557182513928755
ACH-000261,-0.2778987594734444
ACH-000262,-0.2068077809166204
ACH-000263,-0.0844565230156203
ACH-000264,-0.3884835333257021
ACH-000265,-0.2766899713855621
ACH-000266,-0.31681053571189743
ACH-000272,-0.37415775753112585
ACH-000274,-0.2278110681210896
ACH-000277,-0.03701582892598505
ACH-000278,-0.3662549297536132
ACH-000279,-0.25429655299772896
ACH-000280,-0.2730879295920453
ACH-000281,-0.1765358405109594
ACH-000288,-0.2574375509701455
ACH-000291,-0.21182319013762474
ACH-000293,-0.2775524877246551
ACH-000294,-0.2763179740863559
ACH-000295,-0.1597129653338374
ACH-000296,-0.2713368178773155
ACH-000302,-0.3941595778118097
ACH-000304,-0.05029501393401028
ACH-000307,-0.22524860770849084
ACH-000308,-0.22908413933021654
ACH-000310,-0.3659118325896742
ACH-000311,-0.247936205970667
ACH-000312,-0.18531885193588696
ACH-000315,-0.3109036039521725
ACH-000316,-0.2456884804518296
ACH-000317,-0.3496418642304062
ACH-000318,-0.2790474927769921
ACH-000319,-0.1808297243877007
ACH-000320,-0.2117546183202282
ACH-000322,-0.09306728130648542
ACH-000323,-0.3685914153000097
ACH-000324,-0.14442080241158042
ACH-000329,-0.22697805477407898
ACH-000330,-0.2937012444409383
ACH-000331,-0.28847852868663515
ACH-000332,-0.20385891979154988
ACH-000334,-0.5545876283477943
ACH-000335,-0.34393791870275
ACH-000336,-0.3475825945327237
ACH-000337,-0.06078298985698322
ACH-000338,-0.03836003266431826
ACH-000339,-0.2054246837750668
ACH-000341,-0.28143961408499685
ACH-000348,-0.23150136378158456
ACH-000350,-0.11308864504116535
ACH-000352,-0.2132047996723554
ACH-000356,-0.24971997004291174
ACH-000361,-0.3282629005715725
ACH-000362,-0.3269090429392884
ACH-000363,-0.3018768763553795
ACH-000364,-0.1081368495325415
ACH-000365,-0.3925079174721468
ACH-000366,-0.15599448624408804
ACH-000368,-0.1731273911419906
ACH-000374,-0.40244873610397
ACH-000375,-0.24087970935053385
ACH-000376,-0.24197231707419176
ACH-000381,-0.27738352581350284
ACH-000383,-0.2711960443399679
ACH-000387,-0.2138184610944957
ACH-000389,-0.3786016304391856
ACH-000390,-0.31147033407643065
ACH-000393,-0.3770628588534072
ACH-000395,-0.2855085710972489
ACH-000396,-0.3097287161127197
ACH-000397,-0.3375506358010422
ACH-000401,-0.20815923755643792
ACH-000402,-0.3440869796181873
ACH-000403,-0.1739146411471312
ACH-000404,-0.19647453537354764
ACH-000406,-0.3166585962911391
ACH-000407,-0.1528285643503305
ACH-000408,-0.36868204210408173
ACH-000410,-0.25248293250988885
ACH-000411,-0.3221714341342538
ACH-000414,-0.20155228054022814
ACH-000415,-0.3360951029026014
ACH-000416,-0.2084768976262178
ACH-000420,-0.16030897488964851
ACH-000421,-0.14353379022879645
ACH-000424,-0.38722271310288814
ACH-000425,-0.3246128335704029
ACH-000426,-0.17098689576124404
ACH-000427,-0.450324712347604
ACH-000433,-0.2498071521932749
ACH-000435,-0.14715102707912078
ACH-000436,-0.2227393605111625
ACH-000444,-0.23516573252689216
ACH-000445,-0.35524367396002243
ACH-000448,-0.32643293640561083
ACH-000450,-0.061641235017991076
ACH-000452,-0.3215324717638534
ACH-000454,-0.4853597760403711
ACH-000458,-0.2746686526470177
ACH-000459,-0.22480596599698427
ACH-000460,-0.2648714641449114
ACH-000461,-0.3903539307589757
ACH-000463,-0.318500290734555
ACH-000464,-0.01225305911477878
ACH-000466,-0.4614225841746726
ACH-000467,-0.311725446660221
ACH-000468,-0.3781972758308401
ACH-000469,-0.1699380659745367
