,SPINT2 (10653)
ACH-000004,-0.36999245817510973
ACH-000005,-0.3421630274432946
ACH-000007,-0.11503230442021713
ACH-000009,-0.4377037044757752
ACH-000011,-0.20199135855758907
ACH-000012,-0.17102068819621252
ACH-000013,-0.3006390342894163
ACH-000014,-0.03225093151884972
ACH-000015,-0.1536176871561175
ACH-000017,-0.15552792032778104
ACH-000018,-0.1738566961786361
ACH-000019,-0.018514896067018515
ACH-000021,-0.1338819170432614
ACH-000022,-0.19621781576017164
ACH-000025,0.10407850273089696
ACH-000028,-0.059544794670223826
ACH-000030,-0.20801942789626354
ACH-000035,-0.2980975226809599
ACH-000036,-0.07232523883119801
ACH-000037,-0.3204620712103889
ACH-000039,-0.1674083543817893
ACH-000040,-0.0851897195807006
ACH-000041,-0.11490670374004625
ACH-000042,-0.047508302609358635
ACH-000045,-0.06449437979953945
ACH-000047,-0.032678226442658435
ACH-000052,0.11497425321491092
ACH-000053,-0.08157524565341462
ACH-000054,-0.13673575642828
ACH-000055,-0.2075988083389236
ACH-000060,-0.038899555570339625
ACH-000067,-0.09250368826216444
ACH-000070,-0.09058070372388594
ACH-000075,-0.12633634439199787
ACH-000078,-0.11609663491943617
ACH-000082,-0.2012777457270653
ACH-000085,-0.2829748933829321
ACH-000086,-0.05049095895949144
ACH-000087,-0.039431458769204064
ACH-000092,-0.1190693532824645
ACH-000095,-0.14767436354621358
ACH-000097,-0.2153274094043288
ACH-000098,-0.17554811814012647
ACH-000099,-0.0733808046859386
ACH-000108,-0.06646782129773829
ACH-000113,-0.1450487081389316
ACH-000116,-0.06390301185530163
ACH-000118,-0.2603858642744449
ACH-000120,0.027119257016606
ACH-000123,-0.17814362492203872
ACH-000127,-0.21909105369962825
ACH-000128,0.009415619688149324
ACH-000132,-0.06361098043081452
ACH-000133,-0.0777507554899776
ACH-000137,-0.2018478989785336
ACH-000138,-0.1199469914583655
ACH-000142,-0.2257973575117161
ACH-000143,-0.01658903960318811
ACH-000146,-0.1818455206428597
ACH-000148,0.04981150689378274
ACH-000150,-0.005540431422502103
ACH-000152,-0.2530552087918045
ACH-000153,-0.22862588334964826
ACH-000159,-0.16141577021179984
ACH-000160,-0.19032529974711965
ACH-000163,-0.12559039102999156
ACH-000167,-0.15825675733873826
ACH-000168,0.19658550892871468
ACH-000169,-0.117050943285619
ACH-000178,-0.07666345011228874
ACH-000183,-0.05696374800722179
ACH-000188,0.04218848350678908
ACH-000189,0.12385549075304765
ACH-000190,-0.27998604257988075
ACH-000198,-0.004740739832513365
ACH-000203,-0.4483943655959106
ACH-000204,-0.2305414117298149
ACH-000206,-0.18016207027409806
