,ETNPPL (64850)
ACH-000004,-0.2402608682672248
ACH-000005,-0.2975777116691179
ACH-000007,-0.1562152953542639
ACH-000009,-0.2689720837420989
ACH-000011,-0.27818975745882113
ACH-000012,-0.21118522040219928
ACH-000013,-0.14022602156107347
ACH-000014,-0.08978297935980366
ACH-000015,-0.19080172393386455
ACH-000017,-0.1850571817028929
ACH-000018,-0.008372698381881564
ACH-000019,-0.14532756338304173
ACH-000021,-0.1752552647430728
ACH-000022,-0.1143743945472635
ACH-000025,-0.12352924053757175
ACH-000028,-0.13696840868310575
ACH-000030,-0.14842246402512366
ACH-000035,-0.0335582891177702
ACH-000036,-0.29353542028177243
ACH-000037,-0.16138193824977626
ACH-000039,-0.1022521871832989
ACH-000040,-0.07095010983316108
ACH-000041,-0.23324722274650295
ACH-000042,-0.16611642642480468
ACH-000045,-0.2356578942961773
ACH-000047,-0.06105685515344049
ACH-000052,-0.3515711847331351
ACH-000053,-0.18706242932002806
ACH-000054,-0.11161374303881846
ACH-000055,-0.4467960329875284
ACH-000060,-0.14683980693811804
ACH-000067,-0.2377476408862637
ACH-000070,-0.019848252361022948
ACH-000075,-0.30543550693300936
ACH-000078,-0.19768338513972544
ACH-000082,-0.21530933220623708
ACH-000085,-0.2259981612173247
ACH-000086,-0.16857568713731896
ACH-000087,-0.28436302078416664
ACH-000092,-0.28457458938129965
ACH-000095,-0.1188868050438753
ACH-000097,-0.16379016889911707
ACH-000098,-0.27970856034283154
ACH-000099,-0.13508429109044226
ACH-000108,-0.10333031922579244
ACH-000113,-0.1040107328890745
ACH-000116,-0.17987162043629093
ACH-000118,-0.038955650686433835
ACH-000120,-0.18198321796148131
ACH-000123,-0.21215913858058688
ACH-000127,-0.15433666221236225
ACH-000128,-0.19583843538659826
ACH-000132,-0.1295702160248134
ACH-000133,-0.11080248147388004
ACH-000137,-0.1172725117247336
ACH-000138,-0.08873385210963979
ACH-000142,-0.12451829930484275
ACH-000143,-0.1224307073411491
ACH-000146,-0.20176608205496105
ACH-000148,-0.2622527480301584
ACH-000150,-0.2196266207963068
ACH-000152,-0.19483017554745646
ACH-000153,-0.08722806821789764
ACH-000159,-0.17357246657534012
ACH-000160,-0.13955421452096867
ACH-000163,-0.17724764241855426
ACH-000167,-0.4299031649245374
ACH-000168,-0.11216953284190648
ACH-000169,-0.2952980756978945
ACH-000178,-0.09884046767360158
ACH-000183,-0.21505145044545035
ACH-000188,-0.11444412819721513
ACH-000189,-0.23991790837118865
ACH-000190,-0.19871015676479
ACH-000198,-0.1882647160357671
ACH-000203,-0.4216454044147235
ACH-000204,0.10595320440461778
ACH-000206,0.03606055876796768
ACH-000207,0.008294846691027586
ACH-000208,-0.12426575797107316
ACH-000210,-0.23816938220584646
ACH-000211,-0.2864242327765556
ACH-000215,-0.17315061322090405
ACH-000221,-0.2219094999122128
ACH-000222,-0.057310156328761186
ACH-000223,-0.17078879275375833
ACH-000226,0.050778815141377186
ACH-000227,-0.34351515602804056
ACH-000228,0.004802928605707361
ACH-000231,-0.11085240536991947
ACH-000232,-0.1544763677951795
ACH-000233,-0.2806831910295896
ACH-000234,-0.14615453185693786
ACH-000235,-0.176372747866926
ACH-000237,-0.2133599873609957
ACH-000238,-0.06834476528334524
ACH-000242,-0.09540232854260557
ACH-000243,-0.14667816497075686
ACH-000244,-0.07414063395909
ACH-000246,-0.08892036548462748
ACH-000248,-0.06847168063803186
ACH-000250,-0.2275366107191691
ACH-000251,-0.182714523007558
ACH-000252,-0.1457152536849258
ACH-000253,-0.19191077921405103
ACH-000255,-0.20814493906259332
ACH-000256,-0.1837496551519323
ACH-000257,-0.33530216178650657
ACH-000258,-0.23661933784346825
ACH-000259,-0.19339573962480802
ACH-000260,-0.16939362686579426
ACH-000261,-0.12817344447165824
ACH-000262,-0.10886534563758886
ACH-000263,-0.17339485091801493
ACH-000264,-0.13183380819077672
ACH-000265,-0.17925976976412994
ACH-000266,-0.1355735728484907
ACH-000272,-0.21398484168719814
ACH-000274,-0.20487148111421086
ACH-000277,-0.10849745186262344
ACH-000278,-0.12293081294211998
ACH-000279,-0.28668505370821784
ACH-000280,-0.1403338217036096
ACH-000281,-0.18843039514048185
ACH-000288,-0.09963991052346204
ACH-000291,-0.2102285504598834
ACH-000293,-0.2314161683850307
ACH-000294,-0.2431795901300829
ACH-000295,-0.2556179218718394
ACH-000296,-0.13273782282249033
ACH-000302,-0.143426243762078
ACH-000304,0.02166701013754455
ACH-000307,-0.22881344833779896
ACH-000308,-0.1956343610219562
ACH-000310,-0.27502275197770243
ACH-000311,-0.2079158443194448
ACH-000312,-0.07819159569484893
ACH-000315,0.015267745830897338
ACH-000316,-0.2471808549072612
ACH-000317,-0.24098692345935305
ACH-000318,-0.3085381126252184
ACH-000319,-0.1379730644097376
ACH-000320,-0.1263322683119446
ACH-000322,-0.24208433381366445
ACH-000323,-0.15251832201857318
ACH-000324,-0.18480644345581068
ACH-000329,-0.304600968267406
ACH-000330,-0.10196684720063924
ACH-000331,-0.05053844385856675
ACH-000332,-0.04668363439816622
ACH-000334,-0.10030314495133708
ACH-000335,-0.11505722744162747
ACH-000336,0.01939033686244807
ACH-000337,-0.17498749237425906
ACH-000338,-0.08223209866615379
ACH-000339,-0.22956939225481834
ACH-000341,-0.17300231357630502
ACH-000348,-0.15703573059051176
ACH-000350,-0.1436159757257331
ACH-000352,-0.18791617997003326
ACH-000356,0.0008304592537445729
ACH-000361,-0.25328584706822643
ACH-000362,-0.13320305826212947
ACH-000363,-0.09513836780977238
ACH-000364,-0.2847833362227756
ACH-000365,-0.17163791152243474
ACH-000366,-0.20173448627737608
ACH-000368,-0.34465413173989545
ACH-000374,-0.2749044699476408
ACH-000375,-0.27451941530771984
ACH-000376,-0.2068226265554935
ACH-000381,-0.22061512259578547
ACH-000383,-0.15861656349569433
ACH-000387,-0.28138871260343074
ACH-000389,-0.04859549578741934
ACH-000390,-0.18368474006710425
ACH-000393,-0.0879764932447091
ACH-000395,-0.1587327690921835
ACH-000396,0.05049236237153256
ACH-000397,-0.19013967981272975
ACH-000401,-0.12680818520097825
ACH-000402,0.06562220390053755
ACH-000403,-0.20520560062881316
ACH-000404,-0.3321195644550955
ACH-000406,-0.19750412903915726
ACH-000407,-0.21551748566690268
ACH-000408,0.05593195095030728
ACH-000410,-0.2189685091968436
ACH-000411,-0.0616569678220112
ACH-000414,-0.18644415896169791
ACH-000415,-0.09902482154040404
ACH-000416,-0.20467890942990588
ACH-000420,-0.19905339206898232
ACH-000421,-0.2667915084025672
ACH-000424,-0.12186970416295435
ACH-000425,-0.23518892625516666
ACH-000426,-0.15978816253581926
ACH-000427,-0.23188888344400815
ACH-000433,0.012658118918066513
ACH-000435,0.04504143268088176
ACH-000436,-0.14217562065877756
ACH-000444,-0.19054460042829666
ACH-000445,-0.17400737226542548
ACH-000448,-0.06689334180529581
ACH-000450,-0.23360750340255074
ACH-000452,-0.10186409183941092
ACH-000454,-0.08859056077036358
ACH-000458,-0.02863803102521257
ACH-000459,-0.12538397927414
ACH-000460,-0.12569615268008102
ACH-000461,-0.12130907573880145
ACH-000463,-0.17889582127076284
ACH-000464,-0.14325837649908327
ACH-000466,-0.09966848938199316
ACH-000467,-0.2130004640893169
ACH-000468,-0.17441312179999094
ACH-000469,-0.2489271451374912
ACH-000470,-0.23558849246198466
ACH-000471,-0.08185552269579588
ACH-000472,-0.11492232406209933
ACH-000473,-0.2379410256357413
ACH-000475,-0.18737047280274785
ACH-000476,-0.19954012440694507
ACH-000477,-0.25200201583181303
ACH-000479,-0.4594027906042589
ACH-000480,-0.1325755808621746
ACH-000481,-0.1383981899898606
ACH-000483,-0.19807153888518989
ACH-000484,0.036175898493148284
ACH-000485,-0.06619990871693915
ACH-000486,-0.09356424206109544
ACH-000487,-0.17749726278885744
ACH-000488,-0.15730431678654982
ACH-000490,-0.07641239201073602
ACH-000491,-0.2340902515551077
ACH-000495,-0.13217409944846936
ACH-000496,-0.2950951968895078
ACH-000499,-0.08781352630075809
ACH-000500,0.07252683054517445
ACH-000502,-0.10161300878893932
ACH-000503,-0.1304516787476147
ACH-000505,-0.16701530460852612
ACH-000507,-0.2434084660073217
ACH-000510,-0.2605092006765633
ACH-000511,-0.2294590245675473
ACH-000512,-0.3451817936698428
ACH-000516,-0.13572793388438756
ACH-000517,-0.20111926911471387
ACH-000518,-0.13388042463993788
ACH-000520,-0.19541537119319405
ACH-000521,-0.03914690168249736
ACH-000522,-0.07837354598099787
ACH-000524,-0.1625942674602306
ACH-000527,-0.2500200407159286
ACH-000528,-0.1152107030653268
ACH-000537,-0.10981474130459463
ACH-000541,-0.13825303308128342
ACH-000542,-0.18578005011448304
ACH-000544,-0.14375751025562974
ACH-000545,-0.2776549984302931
ACH-000547,-0.3935981571583317
ACH-000548,-0.2308087281269732
ACH-000549,-0.19282440263889147
ACH-000550,-0.1525803561991754
ACH-000552,-0.12802466301316712
ACH-000556,-0.19127795512852447
