,CDT1 (81620)
ACH-000004,-0.9623149943942664
ACH-000005,-1.4094311395127153
ACH-000007,-1.1497754917482623
ACH-000009,-0.8305024341065406
ACH-000011,-1.3434480664849315
ACH-000012,-1.0873103193889642
ACH-000013,-1.3967191577946876
ACH-000014,-0.9814704740606616
ACH-000015,-0.939634739247568
ACH-000017,-1.256187676560911
ACH-000018,-1.0286777313002675
ACH-000019,-1.1448562631242312
ACH-000021,-1.0884375241798847
ACH-000022,-1.0436175617512269
ACH-000025,-1.1504486810076977
ACH-000028,-0.7094711212029762
ACH-000030,-1.030180820348822
ACH-000035,-1.2027909463954107
ACH-000036,-1.1301786191734993
ACH-000037,-0.479660547288007
ACH-000039,-0.9712683388369592
ACH-000040,-1.0013466457615987
ACH-000041,-1.0180506721046936
ACH-000042,-0.9547849553935541
ACH-000045,-1.1859076197202962
ACH-000047,-1.1608345814969263
ACH-000052,-0.9893251691097688
ACH-000053,-1.183030929470467
ACH-000054,-1.1067675419193244
ACH-000055,-1.1299839555648654
ACH-000060,-0.9319662741064352
ACH-000067,-0.9318584288912708
ACH-000070,-0.866860637632752
ACH-000075,-0.7035419476266981
ACH-000078,-0.8136491835159445
ACH-000082,-1.0839834021195207
ACH-000085,-0.8374405688668062
ACH-000086,-1.1056767090264437
ACH-000087,-1.0864018497729682
ACH-000092,-1.0143081548567636
ACH-000095,-1.0282801123383718
ACH-000097,-1.0487671078819711
ACH-000098,-1.0357330659291846
ACH-000099,-0.9811447269306018
ACH-000108,-1.0722639277871422
ACH-000113,-1.0128585161811612
ACH-000116,-1.1459019249052211
ACH-000118,-1.0815967871430772
ACH-000120,-1.2774197655236084
ACH-000123,-1.2212281764757844
ACH-000127,-1.3746920254480746
ACH-000128,-0.9347102316208178
ACH-000132,-1.0711451906832201
ACH-000133,-1.2233636392777332
ACH-000137,-1.1694201784343259
ACH-000138,-0.8366908064890302
ACH-000142,-0.8871720945582013
ACH-000143,-1.1096602247328944
ACH-000146,-1.3256203929156836
ACH-000148,-1.0236193083684495
ACH-000150,-1.1422715708613231
ACH-000152,-1.3040944376056007
ACH-000153,-0.8590031749747619
ACH-000159,-1.079257331218822
ACH-000160,-1.0390073363047323
ACH-000163,-0.9464263455040788
ACH-000167,-1.7417389592140546
ACH-000168,-1.2252050459427335
ACH-000169,-1.043701528457423
ACH-000178,-1.1206846832032424
ACH-000183,-1.1303166873326265
ACH-000188,-1.1034948334880907
ACH-000189,-1.1320762399505215
ACH-000190,-1.142611119934273
ACH-000198,-1.0741390606671526
ACH-000203,-1.339110997798315
ACH-000204,-0.7302968361604513
ACH-000206,-1.5015165887058946
ACH-000207,-1.0366790911510595
ACH-000208,-0.924884239451044
ACH-000210,-0.8721143716513491
ACH-000211,-1.0817196813601122
ACH-000215,-1.1041551379724168
ACH-000221,-0.9248566814354194
ACH-000222,-0.9351831806392804
ACH-000223,-1.147385485450778
ACH-000226,-0.9594592585862676
ACH-000227,-1.4965068320133703
ACH-000228,-1.0075679847338617
ACH-000231,-1.056808141566534
ACH-000232,-1.096794166893018
ACH-000233,-1.2340908674827376
ACH-000234,-0.8130621937343223
ACH-000235,-0.9512090486016814
ACH-000237,-1.1115270997352151
ACH-000238,-0.9938472619214332
ACH-000242,-0.6511078375228165
ACH-000243,-1.0930320676701513
ACH-000244,-1.3182886541826062
ACH-000246,-1.0215457232591425
ACH-000248,-1.342113930301381
ACH-000250,-0.959377724485342
ACH-000251,-1.3919245085232483
ACH-000252,-1.1034746726838458
ACH-000253,-0.9177880058305776
ACH-000255,-1.014363991677631
ACH-000256,-1.0533649375750072
ACH-000257,-1.213791832061275
ACH-000258,-1.1705864149549396
ACH-000259,-1.2419162227656468
ACH-000260,-1.3129668429807584
ACH-000261,-1.1244934693141146
ACH-000262,-1.0692510945230649
ACH-000263,-1.0348177095745272
ACH-000264,-1.1532342185842257
