,RSL1D1 (26156)
ACH-000004,-0.9878480218188004
ACH-000005,-0.9986537170437414
ACH-000007,-0.9925856171819109
ACH-000009,-1.0222862996395308
ACH-000011,-0.658352429702994
ACH-000012,-1.010412486972449
ACH-000013,-1.1866012966564043
ACH-000014,-1.1163853883231205
ACH-000015,-1.007123966237262
ACH-000017,-0.7535314280363575
ACH-000018,-1.2794575752779964
ACH-000019,-0.972022203023816
ACH-000021,-0.9015721292745309
ACH-000022,-1.0699804994367714
ACH-000025,-0.9341674875776528
ACH-000028,-0.9255625150992994
ACH-000030,-0.9351211838132228
ACH-000035,-0.9933253315428616
ACH-000036,-0.9931840457403754
ACH-000037,-0.4305462904013201
ACH-000039,-0.7984813276587704
ACH-000040,-0.9117947546127532
ACH-000041,-0.9537664346350834
ACH-000042,-0.8915858437628199
ACH-000045,-0.8538896554501435
ACH-000047,-0.8337956239065227
ACH-000052,-0.9850313881428308
ACH-000053,-0.7835599478508574
ACH-000054,-0.9097928896621416
ACH-000055,-1.0405208653008318
ACH-000060,-0.8513484014803374
ACH-000067,-1.2248724728116944
ACH-000070,-1.0583609389738504
ACH-000075,-0.9023868141809088
ACH-000078,-1.0791014031354724
ACH-000082,-0.9663864687337184
ACH-000085,-0.961474592916186
ACH-000086,-1.0213045259122175
ACH-000087,-0.9759025993181888
ACH-000092,-0.9590903615780634
ACH-000095,-1.0075442585626275
ACH-000097,-1.0193080023815309
ACH-000098,-0.9502757646438704
ACH-000099,-0.9937818957039892
ACH-000108,-1.0375260339646075
ACH-000113,-0.8775384679905665
ACH-000116,-0.957712897752244
ACH-000118,-0.955288685264002
ACH-000120,-1.1250883586981495
ACH-000123,-0.809364234166573
ACH-000127,-1.0617638877831608
ACH-000128,-1.2055365586774809
ACH-000132,-1.1153311867634628
ACH-000133,-0.9276436410647508
ACH-000137,-0.9821049582867738
ACH-000138,-1.0498379910005875
ACH-000142,-1.0882847916126062
ACH-000143,-1.025244943364455
ACH-000146,-0.906893047719839
ACH-000148,-1.0661240223985389
ACH-000150,-1.038174558691861
ACH-000152,-0.8497622640438243
ACH-000153,-1.0250421489210988
ACH-000159,-1.0266565837947546
ACH-000160,-1.131719767769002
ACH-000163,-0.8346479748541437
ACH-000167,-1.207285375982042
ACH-000168,-0.830822093367476
ACH-000169,-1.0998180239422275
ACH-000178,-0.9397987278250162
ACH-000183,-1.1068029549189835
ACH-000188,-0.8995649700328495
ACH-000189,-0.9128060511079492
ACH-000190,-0.9255233836185168
ACH-000198,-0.8985549648097028
ACH-000203,-0.8362181346565108
ACH-000204,-0.925626119035262
ACH-000206,-1.0106906527882933
ACH-000207,-0.8937838782695431
ACH-000208,-1.048027102571386
ACH-000210,-0.8805213218615082
ACH-000211,-0.8872815391421741
ACH-000215,-1.1497247817618292
ACH-000221,-1.0846141050155396
ACH-000222,-0.8358392257297903
ACH-000223,-1.0353594922483933
ACH-000226,-0.8630145931128925
ACH-000227,-0.9523897388368342
ACH-000228,-0.8724504289516366
ACH-000231,-1.0330882246312827
ACH-000232,-1.1016529811006637
ACH-000233,-0.8108077234715708
ACH-000234,-0.8660317968366601
ACH-000235,-0.8777078899049946
ACH-000237,-1.0832984734441602
ACH-000238,-0.7479735415243917
ACH-000242,-1.0344932572200178
ACH-000243,-0.980569163509028
ACH-000244,-0.8428071052807025
ACH-000246,-1.053506069804338
ACH-000248,-1.0375525571449853
ACH-000250,-0.9555533536433316
ACH-000251,-0.8678496797117686
ACH-000252,-1.016372460417741
ACH-000253,-0.8434379081383209
ACH-000255,-0.98802127909945
ACH-000256,-1.0753388386702287
ACH-000257,-0.8507735030969182
ACH-000258,-0.8181454806777227
ACH-000259,-0.9018675341258942
ACH-000260,-0.9498241821702524
ACH-000261,-0.9593214663518514
ACH-000262,-0.8876984564611005
ACH-000263,-0.8690179326723986
ACH-000264,-0.8741119468861881
ACH-000265,-1.1127129145059125
ACH-000266,-0.9882531852686488
ACH-000272,-0.978852189989112
ACH-000274,-0.9141572622126614
ACH-000277,-0.7196795046188278
ACH-000278,-0.7959636866418206
ACH-000279,-0.9087256641128646
ACH-000280,-0.9844699452091132
ACH-000281,-0.9763188570409456
ACH-000288,-1.0218521684769977
ACH-000291,-0.9831549907814806
ACH-000293,-0.9184331291544264
ACH-000294,-0.6793763043226463
ACH-000295,-1.064574231263263
ACH-000296,-0.7900610120537761
ACH-000302,-1.0995647894564304
ACH-000304,-1.1596146121310735
ACH-000307,-1.0083924896331895
ACH-000308,-0.8386131389962973
ACH-000310,-0.940463665469084
ACH-000311,-0.9216013306319348
ACH-000312,-1.0011584373614797
ACH-000315,-0.7049553536574249
ACH-000316,-1.2490201708388655
ACH-000317,-1.0598061355112751
ACH-000318,-0.9555149831951728
ACH-000319,-1.2078290990954574
ACH-000320,-0.8956303553887833
ACH-000322,-1.1789216833327565
ACH-000323,-1.2274039260430836
ACH-000324,-0.8673669939674518
ACH-000329,-0.9172867126433802
ACH-000330,-1.0432072445573988
ACH-000331,-0.9421679113619842
ACH-000332,-1.0424795298249354
ACH-000334,-1.0527289212653737
ACH-000335,-1.1610481369512289
ACH-000336,-1.0112482251798889
ACH-000337,-0.9408453802630976
ACH-000338,-1.1763857810286125
