,PSG2 (5670)
ACH-000004,0.0419920006351737
ACH-000005,-0.22636715369597624
ACH-000007,-0.1385024736217174
ACH-000009,-0.05330563280711447
ACH-000011,-0.055557257041885535
ACH-000012,-0.10280057259605334
ACH-000013,-0.07964310780834183
ACH-000014,-0.062158515044254
ACH-000015,-0.2259777436813192
ACH-000017,0.03148172074607202
ACH-000018,0.02549570703861177
ACH-000019,0.035930768891698765
ACH-000021,-0.07032233875439263
ACH-000022,0.03227359833749318
ACH-000025,0.01692790846649061
ACH-000028,-0.11777519851556048
ACH-000030,-0.12436665736568885
ACH-000035,0.2260455171438181
ACH-000036,0.0698984592487265
ACH-000037,0.029565516454880637
ACH-000039,-0.19135956253069755
ACH-000040,0.14136523382119878
ACH-000041,0.11752994851503355
ACH-000042,0.2444928448943188
ACH-000045,0.014797339678506053
ACH-000047,0.038470996646607455
ACH-000052,-0.15517868088362993
ACH-000053,-0.09926004339983667
ACH-000054,-0.1872786094127966
ACH-000055,0.06548454298685358
ACH-000060,0.02959176234413173
ACH-000067,-0.04434876998964357
ACH-000070,-0.0117323693173281
ACH-000075,-0.08805990941698891
ACH-000078,0.21102625095780608
ACH-000082,0.01225026884689374
ACH-000085,-0.10419047672942564
ACH-000086,-0.11493964879982592
ACH-000087,-0.2808980568346038
ACH-000092,-0.001242197414406649
ACH-000095,-0.14889036399374567
ACH-000097,-0.13251844557519496
ACH-000098,-0.16979706318780222
ACH-000099,-0.07640457528707224
ACH-000108,-0.0661036443332596
ACH-000113,0.06272452259800683
ACH-000116,0.010299965421160616
ACH-000118,-0.008320053191437022
ACH-000120,-0.08021494895447515
ACH-000123,-0.0411686189332933
ACH-000127,0.07624407396994043
ACH-000128,-0.10249548281793122
ACH-000132,-0.0022510844890245604
ACH-000133,0.09878653412156813
ACH-000137,-0.13901478920107618
ACH-000138,-0.14779516840619006
ACH-000142,0.03155392700371624
ACH-000143,0.14509378235361226
ACH-000146,0.009876724427087593
ACH-000148,-0.014611583926339416
ACH-000150,-0.015226376223628182
ACH-000152,-0.02929939219536084
ACH-000153,-0.12019117892810187
ACH-000159,-0.10233000770225244
ACH-000160,-0.15622901810139245
ACH-000163,-0.03283893794542225
ACH-000167,-0.05024836373357724
ACH-000168,-0.2818331430470499
ACH-000169,0.07033333250668364
ACH-000178,-0.07647169722501662
ACH-000183,0.021671655178469983
ACH-000188,0.054023792198684084
ACH-000189,0.3447020873315181
ACH-000190,0.11584123272347625
ACH-000198,0.014458340722667131
ACH-000203,0.3192977992713769
ACH-000204,0.024571464337276847
ACH-000206,0.0321468399186497
ACH-000207,0.06993596254172736
ACH-000208,-0.3059446347028209
ACH-000210,0.0824293704044211
ACH-000211,-0.06493965363309047
ACH-000215,-0.07253260719050553
ACH-000221,-0.2862020787753595
ACH-000222,-0.010294119894342441
ACH-000223,0.01634473666155284
ACH-000226,-0.0032234110592606643
ACH-000227,0.022774993853448423
ACH-000228,0.01622369758169889
ACH-000231,0.0548644109573705
ACH-000232,0.0444472656213789
ACH-000233,-0.1810053002597446
ACH-000234,0.0715801460830661
ACH-000235,0.04886098235288066
ACH-000237,-0.10370102976990532
ACH-000238,0.025423402338638643
ACH-000242,-0.32864530093711797
ACH-000243,-0.0741124686380513
ACH-000244,0.04693688264508528
ACH-000246,-0.13512036786252946
ACH-000248,-0.007478381272138739
ACH-000250,-0.0819816568943043
ACH-000251,0.015668918321605534
ACH-000252,-0.03123392421955808
ACH-000253,0.04355966131575405
ACH-000255,-0.10815748397109537
ACH-000256,0.0716361953126993
ACH-000257,-0.037926147306765294
ACH-000258,-0.025897226633963277
ACH-000259,-0.045450611325938084
ACH-000260,-0.06510558621638525
ACH-000261,-0.031386254467254675
ACH-000262,-0.15589162236378198
ACH-000263,0.27379985466055384
ACH-000264,0.08165912451318677
ACH-000265,-0.06835029334142692
ACH-000266,-0.06940966685364443
ACH-000272,0.03991634503744588
ACH-000274,-0.002157352348713054
ACH-000277,0.12490832374178558
ACH-000278,0.02583134941516733
ACH-000279,0.010527494200797316
