,ZDHHC16 (84287)
ACH-000004,-0.3469230900856745
ACH-000005,-0.4475693151968471
ACH-000007,-0.09636264036786864
ACH-000009,-0.1748826100885363
ACH-000011,-0.07419011973563983
ACH-000012,-0.14805660032814594
ACH-000013,-0.14284520801967948
ACH-000014,-0.2906677227097045
ACH-000015,-0.2437405736585271
ACH-000017,-0.1330020926716674
ACH-000018,-0.2902636912991419
ACH-000019,-0.35962008278389634
ACH-000021,-0.20361401775475427
ACH-000022,-0.14330083070478564
ACH-000025,-0.2426943177546219
ACH-000028,-0.22422390265740486
ACH-000030,-0.2721979150141744
ACH-000035,-0.2797385811798634
ACH-000036,-0.42129055199315546
ACH-000037,-0.2641245550032458
ACH-000039,-0.16740726884220206
ACH-000040,-0.3861392821951432
ACH-000041,-0.5056571106650067
ACH-000042,-0.21779845149477986
ACH-000045,-0.17384021580980186
ACH-000047,-0.18399382463630976
ACH-000052,-0.5150418526460053
ACH-000053,-0.2529337378882846
ACH-000054,-0.2617586238293391
ACH-000055,-0.18283180088642867
ACH-000060,-0.15571864227773433
ACH-000067,-0.4898392315570865
ACH-000070,-0.2132090869935681
ACH-000075,-0.4459503509376274
ACH-000078,-0.3478437451520362
ACH-000082,-0.1499497909045886
ACH-000085,-0.3443549411378621
ACH-000086,-0.4076533797222152
ACH-000087,0.0011660523525862446
ACH-000092,-0.2694025689481331
ACH-000095,-0.28705472287041817
ACH-000097,-0.2499657891477187
ACH-000098,-0.20646696179142085
ACH-000099,-0.267921567850546
ACH-000108,-0.2853587929291556
ACH-000113,-0.27639130434088405
ACH-000116,-0.355213201778857
ACH-000118,-0.11320497579649627
ACH-000120,-0.17012687001195076
ACH-000123,-0.2554597573980706
ACH-000127,-0.29574745211840003
ACH-000128,-0.18602104010165765
ACH-000132,-0.19018740003268733
ACH-000133,-0.32886853341183714
ACH-000137,-0.083110614908939
ACH-000138,-0.14663447090583867
ACH-000142,0.056599256616938765
ACH-000143,-0.44905438028280426
ACH-000146,-0.2690559272238484
ACH-000148,-0.3877866770688598
ACH-000150,-0.2910555019639906
ACH-000152,-0.3073010155682474
ACH-000153,0.02174201652266517
ACH-000159,-0.2724459764088717
ACH-000160,-0.15903428080890364
ACH-000163,-0.2825463872848807
ACH-000167,0.15433397582567945
ACH-000168,-0.4445148644115143
ACH-000169,-0.3174739275638297
ACH-000178,-0.2608046499904708
ACH-000183,-0.24160469837112944
ACH-000188,-0.2607278387120433
ACH-000189,-0.3160820623501487
ACH-000190,-0.32856303896409056
ACH-000198,-0.20865383687888453
ACH-000203,-0.8512454489623149
ACH-000204,-0.2653101336548949
ACH-000206,-0.3609220407330487
ACH-000207,-0.37020572537259533
ACH-000208,-0.14810723536138815
ACH-000210,-0.3147385871070684
ACH-000211,-0.26434800347847465
ACH-000215,-0.2291683545360973
ACH-000221,-0.3381923695942963
ACH-000222,-0.1255745441138643
ACH-000223,-0.2594849204445182
ACH-000226,-0.2659121729026855
ACH-000227,-0.2833024004044853
ACH-000228,-0.22209941371165146
ACH-000231,-0.2456078823056593
ACH-000232,-0.2810791061429841
ACH-000233,-0.22396085552264772
ACH-000234,-0.1923012709171844
ACH-000235,-0.3042315650438421
ACH-000237,-0.2301196204766412
ACH-000238,-0.2194747964198572
ACH-000242,-0.21537998502720607
ACH-000243,-0.07164926792553494
ACH-000244,-0.055771723730674565
ACH-000246,-0.2717469147485757
ACH-000248,-0.13221618002050786
ACH-000250,-0.29000686178574114
ACH-000251,-0.3929254609776111
ACH-000252,-0.5106024443689064
ACH-000253,-0.2012350845775442
ACH-000255,-0.20197209993638007
ACH-000256,-0.19279748863423427
ACH-000257,-0.325128510052408
ACH-000258,-0.3830659370102418
ACH-000259,-0.18432347540927813
ACH-000260,-0.06768400166405562
ACH-000261,-0.26095540680215923
ACH-000262,-0.19216888365927415
ACH-000263,-0.4952891606307222
ACH-000264,-0.2837644429090145
ACH-000265,-0.17290003556995415
ACH-000266,-0.16546703329628967
ACH-000272,-0.12171940134750968
ACH-000274,-0.2961383260147717
ACH-000277,-0.12796207158272774
ACH-000278,-0.2629487067437173
ACH-000279,-0.3144210497216037
ACH-000280,-0.2147467984468752
ACH-000281,-0.3230223715666486
ACH-000288,-0.29322665274091914
ACH-000291,-0.1958624223933541
ACH-000293,-0.3659263312759802
ACH-000294,-0.2846175770558063
ACH-000295,-0.2868544978621597
ACH-000296,-0.13259238279317673
ACH-000302,-0.20598591489096374
ACH-000304,0.16892217280170388
