,SNRPB2 (6629)
ACH-000004,-0.4111526567312968
ACH-000005,0.013916003998182694
ACH-000007,-0.9023078658391659
ACH-000009,-0.6079390255962321
ACH-000011,-0.25692330391789514
ACH-000012,-0.6650603136115418
ACH-000013,-0.16922906333951396
ACH-000014,-0.3310213024141473
ACH-000015,-0.46676856209600703
ACH-000017,-0.6840286948773755
ACH-000018,-0.5526005482801845
ACH-000019,-0.4367935603596265
ACH-000021,-0.09072579394108192
ACH-000022,-0.4371294189783464
ACH-000025,-0.4913373439408108
ACH-000028,-0.7489114902013343
ACH-000030,-0.6077506081645458
ACH-000035,-0.7441930952975608
ACH-000036,-0.6629169836475907
ACH-000037,-0.2982023421506506
ACH-000039,-0.5014257413765036
ACH-000040,-0.6042178556666994
ACH-000041,-0.3169722570652682
ACH-000042,-0.5697621576291052
ACH-000045,-0.1309748788291234
ACH-000047,-0.22325656348657769
ACH-000052,-0.42403880725239856
ACH-000053,-0.4166713281056152
ACH-000054,-0.34955742360873504
ACH-000055,-0.09915821008700318
ACH-000060,-0.2375036999074851
ACH-000067,-0.7991729203819716
ACH-000070,-0.052799045151921804
ACH-000075,-0.5837531869951961
ACH-000078,-0.28001548855351843
ACH-000082,-0.01791987562718149
ACH-000085,-0.5064180873312669
ACH-000086,-0.007710970393369335
ACH-000087,-0.5216270447016768
ACH-000092,-0.3659103284340416
ACH-000095,0.0009086499111751668
ACH-000097,-1.1042789569912559
ACH-000098,-0.014390303850298668
ACH-000099,-0.06644711515954932
ACH-000108,-0.4597683792448239
ACH-000113,-0.3121153643378567
ACH-000116,-0.7072128718560134
ACH-000118,-0.7984771093855809
ACH-000120,-0.017332907418855986
ACH-000123,-0.2073320518046444
ACH-000127,-0.6009336252539265
ACH-000128,-0.0500304220537643
ACH-000132,-0.03576136918385346
ACH-000133,-0.4610068976549183
ACH-000137,-0.6938178326850977
ACH-000138,-0.2014005838399363
ACH-000142,-0.6908788675985721
ACH-000143,-0.27991379276133765
ACH-000146,-0.7632266795653482
ACH-000148,-0.11097903734501068
ACH-000150,-0.05691806667590575
ACH-000152,-0.9551575454426192
ACH-000153,-0.9021019081101674
ACH-000159,-0.7859488236828706
ACH-000160,-0.3893269530240952
ACH-000163,-0.6558145449678899
ACH-000167,-0.7027672482595814
ACH-000168,-0.6920107502252235
ACH-000169,0.0203536450426343
ACH-000178,-0.11226253922770896
ACH-000183,-0.4609166978316576
