,PTOV1 (53635)
ACH-000004,-0.22262396892079173
ACH-000005,-0.3785568228383089
ACH-000007,-0.2630958940929307
ACH-000009,-0.3347771105932257
ACH-000011,-0.3147129932567819
ACH-000012,-0.2890260588770513
ACH-000013,-0.3680388689482916
ACH-000014,-0.2400653652854476
ACH-000015,-0.2395546316510356
ACH-000017,-0.17877010695848228
ACH-000018,-0.05484415630324424
ACH-000019,-0.23951853866834055
ACH-000021,-0.3050616521967814
ACH-000022,-0.19177381973159685
ACH-000025,-0.14243464292083882
ACH-000028,-0.14285805250750674
ACH-000030,-0.1904080557752164
ACH-000035,-0.13486046218774195
ACH-000036,-0.11150024987452233
ACH-000037,-0.1931431000437196
ACH-000039,-0.3307970446125465
ACH-000040,-0.17478206618012904
ACH-000041,-0.10755483484530208
ACH-000042,-0.2027466174144489
ACH-000045,-0.2783498012290853
ACH-000047,-0.186751233922706
ACH-000052,-0.11973034107825778
ACH-000053,-0.21303386305984334
ACH-000054,-0.171965913454715
ACH-000055,-0.3490935263529944
ACH-000060,-0.29510011669035363
ACH-000067,-0.057526968792059825
ACH-000070,-0.03198927252750156
ACH-000075,-0.34499444368163745
ACH-000078,-0.1926620940054596
ACH-000082,-0.10547319273142093
ACH-000085,-0.1776739913046959
ACH-000086,-0.1691428018699511
ACH-000087,0.032336069950682826
ACH-000092,-0.1615795039213446
ACH-000095,-0.12889003947634334
ACH-000097,-0.3320796357861181
ACH-000098,-0.08371753541892993
ACH-000099,-0.2736079148546153
ACH-000108,-0.27062784682935875
ACH-000113,-0.08821422321729806
ACH-000116,-0.10880763620018666
ACH-000118,-0.15774036107726505
ACH-000120,-0.12035327229404093
ACH-000123,-0.1785347562528895
ACH-000127,-0.28244472207547155
ACH-000128,-0.022764887571964074
ACH-000132,-0.3038433972219899
ACH-000133,-0.23836583105003176
ACH-000137,-0.22187553091331505
ACH-000138,-0.17699757963349955
ACH-000142,-0.16961530655673235
ACH-000143,-0.2045045472102502
ACH-000146,-0.2922678544810563
ACH-000148,-0.08821693422449316
ACH-000150,-0.2828158167208997
ACH-000152,-0.17513531984739886
ACH-000153,-0.11757900876073155
ACH-000159,-0.3137700704740365
ACH-000160,-0.0329959107786353
ACH-000163,-0.1890919832522719
ACH-000167,0.07319673854498647
ACH-000168,-0.08043718089368458
ACH-000169,-0.10163736872128278
ACH-000178,-0.2188398555772085
ACH-000183,-0.1421081336350784
ACH-000188,-0.18427644459316825
ACH-000189,-0.4336488538314719
ACH-000190,-0.3220817394807046
ACH-000198,-0.2846014923815264
ACH-000203,-0.27039396267861915
ACH-000204,-0.2022979336771794
ACH-000206,-0.3571670063326151
ACH-000207,-0.3314971901344965
ACH-000208,-0.4466513300542669
ACH-000210,-0.14036475750106273
ACH-000211,-0.13746798683349215
ACH-000215,-0.16122289067104714
ACH-000221,-0.11778399784769188
ACH-000222,-0.2866434073979076
ACH-000223,-0.1582620255156152
ACH-000226,-0.14382401120387892
ACH-000227,-0.10154633136340653
ACH-000228,-0.16841439433601527
ACH-000231,-0.15825000926474594
ACH-000232,-0.20988232005319366
ACH-000233,-0.19096613434655693
ACH-000234,-0.184997196703658
ACH-000235,-0.26055960988907706
ACH-000237,-0.12537503566689992
ACH-000238,-0.03171282363963289
ACH-000242,-0.3793248006202026
ACH-000243,-0.19622245719072112
