,YIF1A (10897)
ACH-000004,-0.11478391031737853
ACH-000005,0.26092277212056725
ACH-000007,-0.13580927598011652
ACH-000009,0.06319322564570429
ACH-000011,-0.07343029652225888
ACH-000012,-0.1089803232693036
ACH-000013,-0.12165552495446455
ACH-000014,0.04282291586382463
ACH-000015,0.06272512777339602
ACH-000017,-0.1045895575246584
ACH-000018,-0.2229231874428402
ACH-000019,-0.15694958712643184
ACH-000021,-0.2099064088676068
ACH-000022,-0.052421914507738365
ACH-000025,-0.18378435710452348
ACH-000028,-0.06802113386354429
ACH-000030,-0.11150558697306484
ACH-000035,0.023884542627556585
ACH-000036,-0.051238061152213264
ACH-000037,-0.2312556583699874
ACH-000039,-0.1982222316402986
ACH-000040,-0.16496200288859314
ACH-000041,0.01900801516528202
ACH-000042,-0.17606273094069416
ACH-000045,-0.01653830863302303
ACH-000047,0.02538885871332384
ACH-000052,-0.045813573363887486
ACH-000053,-0.027672605549381172
ACH-000054,0.07575451965453063
ACH-000055,-0.2232702897204973
ACH-000060,-0.15540448431936288
ACH-000067,-0.09085951729851084
ACH-000070,0.021521874726271997
ACH-000075,-0.03993313027164923
ACH-000078,0.0024087670844782395
ACH-000082,-0.28019948505316306
ACH-000085,-0.08559186801549204
ACH-000086,-0.12140395762663958
ACH-000087,-0.01730764755204921
ACH-000092,-0.1369315867949752
ACH-000095,-0.09449047896797752
ACH-000097,-0.2482771936373704
ACH-000098,0.00172770691685031
ACH-000099,-0.12299289491421328
ACH-000108,-0.13119981291185248
ACH-000113,0.0189149856278542
ACH-000116,-0.15257329837697325
ACH-000118,-0.017504535983550732
ACH-000120,-0.07434445915812689
ACH-000123,-0.11708903654854667
ACH-000127,-0.06204551399131965
ACH-000128,-0.06682959461722199
ACH-000132,-0.31074605724841303
ACH-000133,-0.121689607838415
ACH-000137,-0.12117520081654155
ACH-000138,-0.08505015117183559
ACH-000142,-0.07488787216496537
ACH-000143,0.07196575026775455
ACH-000146,0.019075512707259518
ACH-000148,0.058049964010645674
ACH-000150,-0.3481030256552579
ACH-000152,-0.03360277465334733
ACH-000153,-0.5694794319758548
ACH-000159,0.04410664213978698
ACH-000160,-0.05219289388004581
ACH-000163,-0.03423559416523024
ACH-000167,-0.1045182728369141
ACH-000168,-0.02596076440990949
ACH-000169,-0.11170301773315967
ACH-000178,-0.003708381855539352
ACH-000183,-0.12327215483158592
ACH-000188,-0.3507280512842254
ACH-000189,-0.0707013594960788
ACH-000190,0.1851541763027892
ACH-000198,-0.13469251356777498
ACH-000203,-0.07547825502054695
ACH-000204,-0.18612574616740296
ACH-000206,0.20799544812622234
ACH-000207,-0.16879940586035672
ACH-000208,-0.12127780818479975
ACH-000210,-0.36157597879215453
ACH-000211,-0.17434623122560852
ACH-000215,-0.07441269285182188
ACH-000221,-0.16684686313271976
ACH-000222,0.05320886907601702
ACH-000223,0.034645379138634566
ACH-000226,-0.03605276723204242
ACH-000227,0.08463469373415101
ACH-000228,-0.2626396494561168
ACH-000231,0.02276085823773047
ACH-000232,0.027719171896133103
ACH-000233,-0.051071508000213664
ACH-000234,-0.16093736311100726
ACH-000235,-0.013817596457659379
ACH-000237,-0.19406596072214352
ACH-000238,-0.3588676614957362
ACH-000242,-0.043295252892666086
ACH-000243,-0.024145286018369568
ACH-000244,0.13005546917277813
ACH-000246,-0.10704753534595357
ACH-000248,-0.010966189386629995
ACH-000250,0.018121598193608583
ACH-000251,-0.016195597288210573
ACH-000252,0.0360822887617662
ACH-000253,-0.0921911997093552
ACH-000255,-0.11201127806544814
ACH-000256,-0.16658689216628828
ACH-000257,0.15076279514464616
ACH-000258,-0.1062382556171072
ACH-000259,-0.06664724757927194
ACH-000260,-0.15487258512630991
ACH-000261,-0.15510433073865662
ACH-000262,-0.3048002015479853
ACH-000263,0.1358815659389863
ACH-000264,-0.10333276630549423
ACH-000265,-0.19242143903973508
ACH-000266,-0.1932458084621444
ACH-000272,0.00225355315121888
ACH-000274,0.11165477314091383
ACH-000277,-0.20400257535240487
ACH-000278,-0.16908687693945826
ACH-000279,0.03798621016003125
ACH-000280,-0.09494936156198404
ACH-000281,-0.15483090613255998
ACH-000288,-0.17207077086980666
ACH-000291,-0.08062313110405499
ACH-000293,-0.1139011219039988
