,PELP1 (27043)
ACH-000004,-1.1841801611251843
ACH-000005,-1.4825529539259596
ACH-000007,-1.2283658994055435
ACH-000009,-1.3849151679870386
ACH-000011,-1.2194435316290038
ACH-000012,-1.1599379087841644
ACH-000013,-1.2309602200054466
ACH-000014,-1.1531650397663784
ACH-000015,-1.2076852326894778
ACH-000017,-1.2833435200013306
ACH-000018,-1.259516568354686
ACH-000019,-0.8937264033546902
ACH-000021,-1.1180155974560426
ACH-000022,-1.1585597431204833
ACH-000025,-1.0332725615822116
ACH-000028,-0.9402671641725524
ACH-000030,-1.1984266158231829
ACH-000035,-1.2106123140891238
ACH-000036,-1.1933654563756098
ACH-000037,-1.541066433930469
ACH-000039,-1.200051464340261
ACH-000040,-1.2467517161820618
ACH-000041,-1.3764093270783415
ACH-000042,-1.325919030778597
ACH-000045,-1.1278748227319642
ACH-000047,-1.0501663121561176
ACH-000052,-1.1579057539598876
ACH-000053,-1.2369759313223054
ACH-000054,-1.127065177487624
ACH-000055,-1.1789862498251282
ACH-000060,-1.4227808526844894
ACH-000067,-1.3384964393105454
ACH-000070,-0.9205058262116592
ACH-000075,-1.0135973986713405
ACH-000078,-1.1452308977700274
ACH-000082,-0.9268518761941512
ACH-000085,-1.657060562793917
ACH-000086,-1.2649888376154859
ACH-000087,-1.041244542098586
ACH-000092,-0.9488785960693872
ACH-000095,-1.0402656846896643
ACH-000097,-1.2979931007317465
ACH-000098,-1.3744905151573543
ACH-000099,-1.2165491732076117
ACH-000108,-1.2305040766733402
ACH-000113,-0.9077750554383208
ACH-000116,-1.2152850250878748
ACH-000118,-1.1835238825969367
ACH-000120,-1.1564089181279764
ACH-000123,-1.156302104353765
ACH-000127,-1.1952208487229452
ACH-000128,-1.1412427385376291
ACH-000132,-1.0086931554949068
ACH-000133,-1.1787726078151173
ACH-000137,-0.9803163876901754
ACH-000138,-1.3083812442310871
ACH-000142,-1.1698741821598797
ACH-000143,-1.3813861143917068
ACH-000146,-1.244525697171823
ACH-000148,-1.2673107807596924
ACH-000150,-1.1473669597950291
ACH-000152,-1.2155977045256987
ACH-000153,-1.4336976495719944
ACH-000159,-1.2319649379376876
ACH-000160,-0.8865582647262399
ACH-000163,-1.1634993826129991
ACH-000167,-0.9649118073225268
ACH-000168,-1.1930280470895334
ACH-000169,-1.1324435320059958
ACH-000178,-1.109015537101419
ACH-000183,-1.368103442113662
ACH-000188,-1.1700644700987093
ACH-000189,-1.020621389652926
ACH-000190,-0.8385673832858518
ACH-000198,-1.042338785860474
ACH-000203,-1.0829458062486317
ACH-000204,-1.0918522814042566
ACH-000206,-1.0578694659970214
ACH-000207,-0.8961889542061088
ACH-000208,-1.1576010514291393
ACH-000210,-1.2024578597811637
ACH-000211,-1.1431826372630018
ACH-000215,-1.1807169990610815
ACH-000221,-1.287511860027304
ACH-000222,-1.2166483924409377
ACH-000223,-1.1109535794077299
ACH-000226,-1.0592704380771985
ACH-000227,-0.874040199874068
