,HIST2H2BF (440689)
ACH-000004,-0.2162699093759692
ACH-000005,-0.3901100501343929
ACH-000007,-0.2363293368458791
ACH-000009,-0.3740873985300269
ACH-000011,-0.4526546011938952
ACH-000012,-0.4269323824153173
ACH-000013,-0.4064322205787829
ACH-000014,-0.2538335714748868
ACH-000015,-0.354390675173618
ACH-000017,-0.3515858045145054
ACH-000018,-0.4213820231026653
ACH-000019,-0.4543467062211728
ACH-000021,-0.3973652488822659
ACH-000022,-0.44804988712849103
ACH-000025,-0.3686585337211127
ACH-000028,-0.5397226991867542
ACH-000030,-0.3843160101364104
ACH-000035,-0.38219438461064204
ACH-000036,-0.4016121217225632
ACH-000037,-0.3052771214925648
ACH-000039,-0.40997430482499697
ACH-000040,-0.5155374338892771
ACH-000041,-0.5607296960694161
ACH-000042,-0.4942691611183593
ACH-000045,-0.4566044798280285
ACH-000047,-0.4081494160295879
ACH-000052,-0.3547627242542877
ACH-000053,-0.43167337105068093
ACH-000054,-0.3032967372456598
ACH-000055,-0.4163372215294122
ACH-000060,-0.4451381885259512
ACH-000067,-0.1945230382635636
ACH-000070,-0.3821392308967326
ACH-000075,-0.5698725506280289
ACH-000078,-0.5702901020798266
ACH-000082,-0.3263107557656317
ACH-000085,-0.2357887514899231
ACH-000086,-0.5488433536855863
ACH-000087,-0.20345629333742607
ACH-000092,-0.5663714186617199
ACH-000095,-0.4623317426595591
ACH-000097,-0.3520732067284413
ACH-000098,-0.4880958127598602
ACH-000099,-0.3622104545213529
ACH-000108,-0.3314678736152487
ACH-000113,-0.3406855890947097
ACH-000116,-0.3320334812441421
ACH-000118,-0.4012484743820145
ACH-000120,-0.23357153702312936
ACH-000123,-0.5321679155534538
ACH-000127,-0.4087077272073626
ACH-000128,-0.5145928179779362
ACH-000132,-0.4278090959577001
ACH-000133,-0.6786176606245813
ACH-000137,-0.3988048589401941
ACH-000138,-0.2569152303078159
ACH-000142,-0.2802678246192241
ACH-000143,-0.3505279744517433
ACH-000146,-0.4611063711041563
ACH-000148,-0.4433600572675411
ACH-000150,-0.3866030728073145
ACH-000152,-0.3085456237716965
ACH-000153,-0.4816025075485175
ACH-000159,-0.5070690035938314
ACH-000160,-0.22921288977535198
ACH-000163,-0.32511929570456344
ACH-000167,-0.059241200621368034
ACH-000168,-0.3602996628674818
ACH-000169,-0.4406471745694675
ACH-000178,-0.3532841282320849
ACH-000183,-0.09383115081732192
ACH-000188,-0.5375265386118542
ACH-000189,-0.4475203450082365
ACH-000190,-0.14414456596836026
ACH-000198,-0.3626028820039477
ACH-000203,0.10041621232689638
ACH-000204,-0.4614417505243526
ACH-000206,-0.4895075172547749
ACH-000207,-0.10241484464542804
ACH-000208,-0.18725162057504416
ACH-000210,-0.2961457824269565
ACH-000211,-0.3854212215966223
ACH-000215,-0.4847973067362281
ACH-000221,-0.3118484453202925
ACH-000222,-0.2779064582238693
ACH-000223,-0.4226157040430911
ACH-000226,-0.35650899718966617
ACH-000227,-0.4225567202810127
ACH-000228,-0.3936730041090009
ACH-000231,-0.4098451585035941
ACH-000232,-0.3936435742827698
ACH-000233,-0.4938872293437685
ACH-000234,-0.6225907790524301
ACH-000235,-0.4038489774843657
ACH-000237,-0.3918321672044671
ACH-000238,-0.14178211159666995
ACH-000242,-0.29473584376730816
ACH-000243,-0.3643450981677493
