,ECT2L (345930)
ACH-000004,-0.298776955222477
ACH-000005,-0.5325034068827811
ACH-000007,-0.22740541968768374
ACH-000009,-0.3042481825015014
ACH-000011,-0.34437857485233897
ACH-000012,-0.12808450397868185
ACH-000013,-0.2733366947391725
ACH-000014,-0.2355956359861188
ACH-000015,-0.10920580479413672
ACH-000017,-0.19744564692074926
ACH-000018,-0.4163093787750504
ACH-000019,-0.4421630192551816
ACH-000021,-0.4947300504962228
ACH-000022,-0.26220790573652597
ACH-000025,-0.3569427230331002
ACH-000028,-0.4678282306544719
ACH-000030,-0.2532916504921835
ACH-000035,-0.2132533665989429
ACH-000036,-0.3163626816206662
ACH-000037,-0.19410292369999751
ACH-000039,-0.3737474762992419
ACH-000040,-0.5998729759537185
ACH-000041,-0.3403098912736903
ACH-000042,-0.23447687814686505
ACH-000045,-0.3351730971277904
ACH-000047,-0.3205454944345723
ACH-000052,-0.07172517114132193
ACH-000053,-0.24542120025998945
ACH-000054,-0.3732136182899588
ACH-000055,-0.5232920500338508
ACH-000060,-0.3159235545513609
ACH-000067,-0.41636391833692105
ACH-000070,-0.31547888551738285
ACH-000075,-0.4037595289486611
ACH-000078,-0.40475028824768666
ACH-000082,-0.31849483492479785
ACH-000085,-0.3459246570767522
ACH-000086,-0.2285063832210541
ACH-000087,-0.021436858013937254
ACH-000092,-0.4001882688928385
ACH-000095,-0.4527995713718246
ACH-000097,-0.3225210833112192
ACH-000098,-0.17823471933668564
ACH-000099,-0.2839287224839525
ACH-000108,-0.23636606452869666
ACH-000113,-0.3571511387550125
ACH-000116,-0.33436517836561624
ACH-000118,-0.3619299447036874
ACH-000120,-0.2849234465675772
ACH-000123,-0.11119466525325399
ACH-000127,-0.39292781246390907
ACH-000128,-0.3713225539959899
ACH-000132,-0.3637646984971769
ACH-000133,-0.3562351316117555
ACH-000137,-0.3330709871125025
ACH-000138,-0.2759155364359385
ACH-000142,-0.17626332726455285
ACH-000143,-0.3723843820575167
ACH-000146,-0.2505326639180173
ACH-000148,-0.2347331497594647
ACH-000150,-0.3649024282427472
ACH-000152,-0.38998972874355
ACH-000153,-0.2744739237453351
ACH-000159,-0.3258971149790799
ACH-000160,-0.29331965391525605
ACH-000163,-0.1356007341919083
ACH-000167,-0.4216996493027888
ACH-000168,-0.3947272337843509
ACH-000169,-0.2306957750422093
ACH-000178,-0.2719908166717641
ACH-000183,-0.2965473770568609
ACH-000188,-0.14998247911206955
ACH-000189,-0.3501592069392284
ACH-000190,-0.2295132196599595
ACH-000198,-0.32265588507924603
ACH-000203,-0.12796007406196344
ACH-000204,-0.4864148780915009
ACH-000206,-0.4620499158871295
ACH-000207,-0.4143222819847565
ACH-000208,-0.5816046502676637
ACH-000210,-0.2652877208025271
ACH-000211,-0.31839510477077737
ACH-000215,-0.38647345830389424
ACH-000221,-0.16742447545673753
ACH-000222,-0.11321679354306255
ACH-000223,-0.5838551701877381
ACH-000226,-0.4171478241118615
ACH-000227,-0.5660908996531611
ACH-000228,-0.39244007475819537
ACH-000231,-0.3099182177299209
ACH-000232,-0.4165708718678095
ACH-000233,-0.3098799046571597
ACH-000234,-0.3408314515808413
ACH-000235,-0.3637224849292002
ACH-000237,-0.3987393594371689
ACH-000238,-0.2283066375189661
ACH-000242,0.03564640378186623
ACH-000243,-0.31074464437960075
ACH-000244,0.029577018570027494
ACH-000246,-0.3307585224579101
ACH-000248,-0.39706531430624864
ACH-000250,-0.3332121303460667
ACH-000251,-0.2670057096652764
ACH-000252,-0.2428547087448404
ACH-000253,-0.3849574474690967
ACH-000255,-0.4281381469552943
ACH-000256,-0.24247988698548306
ACH-000257,-0.4692719483890727
ACH-000258,-0.2803769232554708
ACH-000259,-0.3314707461834456
ACH-000260,-0.2516760344658298
ACH-000261,-0.4761574978108172
ACH-000262,-0.4631222588307853
ACH-000263,-0.3398162234676144
ACH-000264,-0.2989920892085564
ACH-000265,-0.1615434385687742
ACH-000266,-0.3226007454416049
ACH-000272,-0.3980300103157707
ACH-000274,-0.498330093898099
ACH-000277,-0.3939617539757129
