,REPIN1 (29803)
ACH-000004,-0.0824666759593012
ACH-000005,0.05080618804631768
ACH-000007,-0.05593260064544387
ACH-000009,-0.11008404664310804
ACH-000011,-0.08016227160735337
ACH-000012,-0.1808807814980904
ACH-000013,-0.0472974961556759
ACH-000014,-0.1506442130957114
ACH-000015,-0.04145682009700028
ACH-000017,0.024036729209701718
ACH-000018,0.15762469367207976
ACH-000019,-0.1384727840894607
ACH-000021,-0.1277512463739664
ACH-000022,-0.06032931548923064
ACH-000025,-0.046450510066217005
ACH-000028,0.044179732171117744
ACH-000030,-0.04109502612381629
ACH-000035,-0.07937311746053552
ACH-000036,-0.2147520287749146
ACH-000037,-0.15467703115313286
ACH-000039,-0.20343422687439103
ACH-000040,-0.17866352003175154
ACH-000041,-0.21409593932153895
ACH-000042,-0.014182431355932062
ACH-000045,-0.15178025834747255
ACH-000047,0.06032135793511085
ACH-000052,-0.114131559203919
ACH-000053,-0.06474061569808326
ACH-000054,-0.003026464652134421
ACH-000055,0.02219283777282519
ACH-000060,-0.2293272242032596
ACH-000067,-0.17133557293209034
ACH-000070,-0.000421095839622194
ACH-000075,-0.07547746029274352
ACH-000078,-0.08505929250578645
ACH-000082,-0.07156564322465936
ACH-000085,0.2890590315030491
ACH-000086,0.053011209179691834
ACH-000087,-0.057857238740108036
ACH-000092,0.002365957050974066
ACH-000095,-0.16048988938856595
ACH-000097,0.008364927790213127
ACH-000098,-0.050073507790328806
ACH-000099,-0.12533117612098907
ACH-000108,-0.0005179782422387248
ACH-000113,-0.06424658395405658
ACH-000116,-0.08028069376943563
ACH-000118,-0.04475686842763702
ACH-000120,-0.1842377012000675
ACH-000123,-0.15991161719359867
ACH-000127,-0.08499052851200432
ACH-000128,0.003812467079052544
ACH-000132,-0.13367494857026507
ACH-000133,-0.14898089579350487
ACH-000137,-0.10834230999438403
ACH-000138,0.1053884627831113
ACH-000142,-0.0691177959898439
ACH-000143,-0.05260792591455589
ACH-000146,-0.14535917617005814
ACH-000148,-0.035794051170740394
ACH-000150,0.07286151888596283
ACH-000152,-0.08900598899005317
ACH-000153,-0.27112755045750464
ACH-000159,-0.09851508100099328
ACH-000160,-0.06461893092285786
ACH-000163,-0.19506314942014544
ACH-000167,-0.1595459709844289
ACH-000168,0.056456737232691824
ACH-000169,-0.017152180181181798
ACH-000178,-0.15255374245674286
ACH-000183,-0.222857312731976
ACH-000188,-0.08655989908424552
ACH-000189,-0.17180793175842396
ACH-000190,0.04101586200685785
ACH-000198,-0.0576096815704673
ACH-000203,-0.5991729407466827
ACH-000204,-0.12647936979893132
ACH-000206,-0.13752711462634973
ACH-000207,0.05134232566460787
ACH-000208,0.051796850003815495
