,FIZ1 (84922)
ACH-000004,-0.0017075419449123215
ACH-000005,-0.19106709172193467
ACH-000007,0.013813186640497535
ACH-000009,-0.10126952032130644
ACH-000011,0.12251458914046574
ACH-000012,-0.16779075996293066
ACH-000013,-0.031596957665778636
ACH-000014,-0.0624793535278541
ACH-000015,-0.16559987599242754
ACH-000017,0.0410985331991646
ACH-000018,0.051275784867315835
ACH-000019,-0.1826686453138397
ACH-000021,-0.1239889095821282
ACH-000022,-0.12804707976410692
ACH-000025,-0.2776915513183064
ACH-000028,0.028472739618852706
ACH-000030,-0.3023171967584487
ACH-000035,-0.22104893435460327
ACH-000036,-0.2391962815634044
ACH-000037,-0.0313629051408179
ACH-000039,0.06964321651343572
ACH-000040,0.07593000039892096
ACH-000041,-0.1640586495580292
ACH-000042,0.06581557931975421
ACH-000045,-0.030893462714952462
ACH-000047,-0.1815982269994924
ACH-000052,-0.2590256781649187
ACH-000053,-0.06051862769083478
ACH-000054,0.06435580557542872
ACH-000055,-0.2956942365134184
ACH-000060,-0.05860696531390463
ACH-000067,-0.1313451287401352
ACH-000070,-0.14490042404506107
ACH-000075,-0.36805102703747744
ACH-000078,-0.1495440746156285
ACH-000082,0.025946400231090613
ACH-000085,-0.059411862563309124
ACH-000086,0.04701470975401977
ACH-000087,-0.1772366607193679
ACH-000092,-0.07239922023749927
ACH-000095,-0.13140680941769212
ACH-000097,0.022978449081581642
ACH-000098,-0.2657272268465752
ACH-000099,-0.07927729272504101
ACH-000108,-0.27240541972272825
ACH-000113,-0.12106311182918555
ACH-000116,-0.03072690595088452
ACH-000118,0.058306498496310824
ACH-000120,-0.10045598655841392
ACH-000123,-0.05121063895419363
ACH-000127,-0.05951157280328581
ACH-000128,-0.1666355632503794
ACH-000132,0.06451232585344926
ACH-000133,-0.2256178992594395
ACH-000137,-0.1187431208239765
ACH-000138,-0.14088529534432048
ACH-000142,-0.05131330281087332
ACH-000143,-0.11878690336226715
ACH-000146,0.04852763338931537
ACH-000148,-0.028514521919642717
ACH-000150,0.048236298777375314
ACH-000152,-0.2048014074480174
ACH-000153,-0.29811225368541994
ACH-000159,-0.1126544415540342
ACH-000160,0.0176109224806067
ACH-000163,-0.053263015307049744
ACH-000167,0.00011507750891680703
ACH-000168,-0.17666793340709286
ACH-000169,0.03461203211861099
ACH-000178,-0.18629852654853454
ACH-000183,0.10099901648854273
ACH-000188,-0.051450444214130815
ACH-000189,0.3328860503832596
ACH-000190,-0.5503237480161253
ACH-000198,-0.06469704547507889
ACH-000203,-0.12104877551041922
