,HLA-DMA (3108)
ACH-000004,-0.10555303591645976
ACH-000005,-0.0677627313733418
ACH-000007,-0.059941600365267175
ACH-000009,-0.1275644411054612
ACH-000011,-0.137993829964414
ACH-000012,-0.11703445016485885
ACH-000013,-0.13693470835591706
ACH-000014,-0.08584240466855332
ACH-000015,0.0005558566682846468
ACH-000017,-0.2012244878430648
ACH-000018,-0.021559272921098733
ACH-000019,-0.0037451415195714046
ACH-000021,-0.06336422275648046
ACH-000022,-0.054482450430909685
ACH-000025,0.08133612884253441
ACH-000028,-0.03541123602894965
ACH-000030,-0.04410506038093972
ACH-000035,-0.1893865651926814
ACH-000036,-0.11751737103148772
ACH-000037,-0.02743009116511573
ACH-000039,-0.0691767238407781
ACH-000040,-0.048832391028045964
ACH-000041,-0.08295524013001762
ACH-000042,-0.025363588049552816
ACH-000045,-0.13446807304901476
ACH-000047,-0.05006435907965366
ACH-000052,-0.14279931988958305
ACH-000053,-0.16512744518623115
ACH-000054,-0.21662167469391494
ACH-000055,0.0397878200702753
ACH-000060,-0.18347640937981446
ACH-000067,-0.21837642574250446
ACH-000070,0.0018566397874278848
ACH-000075,0.043070136882373364
ACH-000078,-0.09472298744348544
ACH-000082,-0.13372212308637388
ACH-000085,-0.2667056055238238
ACH-000086,0.09564258068696203
ACH-000087,-0.21711293385244235
ACH-000092,-0.043691435227437625
ACH-000095,-0.08167338559029351
ACH-000097,-0.09181214037139587
ACH-000098,-0.09516205109021443
ACH-000099,-0.048150763983530784
ACH-000108,-0.03971638488305787
ACH-000113,-0.10208067762158757
ACH-000116,-0.025675588092459085
ACH-000118,0.011675903281974678
ACH-000120,-0.2621036738242378
ACH-000123,-0.14880362292449306
ACH-000127,-0.1400850195777158
ACH-000128,-0.006483447115551396
ACH-000132,-0.13448003257136232
ACH-000133,-0.14547013674713144
ACH-000137,0.036370037546960325
ACH-000138,-0.04471548828304347
ACH-000142,0.008301363659469095
ACH-000143,0.006918763766162875
ACH-000146,-0.006419299967992266
ACH-000148,0.08182195218187571
ACH-000150,-0.05654582579606561
ACH-000152,-0.054833962803279165
ACH-000153,-0.1566905537513732
ACH-000159,-0.051006250685771005
ACH-000160,-0.03325152301414945
ACH-000163,0.04699064037509144
ACH-000167,0.07652480929254868
ACH-000168,-0.2539033248170646
ACH-000169,-0.015559215811159256
ACH-000178,-0.11694652659081513
ACH-000183,-0.14841877173035126
ACH-000188,0.015885708254919494
ACH-000189,-0.032706572297531517
ACH-000190,-0.16022707700693042
ACH-000198,-0.17703173541218453
ACH-000203,0.08153589144423556
ACH-000204,-0.21096708139889106
ACH-000206,-0.08527594398168048
ACH-000207,-0.3880552655206725
ACH-000208,0.08873933617866732
ACH-000210,-0.10778641830381354
ACH-000211,-0.18767408277200612
