,PGLS (25796)
ACH-000004,-0.2368205412622784
ACH-000005,-0.2751368334852624
ACH-000007,-0.14153586831568932
ACH-000009,-0.04479296965615245
ACH-000011,-0.13126604753322446
ACH-000012,0.051315938769710016
ACH-000013,-0.1359688267249012
ACH-000014,-0.26554802198056365
ACH-000015,-0.4017667235764795
ACH-000017,-0.5190648453612223
ACH-000018,-0.15215225632035734
ACH-000019,-0.11060954559791876
ACH-000021,-0.2067760835832729
ACH-000022,-0.20085774826467984
ACH-000025,-0.4496123671320637
ACH-000028,-0.2857462125252982
ACH-000030,-0.2672943249694092
ACH-000035,-0.3090687602213032
ACH-000036,-0.4787794457546864
ACH-000037,-0.03165438665122525
ACH-000039,0.03517236382249759
ACH-000040,-0.2939196449863443
ACH-000041,-0.4642135683098028
ACH-000042,-0.2324774107659195
ACH-000045,-0.09545529522171367
ACH-000047,-0.20365684726027194
ACH-000052,-0.4245168505494201
ACH-000053,-0.2181374778150257
ACH-000054,0.01996818938567205
ACH-000055,-0.2588257554857061
ACH-000060,-0.1185652810444926
ACH-000067,-0.29747763314682224
ACH-000070,-0.3072902377354139
ACH-000075,-0.1639061712974706
ACH-000078,-0.1067402187365527
ACH-000082,-0.011318707260729094
ACH-000085,-0.3223109076234457
ACH-000086,-0.2012718921857463
ACH-000087,-0.15793113131508815
ACH-000092,-0.21578539334089625
ACH-000095,-0.24620983900617496
ACH-000097,-0.16455274296896835
ACH-000098,-0.3257839238568702
ACH-000099,-0.24027550977282525
ACH-000108,-0.2840302767355129
ACH-000113,-0.06865153764617632
ACH-000116,-0.2738549437093391
ACH-000118,-0.15938018666691248
ACH-000120,-0.4049689687688592
ACH-000123,-0.4116260307802518
ACH-000127,-0.2344876757281409
ACH-000128,-0.3795171807962275
ACH-000132,-0.2617735462441814
ACH-000133,-0.11205642192265336
ACH-000137,-0.3125171637773546
ACH-000138,-0.17260765269179615
ACH-000142,-0.2810405071292409
ACH-000143,-0.2815350060328821
ACH-000146,-0.20358522446005267
ACH-000148,-0.2571890476885932
