,CATSPERD (257062)
ACH-000004,-0.11282557789269025
ACH-000005,-0.2417654816647453
ACH-000007,0.08713635537514502
ACH-000009,-0.11268484118104742
ACH-000011,-0.3283909434471753
ACH-000012,-0.1793049843065948
ACH-000013,-0.2243326110214584
ACH-000014,-0.2421271863750524
ACH-000015,-0.2878822082296202
ACH-000017,-0.2984206805165527
ACH-000018,-0.19391611886878565
ACH-000019,-0.429873334340382
ACH-000021,-0.2376477975164564
ACH-000022,-0.17215514747596458
ACH-000025,-0.11016268401567944
ACH-000028,-0.1698771625708013
ACH-000030,-0.2204922151325645
ACH-000035,-0.12255754759274184
ACH-000036,-0.2679099625090124
ACH-000037,-0.08371866660503055
ACH-000039,-0.32193955196164625
ACH-000040,-0.2569525576474819
ACH-000041,-0.1899850160479235
ACH-000042,-0.04495062162529486
ACH-000045,-0.3662085572004236
ACH-000047,-0.29679399184289296
ACH-000052,-0.01405082810077988
ACH-000053,-0.17965895947364413
ACH-000054,-0.26289539945996865
ACH-000055,-0.2199522160555876
ACH-000060,-0.03650287735934645
ACH-000067,-0.2718288917194917
ACH-000070,-0.07047540811971116
ACH-000075,-0.2218777095958697
ACH-000078,-0.11138890349669417
ACH-000082,-0.22469299571338727
ACH-000085,-0.12902816490071478
ACH-000086,-0.10383536836915506
ACH-000087,-0.2601078892988332
ACH-000092,-0.28385823420566675
ACH-000095,-0.28094271694554224
ACH-000097,-0.20989478335796552
ACH-000098,-0.4718089440574189
ACH-000099,-0.2511366361546012
ACH-000108,-0.2526012567455645
ACH-000113,-0.15816245018922453
ACH-000116,-0.21780575980313727
ACH-000118,-0.08468473759768333
ACH-000120,-0.2412190988265532
ACH-000123,-0.16537289955384896
ACH-000127,-0.3404607384985358
ACH-000128,-0.4480037046067601
ACH-000132,-0.27864744535690056
ACH-000133,-0.15917489953247516
ACH-000137,-0.21815210061048812
ACH-000138,-0.15867426544625446
ACH-000142,-0.3624966368470084
ACH-000143,-0.19687417406548885
ACH-000146,-0.21491403813226734
ACH-000148,-0.22458527508854426
ACH-000150,-0.4825324555995466
ACH-000152,-0.16927722883289187
ACH-000153,-0.179491122376226
ACH-000159,-0.21767508422864265
ACH-000160,-0.17388769487573827
ACH-000163,-0.23442248940114505
ACH-000167,-0.24055276128429395
ACH-000168,-0.138355089104339
ACH-000169,-0.14665984498171936
ACH-000178,-0.20402983567268168
ACH-000183,-0.1945703961340564
