,PLA2G2E (30814)
ACH-000004,0.06792648686257728
ACH-000005,-0.08132890064317669
ACH-000007,-0.03963086117710637
ACH-000009,-0.015251949440118238
ACH-000011,0.1603718499716842
ACH-000012,-0.05197702618904999
ACH-000013,-0.0765607916335201
ACH-000014,0.11300180611620858
ACH-000015,0.01906397791468224
ACH-000017,-0.013498825011412214
ACH-000018,-0.12753453642143522
ACH-000019,0.029150011939740275
ACH-000021,-0.044911855995252194
ACH-000022,-0.025906390161698788
ACH-000025,-0.0072303775930114625
ACH-000028,0.07224441883096576
ACH-000030,-0.014594203794028
ACH-000035,-0.11648106915399932
ACH-000036,0.04902537564130807
ACH-000037,-0.12125391017271335
ACH-000039,-0.054721899236309234
ACH-000040,-0.19413703119091255
ACH-000041,-0.1175571493932277
ACH-000042,0.10212077113981627
ACH-000045,0.12253115710932296
ACH-000047,-0.026882136088706068
ACH-000052,-0.12613220175521844
ACH-000053,-0.1048130351894531
ACH-000054,-0.10889038394851386
ACH-000055,0.09635194337885086
ACH-000060,-0.1043155979207938
ACH-000067,-0.02314775279152704
ACH-000070,-0.008453435075312604
ACH-000075,-0.03995929770818412
ACH-000078,-0.17371600720935407
ACH-000082,-0.01713178625301889
ACH-000085,0.19522554623506613
ACH-000086,0.045136181988422334
ACH-000087,0.06985666085545847
ACH-000092,-0.09376721879072687
ACH-000095,-0.07176556441068828
ACH-000097,0.07592285011234183
ACH-000098,-0.07341865120907147
ACH-000099,-0.07978854029271491
ACH-000108,-0.07583655894681063
ACH-000113,-0.17025011182151312
ACH-000116,0.1032586889548301
ACH-000118,0.12940101864983894
ACH-000120,0.0991973187654868
ACH-000123,-0.08413819168761187
ACH-000127,0.038673882115274345
ACH-000128,-0.11264186984649828
ACH-000132,-0.0010954129226897645
ACH-000133,0.0743140798086435
ACH-000137,-0.05237400154193677
ACH-000138,0.1615530374352718
ACH-000142,-0.007818296322261598
ACH-000143,0.03848287522891556
ACH-000146,0.016917942821537194
ACH-000148,-0.10928856467597102
ACH-000150,-0.2634322969136882
ACH-000152,-0.07599378814896281
ACH-000153,-0.15603297787714462
ACH-000159,-0.09342529749395363
ACH-000160,-0.119880925314631
ACH-000163,-0.1187792819855276
ACH-000167,-0.4295256549362186
ACH-000168,-0.04401493327835543
ACH-000169,-0.06357593553575841
ACH-000178,-0.03565946562566465
ACH-000183,-0.2413236440830704
