,GIP (2695)
ACH-000004,-0.08170827954985314
ACH-000005,-0.13209917881648767
ACH-000007,-0.0679972429811325
ACH-000009,-0.26695358186083634
ACH-000011,-0.049685411379156524
ACH-000012,-0.08490821119301477
ACH-000013,0.05982727652755448
ACH-000014,0.01716683969449907
ACH-000015,-0.07664342298458296
ACH-000017,-0.2181678212159248
ACH-000018,-0.16276158371727453
ACH-000019,-0.3640781404195835
ACH-000021,-0.09493418941416587
ACH-000022,-0.12193295143515795
ACH-000025,0.03412559285899108
ACH-000028,-0.17757654751935698
ACH-000030,-0.012853961752920376
ACH-000035,-0.1838367426543934
ACH-000036,-0.005966981947495878
ACH-000037,-0.11249685905764087
ACH-000039,-0.12111142161947533
ACH-000040,-0.05663369624165565
ACH-000041,-0.17355507833073028
ACH-000042,-0.18014120282306076
ACH-000045,-0.0925510061054468
ACH-000047,-0.08510713835007619
ACH-000052,-0.171684814594637
ACH-000053,-0.006040838486517898
ACH-000054,-0.11597815566546844
ACH-000055,-0.1123740165467796
ACH-000060,-0.057063646605856215
ACH-000067,-0.030775464166378438
ACH-000070,-0.16911951386539206
ACH-000075,-0.12265969530075647
ACH-000078,-0.02001847817005413
ACH-000082,-0.14572395629069712
ACH-000085,-0.08801744975554306
ACH-000086,-0.046763914723264896
ACH-000087,0.02397572973885676
ACH-000092,-0.10453050942839393
ACH-000095,-0.05136707955037215
ACH-000097,-0.21225665918618286
ACH-000098,-0.03844876647674785
ACH-000099,-0.12190008810069132
ACH-000108,-0.08004931604990444
ACH-000113,0.06497583200799369
ACH-000116,-0.03972260134767742
ACH-000118,-0.02521072925197553
ACH-000120,-0.11620037820146735
ACH-000123,0.08155619083391898
ACH-000127,-0.0831335461142012
ACH-000128,-0.3008910004289769
ACH-000132,-0.0436017124840138
ACH-000133,0.012982680928742343
ACH-000137,0.09758809428367594
ACH-000138,-0.15544858787406748
ACH-000142,-0.08194768783153909
ACH-000143,-0.011563315714500096
ACH-000146,-0.035488919993799016
ACH-000148,-0.008911205103119858
ACH-000150,0.18004847779734034
ACH-000152,-0.06423751317059921
ACH-000153,-0.1045292970523106
ACH-000159,0.02577664173543808
ACH-000160,-0.0625468079522714
ACH-000163,-0.1249722452047882
ACH-000167,0.05800418012295435
ACH-000168,-0.13435223255853124
ACH-000169,-0.10041028275440772
ACH-000178,-0.02897324391543009
ACH-000183,-0.03421196463821065
ACH-000188,-0.1639685140578341
ACH-000189,0.0524581066626265
ACH-000190,-0.0779366604225138
ACH-000198,-0.1583538108572774
ACH-000203,0.08477265239353562
ACH-000204,-0.1946565102502808
ACH-000206,0.022271856717332096
ACH-000207,0.012013865604432185
ACH-000208,0.15589301758257226
ACH-000210,-0.28574982775799396
ACH-000211,-0.045999947233787634
ACH-000215,-0.037854681740373326
ACH-000221,-0.10048062488943443
ACH-000222,-0.026073822940499675
ACH-000223,-0.0076269426578032175
ACH-000226,0.023494263937759184
ACH-000227,0.026694040336024502
ACH-000228,-0.043405606784967535
ACH-000231,-0.05624972620225783
ACH-000232,-0.013503100841178476
ACH-000233,-0.08755254500433073
ACH-000234,-0.1427616616328366
ACH-000235,-0.03873017476186042
ACH-000237,-0.18252094304254549
ACH-000238,-0.13854635213891414
