,RTEL1 (51750)
ACH-000004,-0.717529848872942
ACH-000005,-0.2769450351774788
ACH-000007,-0.3845557418117981
ACH-000009,-0.5490456525705045
ACH-000011,-0.4780831625194949
ACH-000012,-0.4418737630466109
ACH-000013,-0.5046796880194127
ACH-000014,-0.2347715965400915
ACH-000015,-0.4233543477171303
ACH-000017,-0.2123144211482778
ACH-000018,-0.3810422636898458
ACH-000019,-0.2665579063376535
ACH-000021,-0.4032295018872283
ACH-000022,-0.3076869241741175
ACH-000025,-0.553248251320414
ACH-000028,-0.26060333254702844
ACH-000030,-0.20005961429731653
ACH-000035,-0.5255316142869003
ACH-000036,-0.4350396638022521
ACH-000037,-0.3216217523488908
ACH-000039,-0.7150653852983462
ACH-000040,-0.384911711017038
ACH-000041,-0.3075413853232987
ACH-000042,-0.4580630389000467
ACH-000045,-0.4861308840793112
ACH-000047,-0.5873718075435618
ACH-000052,-0.6068256037096049
ACH-000053,-0.2716914320950753
ACH-000054,-0.3525571257152843
ACH-000055,-0.4584816894197751
ACH-000060,-0.5623569117638233
ACH-000067,-0.5761085519585736
ACH-000070,-0.6154128179169341
ACH-000075,-0.3361911132207985
ACH-000078,-0.43153710896184416
ACH-000082,-0.4437901982755528
ACH-000085,-0.35901576200135465
ACH-000086,-0.6926125144247302
ACH-000087,-0.5816233701714724
ACH-000092,-0.6407451204068013
ACH-000095,-0.6717478268158376
ACH-000097,-0.3411460667009697
ACH-000098,-0.346610602413382
ACH-000099,-0.6239201845079531
ACH-000108,-0.7194317084696171
ACH-000113,-0.3991227408398854
ACH-000116,-0.3290785624918612
ACH-000118,-0.4469043640445651
ACH-000120,-0.72199646134319
ACH-000123,-0.4713480020343747
ACH-000127,-0.2898709639663077
ACH-000128,-0.30505478329776164
ACH-000132,-0.16655447140736834
ACH-000133,-0.6764411690334058
ACH-000137,-0.4845228858859646
ACH-000138,-0.4321154298069864
ACH-000142,-0.4965824748003425
ACH-000143,-0.5976449046985242
ACH-000146,-0.6221981504201435
